"No","FXY","ElementName_en","CodeFigure","EntryName_en","EntryName_sub1_en","EntryName_sub2_en","Note_en","Status"
1.00,"001003","WMO Region number/geographical area","0","Antarctica",,,,"Operational"
2.00,"001003","WMO Region number/geographical area","1","Region I",,,,"Operational"
3.00,"001003","WMO Region number/geographical area","2","Region II",,,,"Operational"
4.00,"001003","WMO Region number/geographical area","3","Region III",,,,"Operational"
5.00,"001003","WMO Region number/geographical area","4","Region IV",,,,"Operational"
6.00,"001003","WMO Region number/geographical area","5","Region V",,,,"Operational"
7.00,"001003","WMO Region number/geographical area","6","Region VI",,,,"Operational"
8.00,"001003","WMO Region number/geographical area","7","Missing value",,,,"Operational"
9.00,"001007","Satellite identifier",,,,,,"Operational"
10.00,"001024","Wind speed source","0","No wind speed data available",,,,"Operational"
11.00,"001024","Wind speed source","1","AMSR-E data",,,,"Operational"
12.00,"001024","Wind speed source","2","TMI data",,,,"Operational"
13.00,"001024","Wind speed source","3","NWP: ECMWF",,,,"Operational"
14.00,"001024","Wind speed source","4","NWP: UK Met Office",,,,"Operational"
15.00,"001024","Wind speed source","5","NWP: NCEP",,,,"Operational"
16.00,"001024","Wind speed source","6","Reference climatology",,,,"Operational"
17.00,"001024","Wind speed source","7","ERS_Scatterometer",,,,"Operational"
18.00,"001024","Wind speed source","8-30","Reserved for future use",,,,"Operational"
19.00,"001024","Wind speed source","31","Missing value",,,,"Operational"
20.00,"001028","Aerosol optical depth (AOD) source","0","No AOD data available",,,,"Operational"
21.00,"001028","Aerosol optical depth (AOD) source","1","NESDIS",,,,"Operational"
22.00,"001028","Aerosol optical depth (AOD) source","2","NAVOCEANO",,,,"Operational"
23.00,"001028","Aerosol optical depth (AOD) source","3","NAAPS",,,,"Operational"
24.00,"001028","Aerosol optical depth (AOD) source","4","MERIS",,,,"Operational"
25.00,"001028","Aerosol optical depth (AOD) source","5","AATSR",,,,"Operational"
26.00,"001028","Aerosol optical depth (AOD) source","6-30","Reserved for future use",,,,"Operational"
27.00,"001028","Aerosol optical depth (AOD) source","31","Missing value",,,,"Operational"
28.00,"001029","SSI source","0","No SSI data available",,,,"Operational"
29.00,"001029","SSI source","1","MSG_SEVIRI",,,,"Operational"
30.00,"001029","SSI source","2","GOES East",,,,"Operational"
31.00,"001029","SSI source","3","GOES West",,,,"Operational"
32.00,"001029","SSI source","4","ECMWF",,,,"Operational"
33.00,"001029","SSI source","5","NCEP",,,,"Operational"
34.00,"001029","SSI source","6","UK Met Office",,,,"Operational"
35.00,"001029","SSI source","7-30","Reserved for future use",,,,"Operational"
36.00,"001029","SSI source","31","Missing value",,,,"Operational"
