"﻿""Category""",CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
16,Synoptic feature sequences,D16001,,,D01011,"Year, month, day",,,Operational
16,Synoptic feature sequences,D16001,,,B04004,Hour,,,Operational
16,Synoptic feature sequences,D16001,,,D01023,Latitude/longitude (coarse accuracy),,,Operational
16,Synoptic feature sequences,D16001,,,B01021,Synoptic feature identifier,,,Operational
16,Synoptic feature sequences,D16001,,,B02041,Method for estimating reports related to synoptic features,,,Operational
16,Synoptic feature sequences,D16001,,,B19001,Type of synoptic feature,,,Operational
16,Synoptic feature sequences,D16001,,,B10051,Pressure reduced to mean sea level,,,Operational
16,Synoptic feature sequences,D16001,,,B19002,Effective radius of feature,,,Operational
16,Synoptic feature sequences,D16001,,,B19003,Wind speed threshold,15 m s-1 typically,,Operational
16,Synoptic feature sequences,D16001,,,B19004,Effective radius with respect to wind speeds above threshold,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B08021,Time significance,Data time (analysis),,Operational
16,Synoptic feature sequences,D16002,(Header),,B04001,Year,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B04002,Month,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B04003,Day,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B04004,Hour,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B04005,Minute,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B01033,Identification of originating/generating centre,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B08021,Time significance,Validity time (forecast),,Operational
16,Synoptic feature sequences,D16002,(Header),,B04001,Year,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B04002,Month,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B04003,Day,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B04004,Hour,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B04005,Minute,,,Operational
16,Synoptic feature sequences,D16002,(Header),,B07002,Height or altitude,Flight level (base of chart layer),,Operational
16,Synoptic feature sequences,D16002,(Header),,B07002,Height or altitude,Flight level (top of chart layer),,Operational
16,Synoptic feature sequences,D16003,(Jet stream),,R09000,Delayed replication of 9 descriptors,,,Operational
16,Synoptic feature sequences,D16003,(Jet stream),,B08011,Meteorological feature,Jet stream value,,Operational
16,Synoptic feature sequences,D16003,(Jet stream),,B08007,Dimensional significance,Value for line,,Operational
16,Synoptic feature sequences,D16003,(Jet stream),,R04000,Delayed replication of 4 descriptors,,,Operational
16,Synoptic feature sequences,D16003,(Jet stream),,B05002,Latitude (coarse accuracy),,,Operational
16,Synoptic feature sequences,D16003,(Jet stream),,B06002,Longitude (coarse accuracy),,,Operational
16,Synoptic feature sequences,D16003,(Jet stream),,B10002,Height,Flight level,,Operational
16,Synoptic feature sequences,D16003,(Jet stream),,B11002,Wind speed,,,Operational
16,Synoptic feature sequences,D16003,(Jet stream),,B08007,Dimensional significance,Cancel,,Operational
16,Synoptic feature sequences,D16003,(Jet stream),,B08011,Meteorological feature,Cancel | End of object,,Operational
16,Synoptic feature sequences,D16004,(Turbulence),,R10000,Delayed replication of 10 descriptors,,,Operational
16,Synoptic feature sequences,D16004,(Turbulence),,B08011,Meteorological feature,Value for turbulence,,Operational
16,Synoptic feature sequences,D16004,(Turbulence),,B08007,Dimensional significance,Value for area,,Operational
16,Synoptic feature sequences,D16004,(Turbulence),,B07002,Height or altitude,Flight level (base of layer),,Operational
16,Synoptic feature sequences,D16004,(Turbulence),,B07002,Height or altitude,Flight level (top of layer),,Operational
16,Synoptic feature sequences,D16004,(Turbulence),,R02000,Delayed replication of 2 descriptors,,,Operational
16,Synoptic feature sequences,D16004,(Turbulence),,B05002,Latitude (coarse accuracy),,,Operational
16,Synoptic feature sequences,D16004,(Turbulence),,B06002,Longitude (coarse accuracy),,,Operational
16,Synoptic feature sequences,D16004,(Turbulence),,B11031,Degree of turbulence,,(see Note 1),Operational
16,Synoptic feature sequences,D16004,(Turbulence),,B08007,Dimensional significance,Cancel,,Operational
16,Synoptic feature sequences,D16004,(Turbulence),,B08011,Meteorological feature,Cancel | End of object,,Operational
16,Synoptic feature sequences,D16005,(Storm),,R08000,Delayed replication of 8 descriptors,,,Operational
16,Synoptic feature sequences,D16005,(Storm),,B08005,Meteorological attribute significance,Storm centre,,Operational
16,Synoptic feature sequences,D16005,(Storm),,B08007,Dimensional significance,Value for point,,Operational
16,Synoptic feature sequences,D16005,(Storm),,B05002,Latitude (coarse accuracy),,,Operational
16,Synoptic feature sequences,D16005,(Storm),,B06002,Longitude (coarse accuracy),,,Operational
16,Synoptic feature sequences,D16005,(Storm),,B01026,WMO storm name,"Use ""UNKNOWN"" for a sandstorm",,Operational
16,Synoptic feature sequences,D16005,(Storm),,B19001,Type of synoptic feature,Value for type of storm,,Operational
16,Synoptic feature sequences,D16005,(Storm),,B08007,Dimensional significance,Cancel,,Operational
16,Synoptic feature sequences,D16005,(Storm),,B08005,Meteorological attribute significance,Cancel | End of object,,Operational
16,Synoptic feature sequences,D16006,(Cloud),,R11000,Delayed replication of 11 descriptors,,,Operational
16,Synoptic feature sequences,D16006,(Cloud),,B08011,Meteorological feature,Value for cloud,,Operational
16,Synoptic feature sequences,D16006,(Cloud),,B08007,Dimensional significance,Value for area,,Operational
16,Synoptic feature sequences,D16006,(Cloud),,B07002,Height or altitude,Flight level (base of layer),,Operational
16,Synoptic feature sequences,D16006,(Cloud),,B07002,Height or altitude,Flight level (top of layer),,Operational
16,Synoptic feature sequences,D16006,(Cloud),,R02000,Delayed replication of 2 descriptors,,,Operational
16,Synoptic feature sequences,D16006,(Cloud),,B05002,Latitude (coarse accuracy),,,Operational
16,Synoptic feature sequences,D16006,(Cloud),,B06002,Longitude (coarse accuracy),,,Operational
16,Synoptic feature sequences,D16006,(Cloud),,B20011,Cloud amount,,(see Note 2),Operational
16,Synoptic feature sequences,D16006,(Cloud),,B20012,Cloud type,,,Operational
16,Synoptic feature sequences,D16006,(Cloud),,B08007,Dimensional significance,Cancel,,Operational
16,Synoptic feature sequences,D16006,(Cloud),,B08011,Meteorological feature,Cancel | End of object,,Operational
16,Synoptic feature sequences,D16007,(Front),,R09000,Delayed replication of 9 descriptors,,,Operational
16,Synoptic feature sequences,D16007,(Front),,B08011,Meteorological feature,Value for type of front,(see Note 3),Operational
16,Synoptic feature sequences,D16007,(Front),,B08007,Dimensional significance,Value for line,,Operational
16,Synoptic feature sequences,D16007,(Front),,R04000,Delayed replication of 4 descriptors,,,Operational
16,Synoptic feature sequences,D16007,(Front),,B05002,Latitude (coarse accuracy),,,Operational
16,Synoptic feature sequences,D16007,(Front),,B06002,Longitude (coarse accuracy),,,Operational
16,Synoptic feature sequences,D16007,(Front),,B19005,Direction of motion of feature,,,Operational
16,Synoptic feature sequences,D16007,(Front),,B19006,Speed of motion of feature,,,Operational
16,Synoptic feature sequences,D16007,(Front),,B08007,Dimensional significance,Cancel,,Operational
16,Synoptic feature sequences,D16007,(Front),,B08011,Meteorological feature,Cancel | End of object,,Operational
16,Synoptic feature sequences,D16008,(Tropopause),,R10000,Delayed replication of 10 descriptors,,,Operational
16,Synoptic feature sequences,D16008,(Tropopause),,B08001,Vertical sounding significance,Bit 3 set for tropopause,,Operational
16,Synoptic feature sequences,D16008,(Tropopause),,B08007,Dimensional significance,Value for point,,Operational
16,Synoptic feature sequences,D16008,(Tropopause),,B08023,First-order statistics,Type of tropopause value,(see Note 4),Operational
16,Synoptic feature sequences,D16008,(Tropopause),,R03000,Delayed replication of 3 descriptors,,,Operational
16,Synoptic feature sequences,D16008,(Tropopause),,B05002,Latitude (coarse accuracy),,,Operational
