ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
42,Oceanographic elements,42001,Dominant swell wave direction of spectral partition,deg,0,0,9,deg,0,3,,,Operational
42,Oceanographic elements,42002,Significant swell wave height of spectral partition,m,1,0,9,m,1,3,,,Operational
42,Oceanographic elements,42003,Dominant swell wavelength of spectral partition,m,2,100,17,m,2,6,,,Operational
42,Oceanographic elements,42004,Confidence of inversion for each partition of swell wave spectra,Code table,0,0,4,Code table,0,2,,,Operational
42,Oceanographic elements,42005,Ambiguity removal factor for swell wave partition,Numeric,5,-100000,18,Numeric,5,6,,,Operational
42,Oceanographic elements,42006,Wave age,Numeric,2,1,8,Numeric,2,3,,,Operational
42,Oceanographic elements,42007,Shortest ocean wavelength on spectral resolution,m,2,0,16,m,2,5,,,Operational
42,Oceanographic elements,42008,Nonlinear inverse spectral width,m,2,0,16,m,2,5,,,Operational
42,Oceanographic elements,42009,Bin partition reference,Numeric,0,0,8,Numeric,0,3,,,Operational
42,Oceanographic elements,42010,Partition number,Numeric,0,1,4,Numeric,0,2,,,Operational
42,Oceanographic elements,42011,a1 coefficient of the directional Fourier series,Numeric,4,-20000,15,Numeric,4,6,,,Operational
42,Oceanographic elements,42012,b1 coefficient of the directional Fourier series,Numeric,4,-20000,15,Numeric,4,6,,,Operational
42,Oceanographic elements,42013,a2 coefficient of the directional Fourier series,Numeric,4,-20000,15,Numeric,4,6,,,Operational
42,Oceanographic elements,42014,b2 coefficient of the directional Fourier series,Numeric,4,-20000,15,Numeric,4,6,,,Operational
42,Oceanographic elements,42015,Check factor K,Numeric,2,0,12,Numeric,2,4,,,Operational
