Id,FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status
bufr4/0/33/002/0,033002,Quality information,0,Data not suspect,,,,,Operational
bufr4/0/33/002/1,033002,Quality information,1,Data suspect,,,,,Operational
bufr4/0/33/002/2,033002,Quality information,2,Reserved,,,,,Operational
bufr4/0/33/002/3,033002,Quality information,3,Quality information not given,,,,,Operational
bufr4/0/33/003/0,033003,Quality information,0,Data not suspect,,,,,Operational
bufr4/0/33/003/1,033003,Quality information,1,Data slightly suspect,,,,,Operational
bufr4/0/33/003/2,033003,Quality information,2,Data highly suspect,,,,,Operational
bufr4/0/33/003/3,033003,Quality information,3,Data considered unfit for use,,,,,Operational
bufr4/0/33/003/4-6,033003,Quality information,4-6,Reserved,,,,,Operational
bufr4/0/33/003/7,033003,Quality information,7,Quality information not given,,,,,Operational
bufr4/0/33/005/1,033005,Quality information (AWS data),1,No automated meteorological data checks performed,,,,,Operational
bufr4/0/33/005/2,033005,Quality information (AWS data),2,Pressure data suspect,,,,,Operational
bufr4/0/33/005/3,033005,Quality information (AWS data),3,Wind data suspect,,,,,Operational
bufr4/0/33/005/4,033005,Quality information (AWS data),4,Air temperature data suspect,,,,,Operational
bufr4/0/33/005/5,033005,Quality information (AWS data),5,Wet-bulb temperature data suspect,,,,,Operational
bufr4/0/33/005/6,033005,Quality information (AWS data),6,Humidity data suspect,,,,,Operational
bufr4/0/33/005/7,033005,Quality information (AWS data),7,Ground temperature data suspect,,,,,Operational
bufr4/0/33/005/8,033005,Quality information (AWS data),8,Soil temperature (depth 1) data suspect,,,,,Operational
bufr4/0/33/005/9,033005,Quality information (AWS data),9,Soil temperature (depth 2) data suspect,,,,,Operational
bufr4/0/33/005/10,033005,Quality information (AWS data),10,Soil temperature (depth 3) data suspect,,,,,Operational
bufr4/0/33/005/11,033005,Quality information (AWS data),11,Soil temperature (depth 4) data suspect,,,,,Operational
bufr4/0/33/005/12,033005,Quality information (AWS data),12,Soil temperature (depth 5) data suspect,,,,,Operational
bufr4/0/33/005/13,033005,Quality information (AWS data),13,Cloud data suspect,,,,,Operational
