ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
21,Radar data,021001,Horizontal reflectivity,dB,0,-64,7,dB,0,3,,,Operational
21,Radar data,021002,Vertical reflectivity,dB,0,-64,7,dB,0,3,,,Operational
21,Radar data,021003,Differential reflectivity,dB,1,-5,7,dB,1,3,,,Operational
21,Radar data,021004,Differential reflectivity,dB,2,-800,11,dB,2,4,,,Operational
21,Radar data,021005,Linear depolarization ratio,dB,0,-65,6,dB,0,2,,,Operational
21,Radar data,021006,Circular depolarization ratio,dB,0,-65,6,dB,0,2,,,Operational
21,Radar data,021007,Radar reflectivity factor,dB,2,-9000,15,dB,0,0,,,Operational
21,Radar data,021008,Uncertainty in radar reflectivity factor,dB,2,0,13,dB,0,0,,,Operational
21,Radar data,021009,Vertical Doppler velocity,m/s,2,-10000,15,m/s,0,0,,,Operational
21,Radar data,021010,Uncertainty in vertical Doppler velocity,m/s,2,-10000,15,m/s,0,0,,,Operational
21,Radar data,021011,Doppler mean velocity in x-direction,m/s,0,-128,8,m/s,0,3,,,Operational
21,Radar data,021012,Doppler mean velocity in y-direction,m/s,0,-128,8,m/s,0,3,,,Operational
21,Radar data,021013,Doppler mean velocity in z-direction,m/s,0,-128,8,m/s,0,3,,,Operational
21,Radar data,021014,Doppler mean velocity (radial),m/s,1,-4096,13,m/s,1,4,,,Operational
21,Radar data,021017,Doppler velocity spectral width,m/s,1,0,8,m/s,1,3,,,Operational
21,Radar data,021018,Extended NYQUIST velocity,m/s,1,0,10,m/s,1,4,,,Operational
21,Radar data,021019,High NYQUIST velocity,m/s,1,0,10,m/s,1,3,,,Operational
21,Radar data,021021,Echo tops,m,-3,0,4,m,-3,2,,,Operational
21,Radar data,021022,Range bin offset,m,1,0,14,m,1,5,,,Operational
21,Radar data,021023,Range bin size,m,0,0,14,m,0,5,,,Operational
21,Radar data,021024,Azimuth offset,deg,1,0,12,deg,1,4,,,Operational
21,Radar data,021025,Azimuthal resolution,deg,1,0,8,deg,1,3,,,Operational
21,Radar data,021028,Differential phase,deg,1,0,12,deg,1,4,,,Operational
21,Radar data,021029,Cross-polarization correlation coefficient,Numeric,2,-100,8,Numeric,2,3,,,Operational
21,Radar data,021030,Signal to noise ratio,dB,0,-32,8,dB,0,3,,,Operational
21,Radar data,021031,Vertically integrated liquid-water content,kg m-2,0,0,7,kg m-2,0,3,,,Operational
21,Radar data,021036,Radar rainfall intensity,m/s,7,0,12,m/s,7,4,,,Operational
21,Radar data,021041,Bright-band height,m,-2,0,8,m,-2,3,,,Operational
21,Radar data,021051,Signal power above 1 mW,dB,0,-256,8,dB,0,3,,,Operational
21,Radar data,021062,Backscatter,dB,2,-5000,13,dB,2,4,,,Operational
21,Radar data,021063,Radiometric resolution (noise value),%,1,0,10,%,1,4,,,Operational
21,Radar data,021064,Clutter noise estimate,Numeric,0,0,8,Numeric,0,3,,,Operational
21,Radar data,021065,Missing packet counter,Numeric,0,-127,8,Numeric,0,3,,,Operational
21,Radar data,021066,Wave scatterometer product confidence data,Flag table,0,0,12,Flag table,0,4,,,Operational
21,Radar data,021067,Wind product confidence data,Flag table,0,0,13,Flag table,0,5,,,Operational
21,Radar data,021068,Radar altimeter product confidence data,Flag table,0,0,8,Flag table,0,3,,,Operational
21,Radar data,021069,SST product confidence data,Flag table,0,0,10,Flag table,0,4,,,Operational
21,Radar data,021070,SST product confidence data (SADIST-2),Flag table,0,0,23,Flag table,0,6,,,Operational
21,Radar data,021071,Peakiness,Numeric,0,0,16,Numeric,0,5,,,Operational
21,Radar data,021072,Satellite altimeter calibration status,Flag table,0,0,4,Flag table,0,2,,,Operational
21,Radar data,021073,Satellite altimeter instrument mode,Flag table,0,0,9,Flag table,0,3,,,Operational
21,Radar data,021075,Image spectrum intensity,Numeric,0,0,8,Numeric,0,3,,,Operational
21,Radar data,021076,Representation of intensities,Code table,0,0,3,Code table,0,1,,,Operational
21,Radar data,021077,Altitude correction (ionosphere),m,3,0,14,m,3,5,,,Operational
21,Radar data,021078,Altitude correction (dry troposphere),m,3,0,9,m,3,3,,,Operational
21,Radar data,021079,Altitude correction (wet troposphere),m,3,2000,10,m,3,4,,,Operational
21,Radar data,021080,Altitude correction (calibration constant),m,3,0,11,m,3,4,,,Operational
21,Radar data,021081,Open loop correction (height-time loop),m,3,0,10,m,3,4,,,Operational
21,Radar data,021082,Open loop correction (auto gain control),dB,3,-3000,14,dB,3,5,,,Operational
21,Radar data,021083,Warm target calibration,Numeric,0,0,16,Numeric,0,5,,,Operational
21,Radar data,021084,Cold target calibration,Numeric,0,0,16,Numeric,0,5,,,Operational
21,Radar data,021085,ATSR sea-surface temperature across-track band number,Numeric,0,0,4,Numeric,0,2,,,Operational
21,Radar data,021086,"Number of pixels in nadir only, average",Numeric,0,0,9,Numeric,0,3,,,Operational
21,Radar data,021087,"Number of pixels in dual view, average",Numeric,0,0,9,Numeric,0,3,,,Operational
21,Radar data,021088,Wet backscatter,dB,2,-5000,13,dB,2,4,,,Operational
21,Radar data,021091,Radar signal Doppler spectrum 0th moment,dB,0,-100,8,dB,0,3,,,Operational
21,Radar data,021092,"RASS signal Doppler spectrum 0th moment, referring to RASS signal",dB,0,-100,8,dB,0,3,,,Operational
21,Radar data,021093,Ku band peakiness,Numeric,3,0,16,Numeric,3,5,,,Operational
21,Radar data,021094,S band peakiness,Numeric,3,0,16,Numeric,3,5,,,Operational
21,Radar data,021095,Kp coefficient A,Numeric,6,0,20,Numeric,6,7,,,Operational
21,Radar data,021096,Kp coefficient B,Numeric,6,0,20,Numeric,6,7,,,Operational
21,Radar data,021097,Kp coefficient C,Numeric,6,0,20,Numeric,6,7,,,Operational
21,Radar data,021101,Number of vector ambiguities,Numeric,0,0,3,Numeric,0,1,,,Operational
21,Radar data,021102,Index of selected wind vector,Numeric,0,0,3,Numeric,0,1,,,Operational
21,Radar data,021103,Total number of sigma-0 measurements,Numeric,0,0,5,Numeric,0,2,,,Operational
21,Radar data,021104,Likelihood computed for solution,Numeric,3,-30000,15,Numeric,3,5,,,Operational
21,Radar data,021105,Normalized radar cross-section,dB,2,-10000,14,dB,2,5,,,Operational
21,Radar data,021106,Kp variance coefficient (alpha),Numeric,3,0,14,Numeric,3,5,,,Operational
21,Radar data,021107,Kp variance coefficient (beta),Numeric,8,0,16,Numeric,8,5,,,Operational
21,Radar data,021109,SEAWINDS wind vector cell quality,Flag table,0,0,17,Flag table,0,6,,,Operational
21,Radar data,021110,Number of inner-beam sigma-0 (forward of satellite),Numeric,0,0,6,Numeric,0,2,,,Operational
21,Radar data,021111,Number of outer-beam sigma-0 (forward of satellite),Numeric,0,0,6,Numeric,0,2,,,Operational
21,Radar data,021112,Number of inner-beam sigma-0 (aft of satellite),Numeric,0,0,6,Numeric,0,2,,,Operational
21,Radar data,021113,Number of outer-beam sigma-0 (aft of satellite),Numeric,0,0,6,Numeric,0,2,,,Operational
21,Radar data,021114,Kp variance coefficient (gamma),dB,3,-140000,18,dB,3,6,,,Operational
21,Radar data,021115,SEAWINDS sigma-0 quality,Flag table,0,0,17,Flag table,0,6,,,Operational
21,Radar data,021116,SEAWINDS sigma-0 mode,Flag table,0,0,17,Flag table,0,6,,,Operational
21,Radar data,021117,Sigma-0 variance quality control,Numeric,2,0,16,Numeric,2,5,,,Operational
21,Radar data,021118,Attenuation correction on sigma-0,dB,2,-10000,14,dB,2,5,,,Operational
21,Radar data,021119,Wind scatterometer geophysical model function,Code table,0,0,6,Code table,0,2,,,Operational
21,Radar data,021120,Probability of rain,Numeric,3,0,10,Numeric,3,4,,,Operational
21,Radar data,021121,SEAWINDS NOF rain index,Numeric,0,0,8,Numeric,0,3,*,106,Operational
21,Radar data,021122,Attenuation correction on sigma-0 (from tB),dB,2,-10000,14,dB,2,5,,,Operational
21,Radar data,021123,SEAWINDS normalized radar cross-section,dB,2,-30000,15,dB,2,5,,,Operational
