"﻿""Category""",CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
09,Vertical sounding sequences (conventional data),D09001,(Vertical wind profile),,D01037,Land station for vertical soundings,"Identification, etc. (land station, high accuracy position)",,Operational
09,Vertical sounding sequences (conventional data),D09001,(Vertical wind profile),,R01000,Delayed replication of 1 descriptor,,,Operational
09,Vertical sounding sequences (conventional data),D09001,(Vertical wind profile),,D03011,Wind at height,,,Operational
09,Vertical sounding sequences (conventional data),D09002,(Vertical wind profile),,D01038,Land station for vertical soundings,"Identification, etc. (land station, coarse accuracy position)",,Operational
09,Vertical sounding sequences (conventional data),D09002,(Vertical wind profile),,R01000,Delayed replication of 1 descriptor,,,Operational
09,Vertical sounding sequences (conventional data),D09002,(Vertical wind profile),,D03011,Wind at height,,,Operational
09,Vertical sounding sequences (conventional data),D09003,(Vertical wind profile),,D01037,Land station for vertical soundings,"Identification, etc. (land station, high accuracy position)",,Operational
09,Vertical sounding sequences (conventional data),D09003,(Vertical wind profile),,R01000,Delayed replication of 1 descriptor,,,Operational
09,Vertical sounding sequences (conventional data),D09003,(Vertical wind profile),,D03012,Wind at pressure level,,,Operational
09,Vertical sounding sequences (conventional data),D09004,(Vertical wind profile),,D01038,Land station for vertical soundings,"Identification, etc. (land station, coarse accuracy position)",,Operational
09,Vertical sounding sequences (conventional data),D09004,(Vertical wind profile),,R01000,Delayed replication of 1 descriptor,,,Operational
09,Vertical sounding sequences (conventional data),D09004,(Vertical wind profile),,D03012,Wind at pressure level,,,Operational
09,Vertical sounding sequences (conventional data),D09005,(Vertical sounding with relative humidity),,D01037,Land station for vertical soundings,"Identification, etc. (land station, high accuracy position)",,Operational
09,Vertical sounding sequences (conventional data),D09005,(Vertical sounding with relative humidity),,D02004,General cloud information,Significant cloud layer,,Operational
09,Vertical sounding sequences (conventional data),D09005,(Vertical sounding with relative humidity),,R01000,Delayed replication of 1 descriptor,,,Operational
09,Vertical sounding sequences (conventional data),D09005,(Vertical sounding with relative humidity),,D03013,"Geopotential, temperature, humidity, wind at pressure level",,,Operational
09,Vertical sounding sequences (conventional data),D09006,(Vertical sounding with relative humidity),,D01038,Land station for vertical soundings,"Identification, etc. (land station, coarse accuracy position)",,Operational
09,Vertical sounding sequences (conventional data),D09006,(Vertical sounding with relative humidity),,D02004,General cloud information,Significant cloud layer,,Operational
09,Vertical sounding sequences (conventional data),D09006,(Vertical sounding with relative humidity),,R01000,Delayed replication of 1 descriptor,,,Operational
