"﻿""Category""",CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
08,Surface report sequences (sea),D08001,(Buoy/platform - fixed),,D01033,Buoy/platform - fixed,"Identification, type, date/time, position (high accuracy)",,Operational
08,Surface report sequences (sea),D08001,(Buoy/platform - fixed),,D02011,Low altitude station,Basic surface report,,Operational
08,Surface report sequences (sea),D08001,(Buoy/platform - fixed),,B22042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),D08002,(Buoy/platform - fixed),,D01034,Buoy/platform - fixed,"Identification, type, date/time, position (coarse accuracy)",,Operational
08,Surface report sequences (sea),D08002,(Buoy/platform - fixed),,D02011,Low altitude station,Basic surface report,,Operational
08,Surface report sequences (sea),D08002,(Buoy/platform - fixed),,B22042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),D08003,(Buoy/platform - moving) (see Note 1),,D01035,Buoy/platform - moving,"Identification, movement, type, date/time, position (coarse accuracy)",,Operational
08,Surface report sequences (sea),D08003,(Buoy/platform - moving),,D02011,Low altitude station,Basic surface report,,Operational
08,Surface report sequences (sea),D08003,(Buoy/platform - moving),,B22042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),D08004,(Ship),,D01036,Ship,"Identification, movement, type, date/time, position (coarse accuracy)",,Operational
08,Surface report sequences (sea),D08004,(Ship),,D02011,Low altitude station,Basic surface report,,Operational
08,Surface report sequences (sea),D08004,(Ship),,B22042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),D08005,,,D08004,Ship,Basic ship report,,Operational
08,Surface report sequences (sea),D08005,,,D02024,Wind and swell waves,,,Operational
08,Surface report sequences (sea),D08006,(Buoy Section 1 optional parameters),,B10004,Pressure,,,Operational
08,Surface report sequences (sea),D08006,(Buoy Section 1 optional parameters),,B10061,3-hour pressure change,,,Operational
08,Surface report sequences (sea),D08006,(Buoy Section 1 optional parameters),,B10063,Characteristic of pressure tendency,,,Operational
08,Surface report sequences (sea),D08006,(Buoy Section 1 optional parameters),,B11001,Wind direction,,,Operational
08,Surface report sequences (sea),D08006,(Buoy Section 1 optional parameters),,B11002,Wind speed,,,Operational
08,Surface report sequences (sea),D08006,(Buoy Section 1 optional parameters),,B12004,Air temperature at 2 m,,,Operational
08,Surface report sequences (sea),D08006,(Buoy Section 1 optional parameters),,B13003,Relative humidity,,,Operational
08,Surface report sequences (sea),D08006,(Buoy Section 1 optional parameters),,B22042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),D08007,,,D01055,"Identification and type of station, date/time, location (high accuracy), movement",,,Operational
08,Surface report sequences (sea),D08007,,,D02011,Low altitude station,Basic surface report,,Operational
08,Surface report sequences (sea),D08007,,,B07062,Depth below sea/water surface,,,Operational
08,Surface report sequences (sea),D08007,,,B22042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),D08009,(Sequence for representation of synoptic reports from a sea station suitable for SHIP data),,D01093,"Ship identification, movement, date/time, horizontal and vertical coordinates",,,Operational
