"﻿""Category""",CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
02,Meteorological sequences common to surface data,D02001,(Pressure and 3-hour pressure change),,B10004,Pressure,Station level,,Operational
02,Meteorological sequences common to surface data,D02001,(Pressure and 3-hour pressure change),,B10051,Pressure reduced to mean sea level,,,Operational
02,Meteorological sequences common to surface data,D02001,(Pressure and 3-hour pressure change),,B10061,3-hour pressure change,,,Operational
02,Meteorological sequences common to surface data,D02001,(Pressure and 3-hour pressure change),,B10063,Characteristic of pressure tendency,,,Operational
02,Meteorological sequences common to surface data,D02002,(High altitude station),,B10004,Pressure,Station level,,Operational
02,Meteorological sequences common to surface data,D02002,(High altitude station),,B07004,Pressure,Pressure level,,Operational
02,Meteorological sequences common to surface data,D02002,(High altitude station),,B10003,Geopotential,Pressure level,,Operational
02,Meteorological sequences common to surface data,D02002,(High altitude station),,B10061,3-hour pressure change,,,Operational
02,Meteorological sequences common to surface data,D02002,(High altitude station),,B10063,Characteristic of pressure tendency,,,Operational
02,Meteorological sequences common to surface data,D02003,"(Wind, temperature, humidity, visibility, weather)",,B11011,Wind direction at 10 m,,,Operational
02,Meteorological sequences common to surface data,D02003,"(Wind, temperature, humidity, visibility, weather)",,B11012,Wind speed at 10 m,,,Operational
02,Meteorological sequences common to surface data,D02003,"(Wind, temperature, humidity, visibility, weather)",,B12004,Air temperature at 2 m,,,Operational
02,Meteorological sequences common to surface data,D02003,"(Wind, temperature, humidity, visibility, weather)",,B12006,Dewpoint temperature at 2 m,,,Operational
02,Meteorological sequences common to surface data,D02003,"(Wind, temperature, humidity, visibility, weather)",,B13003,Relative humidity,,,Operational
02,Meteorological sequences common to surface data,D02003,"(Wind, temperature, humidity, visibility, weather)",,B20001,Horizontal visibility,,,Operational
02,Meteorological sequences common to surface data,D02003,"(Wind, temperature, humidity, visibility, weather)",,B20003,Present weather,,,Operational
02,Meteorological sequences common to surface data,D02003,"(Wind, temperature, humidity, visibility, weather)",,B20004,Past weather (1),,,Operational
02,Meteorological sequences common to surface data,D02003,"(Wind, temperature, humidity, visibility, weather)",,B20005,Past weather (2),,,Operational
02,Meteorological sequences common to surface data,D02004,(General cloud information),,B20010,Cloud cover (total),,,Operational
02,Meteorological sequences common to surface data,D02004,(General cloud information),,B08002,Vertical significance (surface observations),,,Operational
02,Meteorological sequences common to surface data,D02004,(General cloud information),,B20011,Cloud amount,,,Operational
02,Meteorological sequences common to surface data,D02004,(General cloud information),,B20013,Height of base of cloud,,,Operational
02,Meteorological sequences common to surface data,D02004,(General cloud information),,B20012,Cloud type,,,Operational
02,Meteorological sequences common to surface data,D02004,(General cloud information),,B20012,Cloud type,,,Operational
02,Meteorological sequences common to surface data,D02004,(General cloud information),,B20012,Cloud type,,,Operational
02,Meteorological sequences common to surface data,D02005,(Cloud layer),,B08002,Vertical significance (surface observations),,,Operational
02,Meteorological sequences common to surface data,D02005,(Cloud layer),,B20011,Cloud amount,,,Operational
02,Meteorological sequences common to surface data,D02005,(Cloud layer),,B20012,Cloud type,,,Operational
02,Meteorological sequences common to surface data,D02005,(Cloud layer),,B20013,Height of base of cloud,,,Operational
02,Meteorological sequences common to surface data,D02006,(Pressure and 24-hour pressure change),,B10004,Pressure,Station level,,Operational
02,Meteorological sequences common to surface data,D02006,(Pressure and 24-hour pressure change),,B10051,Pressure reduced to mean sea level,,,Operational
02,Meteorological sequences common to surface data,D02006,(Pressure and 24-hour pressure change),,B10062,24-hour pressure change,,,Operational
02,Meteorological sequences common to surface data,D02006,(Pressure and 24-hour pressure change),,B10063,Characteristic of pressure tendency,,,Operational
02,Meteorological sequences common to surface data,D02011,(Low altitude station),,D02001,Pressure and 3-hour pressure change,,,Operational
02,Meteorological sequences common to surface data,D02011,(Low altitude station),,D02003,"Wind, temperature, humidity, visibility, weather",,,Operational
02,Meteorological sequences common to surface data,D02011,(Low altitude station),,D02004,General cloud information,Significant cloud layer,,Operational
02,Meteorological sequences common to surface data,D02012,(High altitude station),,D02002,High altitude station,Pressure and pressure change,,Operational
02,Meteorological sequences common to surface data,D02012,(High altitude station),,D02003,"Wind, temperature, humidity, visibility, weather",,,Operational
02,Meteorological sequences common to surface data,D02012,(High altitude station),,D02004,General cloud information,Significant cloud layer,,Operational
02,Meteorological sequences common to surface data,D02013,(Basic surface report),,D02006,Pressure and 24-hour pressure change,,,Operational
02,Meteorological sequences common to surface data,D02013,(Basic surface report),,D02003,"Wind, temperature, humidity, visibility, weather",,,Operational
02,Meteorological sequences common to surface data,D02013,(Basic surface report),,R01000,Delayed replication of 1 descriptor,,,Operational
02,Meteorological sequences common to surface data,D02013,(Basic surface report),,D02005,Cloud layer,,,Operational
02,Meteorological sequences common to surface data,D02021,(Waves),,B22001,Direction of waves,,,Operational
02,Meteorological sequences common to surface data,D02021,(Waves),,B22011,Period of waves,,,Operational
02,Meteorological sequences common to surface data,D02021,(Waves),,B22021,Height of waves,,,Operational
02,Meteorological sequences common to surface data,D02022,(Wind waves),,B22002,Direction of wind waves,,,Operational
02,Meteorological sequences common to surface data,D02022,(Wind waves),,B22012,Period of wind waves,,,Operational
02,Meteorological sequences common to surface data,D02022,(Wind waves),,B22022,Height of wind waves,,,Operational
02,Meteorological sequences common to surface data,D02023,(Swell waves),,B22003,Direction of swell waves,,,Operational
02,Meteorological sequences common to surface data,D02023,(Swell waves),,B22013,Period of swell waves,,,Operational
02,Meteorological sequences common to surface data,D02023,(Swell waves),,B22023,Height of swell waves,,,Operational
02,Meteorological sequences common to surface data,D02024,(Wind and swell waves),,D02022,Wind waves,,,Operational
02,Meteorological sequences common to surface data,D02024,(Wind and swell waves),,R01002,Replicate 1 descriptor 2 times,,,Operational
02,Meteorological sequences common to surface data,D02024,(Wind and swell waves),,D02023,Swell waves,2 systems of swell,,Operational
02,Meteorological sequences common to surface data,D02031,(Pressure information),,D02001,Pressure and 3-hour pressure change,,,Operational
02,Meteorological sequences common to surface data,D02031,(Pressure information),,B10062,24-hour pressure change,,,Operational
