ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
20,Observed phenomena,020001,Horizontal visibility,m,-1,0,13,m,-1,4,,,Operational
20,Observed phenomena,020002,Vertical visibility,m,-1,0,7,m,-1,3,,,Operational
20,Observed phenomena,020003,Present weather,Code table,0,0,9,Code table,0,3,(see Note 1),172,Operational
20,Observed phenomena,020004,Past weather (1),Code table,0,0,5,Code table,0,2,(see Note 2),171,Operational
20,Observed phenomena,020005,Past weather (2),Code table,0,0,5,Code table,0,2,(see Note 2),171,Operational
20,Observed phenomena,020006,Flight rules,Code table,0,0,3,Code table,0,1,,,Operational
20,Observed phenomena,020008,Cloud distribution for aviation,Code table,0,0,5,Code table,0,2,,,Operational
20,Observed phenomena,020009,General weather indicator (TAF/METAR),Code table,0,0,4,Code table,0,2,,,Operational
20,Observed phenomena,020010,Cloud cover (total),%,0,0,7,%,0,3,(see Note 5),20,Operational
20,Observed phenomena,020011,Cloud amount,Code table,0,0,4,Code table,0,2,,,Operational
20,Observed phenomena,020012,Cloud type,Code table,0,0,6,Code table,0,2,,,Operational
20,Observed phenomena,020013,Height of base of cloud,m,-1,-40,11,m,-1,4,(see Note 6),170,Operational
20,Observed phenomena,020014,Height of top of cloud,m,-1,-40,11,m,-1,4,,,Operational
20,Observed phenomena,020015,Pressure at base of cloud,Pa,-1,0,14,Pa,-1,5,,,Operational
20,Observed phenomena,020016,Pressure at top of cloud,Pa,-1,0,14,Pa,-1,5,,,Operational
20,Observed phenomena,020017,Cloud top description,Code table,0,0,4,Code table,0,2,,,Operational
20,Observed phenomena,020018,Tendency of runway visual range,Code table,0,0,2,Code table,0,1,,,Operational
20,Observed phenomena,020019,Significant present or forecast weather,CCITT IA5,0,0,72,Character,0,9,(see Note 15),118,Operational
20,Observed phenomena,020020,Significant recent weather phenomena,CCITT IA5,0,0,32,Character,0,4,(see Note 15),118,Operational
20,Observed phenomena,020021,Type of precipitation,Flag table,0,0,30,Flag table,0,10,,,Operational
20,Observed phenomena,020022,Character of precipitation,Code table,0,0,4,Code table,0,2,,,Operational
20,Observed phenomena,020023,Other weather phenomena,Flag table,0,0,18,Flag table,0,6,,,Operational
20,Observed phenomena,020024,Intensity of phenomena,Code table,0,0,3,Code table,0,1,,,Operational
20,Observed phenomena,020025,Obscuration,Flag table,0,0,21,Flag table,0,7,,,Operational
20,Observed phenomena,020026,Character of obscuration,Code table,0,0,4,Code table,0,2,,,Operational
20,Observed phenomena,020027,Phenomena occurrence,Flag table,0,0,9,Flag table,0,3,,,Operational
20,Observed phenomena,020028,Expected change in intensity,Code table,0,0,3,Code table,0,1,,,Operational
20,Observed phenomena,020029,Rain flag,Code table,0,0,2,Code table,0,1,,,Operational
20,Observed phenomena,020031,Ice deposit (thickness),m,2,0,7,m,2,3,,,Operational
20,Observed phenomena,020032,Rate of ice accretion (estimated),Code table,0,0,3,Code table,0,1,,,Operational
20,Observed phenomena,020033,Cause of ice accretion,Flag table,0,0,4,Flag table,0,2,,,Operational
20,Observed phenomena,020034,Sea ice concentration,Code table,0,0,5,Code table,0,2,,,Operational
20,Observed phenomena,020035,Amount and type of ice,Code table,0,0,4,Code table,0,2,,,Operational
20,Observed phenomena,020036,Ice situation,Code table,0,0,5,Code table,0,2,,,Operational
20,Observed phenomena,020037,Ice development,Code table,0,0,5,Code table,0,2,,,Operational
20,Observed phenomena,020038,Bearing of ice edge,degree true,0,0,12,degree true,0,3,(see Note 3),135,Operational
20,Observed phenomena,020039,Ice distance,m,-1,0,13,m,-1,4,,,Operational
20,Observed phenomena,020040,Evolution of drift snow,Code table,0,0,4,Code table,0,2,,,Operational
20,Observed phenomena,020041,Airframe icing,Code table,0,0,4,Code table,0,2,,,Operational
20,Observed phenomena,020042,Airframe icing present,Code table,0,0,2,Code table,0,1,,,Operational
20,Observed phenomena,020043,Peak liquid water content,kg m-3,4,0,7,kg m-3,4,2,,,Operational
20,Observed phenomena,020044,Average liquid water content,kg m-3,4,0,7,kg m-3,4,2,,,Operational
20,Observed phenomena,020045,Supercooled large droplet (SLD) conditions,Code table,0,0,2,Code table,0,1,,,Operational
20,Observed phenomena,020048,Evolution of feature,Code table,0,0,4,Code table,0,2,,,Operational
20,Observed phenomena,020050,Cloud index,Code table,0,0,8,Code table,0,3,,,Operational
20,Observed phenomena,020051,Amount of low clouds,%,0,0,7,%,0,3,,,Operational
20,Observed phenomena,020052,Amount of middle clouds,%,0,0,7,%,0,3,,,Operational
20,Observed phenomena,020053,Amount of high clouds,%,0,0,7,%,0,3,,,Operational
20,Observed phenomena,020054,True direction from which a phenomenon or clouds are moving or in which they are observed,degree true,0,0,9,degree true,0,3,(see Note 17),159,Operational
20,Observed phenomena,020055,State of sky in the tropics,Code table,0,0,4,Code table,0,2,,,Operational
20,Observed phenomena,020056,Cloud phase,Code table,0,0,3,Code table,0,1,,,Operational
20,Observed phenomena,020058,Visibility seawards from a coastal station,m,-1,0,13,m,-1,4,,,Operational
20,Observed phenomena,020059,Minimum horizontal visibility,m,-1,0,9,m,-1,3,,,Operational
20,Observed phenomena,020060,Prevailing horizontal visibility,m,-1,0,10,m,-1,4,(see Note 7),24,Operational
20,Observed phenomena,020061,Runway visual range (RVR),m,0,0,12,m,0,4,,,Operational
20,Observed phenomena,020062,State of the ground (with or without snow),Code table,0,0,5,Code table,0,2,,,Operational
20,Observed phenomena,020063,Special phenomena,Code table,0,0,10,Code table,0,4,,,Operational
20,Observed phenomena,020065,Snow cover,%,0,0,7,%,0,3,(see Note 4),120,Operational
20,Observed phenomena,020066,Maximum diameter of hailstones,m,3,0,8,m,3,3,,,Operational
20,Observed phenomena,020067,Diameter of deposit,m,3,0,9,m,3,3,,,Operational
20,Observed phenomena,020070,Minimum number of atmospherics,Numeric,0,0,7,Numeric,0,3,,,Operational
