ClassNo,ClassName_en,FXY,ElementName_en,Note_en,noteIDs,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Status
25,Processing information,025001,Range-gate length,,,m,-1,0,6,m,-1,2,Operational
25,Processing information,025002,Number of gates averaged,,,Numeric,0,0,4,Numeric,0,2,Operational
25,Processing information,025003,Number of integrated pulses,,,Numeric,0,0,8,Numeric,0,3,Operational
25,Processing information,025004,Echo processing,,,Code table,0,0,2,Code table,0,1,Operational
25,Processing information,025005,Echo integration,,,Code table,0,0,2,Code table,0,1,Operational
25,Processing information,025006,Z to R conversion,,,Code table,0,0,3,Code table,0,1,Operational
25,Processing information,025007,Z to R conversion factor,,,Numeric,0,0,12,Numeric,0,4,Operational
25,Processing information,025008,Z to R conversion exponent,,,Numeric,2,0,9,Numeric,2,3,Operational
25,Processing information,025009,Calibration method,(see Note 3),56,Flag table,0,0,4,Flag table,0,2,Operational
25,Processing information,025010,Clutter treatment,,,Code table,0,0,4,Code table,0,2,Operational
25,Processing information,025011,Ground occultation correction (screening),,,Code table,0,0,2,Code table,0,1,Operational
25,Processing information,025012,Range attenuation correction,,,Code table,0,0,2,Code table,0,1,Operational
25,Processing information,025013,Bright-band correction,,,Flag table,0,0,2,Flag table,0,1,Operational
25,Processing information,025014,Azimuth clutter cut-off,(see Note 1),15,Numeric,0,0,12,Numeric,0,4,Operational
25,Processing information,025015,Radome attenuation correction,,,Flag table,0,0,2,Flag table,0,1,Operational
25,Processing information,025016,Clear-air attenuation correction,,,dB/m,5,0,6,dB/m,5,2,Operational
25,Processing information,025017,Precipitation attenuation correction,,,Flag table,0,0,2,Flag table,0,1,Operational
25,Processing information,025018,A to Z law for attenuation factor,,,Numeric,7,0,6,Numeric,7,2,Operational
25,Processing information,025019,A to Z law for attenuation exponent,,,Numeric,2,0,7,Numeric,2,3,Operational
25,Processing information,025020,Mean speed estimation,,,Code table,0,0,2,Code table,0,1,Operational
25,Processing information,025021,Wind computation enhancement,,,Flag table,0,0,8,Flag table,0,3,Operational
25,Processing information,025022,GHRSST rejection flag,*,82,Flag table,0,0,9,Flag table,0,3,Operational
25,Processing information,025023,GHRSST confidence flag,,,Flag table,0,0,9,Flag table,0,3,Operational
25,Processing information,025024,GHRSST data quality,,,Code table,0,0,4,Code table,0,2,Operational
25,Processing information,025025,Battery voltage,,,V,1,0,9,V,1,3,Operational
25,Processing information,025026,Battery voltage (large range),,,V,1,0,12,V,1,4,Operational
25,Processing information,025028,Operator or manufacturer defined parameter,,,Numeric,1,-16384,15,Numeric,1,5,Operational
25,Processing information,025029,Calibration method,(see Note 3),56,Flag table,0,0,6,Flag table,0,2,Operational
25,Processing information,025030,Running mean sea-surface temperature usage,,,Code table,0,0,2,Code table,0,1,Operational
25,Processing information,025031,NWP-generated vertical profile thinning method,,,Code table,0,0,3,Code table,0,1,Operational
25,Processing information,025032,Wind profiler mode information,(see Note 2),131,Code table,0,0,2,Code table,0,1,Operational
25,Processing information,025033,Wind profiler submode information,(see Note 2),131,Code table,0,0,2,Code table,0,1,Operational
25,Processing information,025034,Wind profiler quality control test results,(see Note 2),131,Flag table,0,0,4,Flag table,0,2,Operational
25,Processing information,025035,Decision method for polarity,(see Note 5),34,Code table,0,0,3,Code table,0,1,Operational
25,Processing information,025036,Atmospherics location method,,,Code table,0,0,4,Code table,0,2,Operational
25,Processing information,025037,SST bias,,,K,2,-127,8,K,2,3,Operational
25,Processing information,025038,Difference between SST and analysis,,,K,1,-127,8,K,1,3,Operational
25,Processing information,025040,CO2 wind product derivation,,,Code table,0,0,4,Code table,0,2,Operational
25,Processing information,025041,Moving platform direction reporting method,,,Code table,0,0,2,Code table,0,1,Operational
25,Processing information,025042,Moving platform speed reporting method,,,Code table,0,0,2,Code table,0,1,Operational
25,Processing information,025043,Wave sampling interval (time),,,s,4,0,15,s,4,5,Operational
25,Processing information,025044,Wave sampling interval (space),,,m,2,0,14,m,2,5,Operational
25,Processing information,025045,HIRS channel combination,,,Flag table,0,0,21,Flag table,0,7,Operational
25,Processing information,025046,MSU channel combination,,,Flag table,0,0,5,Flag table,0,2,Operational
25,Processing information,025047,SSU channel combination,,,Flag table,0,0,4,Flag table,0,2,Operational
25,Processing information,025048,AMSU-A channel combination,,,Flag table,0,0,16,Flag table,0,6,Operational
25,Processing information,025049,AMSU-B channel combination,,,Flag table,0,0,6,Flag table,0,2,Operational
