Id,ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
bufr4/0/10/001,10,Non-coordinate location (vertical),010001,Height of land surface,m,0,-400,15,m,0,5,,,Operational
bufr4/0/10/002,10,Non-coordinate location (vertical),010002,Height,m,-1,-40,16,m,-1,5,,,Operational
bufr4/0/10/003,10,Non-coordinate location (vertical),010003,Geopotential,m2 s-2,-1,-400,17,m2 s-2,-1,6,,,Operational
bufr4/0/10/004,10,Non-coordinate location (vertical),010004,Pressure,Pa,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/10/007,10,Non-coordinate location (vertical),010007,Height,m,0,-1000,17,m,0,6,,,Operational
bufr4/0/10/008,10,Non-coordinate location (vertical),010008,Geopotential,m2 s-2,0,-10000,20,m2 s-2,0,7,,,Operational
bufr4/0/10/009,10,Non-coordinate location (vertical),010009,Geopotential height,gpm,0,-1000,17,gpm,0,5,,,Operational
bufr4/0/10/010,10,Non-coordinate location (vertical),010010,Minimum pressure reduced to mean sea level,Pa,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/10/011,10,Non-coordinate location (vertical),010011,Maximum pressure reduced to mean sea level,Pa,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/10/031,10,Non-coordinate location (vertical),010031,"In direction of the North Pole, distance from the Earth's centre",m,2,-1073741824,31,m,2,10,(see Notes 2 and 3),"93,150",Operational
bufr4/0/10/032,10,Non-coordinate location (vertical),010032,Satellite distance to Earth's centre,m,1,0,27,m,2,9,,,Operational
bufr4/0/10/033,10,Non-coordinate location (vertical),010033,Altitude (platform to ellipsoid),m,1,0,27,m,2,9,,,Operational
bufr4/0/10/034,10,Non-coordinate location (vertical),010034,Earth's radius,m,1,0,27,m,2,9,,,Operational
bufr4/0/10/035,10,Non-coordinate location (vertical),010035,Earth's local radius of curvature,m,1,62000000,22,m,1,8,,,Operational
bufr4/0/10/036,10,Non-coordinate location (vertical),010036,Geoid undulation,m,2,-15000,15,m,2,6,(see Note 4),128,Operational
bufr4/0/10/038,10,Non-coordinate location (vertical),010038,Maximum height of deck cargo above summer load line,m,0,0,6,m,0,2,,,Operational
bufr4/0/10/039,10,Non-coordinate location (vertical),010039,Departure of reference level (summer maximum load line) from actual sea level,m,0,-32,6,m,0,3,,,Operational
bufr4/0/10/040,10,Non-coordinate location (vertical),010040,Number of retrieved layers,Numeric,0,0,10,Numeric,0,4,,,Operational
bufr4/0/10/050,10,Non-coordinate location (vertical),010050,Standard deviation altitude,m,2,0,16,m,2,5,,,Operational
bufr4/0/10/051,10,Non-coordinate location (vertical),010051,Pressure reduced to mean sea level,Pa,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/10/052,10,Non-coordinate location (vertical),010052,Altimeter setting (QNH),Pa,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/10/053,10,Non-coordinate location (vertical),010053,Global navigation satellite system altitude,m,0,-1000,17,m,0,5,,,Operational
bufr4/0/10/060,10,Non-coordinate location (vertical),010060,Pressure change,Pa,-1,-1024,11,Pa,-1,4,,,Operational
bufr4/0/10/061,10,Non-coordinate location (vertical),010061,3-hour pressure change,Pa,-1,-500,10,Pa,-1,4,,,Operational
bufr4/0/10/062,10,Non-coordinate location (vertical),010062,24-hour pressure change,Pa,-1,-1000,11,Pa,-1,4,,,Operational
bufr4/0/10/063,10,Non-coordinate location (vertical),010063,Characteristic of pressure tendency,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/10/064,10,Non-coordinate location (vertical),010064,SIGMET cruising level,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/10/070,10,Non-coordinate location (vertical),010070,Indicated aircraft altitude,m,0,-400,16,m,0,5,,,Operational
bufr4/0/10/071,10,Non-coordinate location (vertical),010071,Vertical resolution,m,0,0,14,m,0,5,,,Operational
bufr4/0/10/073,10,Non-coordinate location (vertical),010073,Height of plume,m,2,0,21,m,2,7,,,Operational
