Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status,
12,Single level report sequences (satellite data),312001,,,301043,"Satellite identifier, wind computation method, date/time, location",,,,Operational,
12,Single level report sequences (satellite data),312001,,,304001,"Cloud top pressure, temperature, wind",,,,Operational,
12,Single level report sequences (satellite data),312002,,,301043,"Satellite identifier, wind computation method, date/time, location",,,,Operational,
12,Single level report sequences (satellite data),312002,,,304002,"Cloud top pressure, wind",,,,Operational,
12,Single level report sequences (satellite data),312003,,,301042,"Satellite identifier, instrument, data-processing technique, date/time, location",,,,Operational,
12,Single level report sequences (satellite data),312003,,,304003,Surface temperature,,,,Operational,
12,Single level report sequences (satellite data),312004,,,301042,"Satellite identifier, instrument, data-processing technique, date/time, location",,,,Operational,
12,Single level report sequences (satellite data),312004,,,304004,"Cloud top pressure, cloud cover, temperature",,,,Operational,
12,Single level report sequences (satellite data),312005,,,301042,"Satellite identifier, instrument, data-processing technique, date/time, location",,,,Operational,
12,Single level report sequences (satellite data),312005,,,020014,Height of top of cloud,,,,Operational,
12,Single level report sequences (satellite data),312006,,,301044,"Satellite identifier, humidity computation method, date/time, location",,,,Operational,
12,Single level report sequences (satellite data),312006,,,304005,Layer mean relative humidity,,,,Operational,
12,Single level report sequences (satellite data),312007,,,301042,"Satellite identifier, instrument, data-processing technique, date/time, location",,,,Operational,
12,Single level report sequences (satellite data),312007,,,304006,Radiation,,,,Operational,
12,Single level report sequences (satellite data),312010,"(Orbital information, Part I)",,001007,Satellite identifier,,,,Operational,
12,Single level report sequences (satellite data),312010,"(Orbital information, Part I)",,005040,Orbit number,,,,Operational,
12,Single level report sequences (satellite data),312010,"(Orbital information, Part I)",,002021,Satellite instrument data used in processing,,,,Operational,
12,Single level report sequences (satellite data),312010,"(Orbital information, Part I)",,005041,Scan line number,,,,Operational,
12,Single level report sequences (satellite data),312010,"(Orbital information, Part I)",,004001,Year,,,,Operational,
12,Single level report sequences (satellite data),312010,"(Orbital information, Part I)",,004043,Day of the year,,,,Operational,
12,Single level report sequences (satellite data),312011,"(Orbital information, Part II)",,202131,Change scale,,,,Operational,
12,Single level report sequences (satellite data),312011,"(Orbital information, Part II)",,201149,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312011,"(Orbital information, Part II)",,004006,Second,,,,Operational,
12,Single level report sequences (satellite data),312011,"(Orbital information, Part II)",,201000,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312011,"(Orbital information, Part II)",,202126,Change scale,,,,Operational,
12,Single level report sequences (satellite data),312011,"(Orbital information, Part II)",,010002,Height,,,,Operational,
12,Single level report sequences (satellite data),312011,"(Orbital information, Part II)",,202000,Change scale,,,,Operational,
12,Single level report sequences (satellite data),312011,"(Orbital information, Part II)",,005043,Field of view number,,,,Operational,
12,Single level report sequences (satellite data),312011,"(Orbital information, Part II)",,005053,Field of view number increment,,,,Operational,
12,Single level report sequences (satellite data),312012,(HIRS brightness temperatures - channels 1-19),,202129,Change scale,,,,Operational,
12,Single level report sequences (satellite data),312012,(HIRS brightness temperatures - channels 1-19),,201132,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312012,(HIRS brightness temperatures - channels 1-19),,101019,Replicate 1 descriptor 19 times,,,,Operational,
12,Single level report sequences (satellite data),312012,(HIRS brightness temperatures - channels 1-19),,012063,Brightness temperature,,,,Operational,
12,Single level report sequences (satellite data),312012,(HIRS brightness temperatures - channels 1-19),,201000,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312012,(HIRS brightness temperatures - channels 1-19),,202000,Change scale,,,,Operational,
12,Single level report sequences (satellite data),312013,(HIRS brightness temperatures - channel 20),,005042,Channel number,,,,Operational,
12,Single level report sequences (satellite data),312013,(HIRS brightness temperatures - channel 20),,202129,Change scale,,,,Operational,
12,Single level report sequences (satellite data),312013,(HIRS brightness temperatures - channel 20),,201135,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312013,(HIRS brightness temperatures - channel 20),,012063,Brightness temperature,,,,Operational,
12,Single level report sequences (satellite data),312013,(HIRS brightness temperatures - channel 20),,201000,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312013,(HIRS brightness temperatures - channel 20),,202000,Change scale,,,,Operational,
12,Single level report sequences (satellite data),312014,(HIRS satellite data),,312010,"Orbital information, Part I",,,,Operational,
