FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status
030031,Picture type,0,PPI,,,,,Operational
030031,Picture type,1,Composite,,,,,Operational
030031,Picture type,2,CAPPl,,,,,Operational
030031,Picture type,3,Vertical section,,,,,Operational
030031,Picture type,4,Alphanumeric data,,,,,Operational
030031,Picture type,5,Map of subject clutter,,,,,Operational
030031,Picture type,6,Map,,,,,Operational
030031,Picture type,7,Test picture,,,,,Operational
030031,Picture type,8,Comments,,,,,Operational
030031,Picture type,9,Map of ground occultation,,,,,Operational
030031,Picture type,10,Map of radar beam height,,,,,Operational
030031,Picture type,11-13,Reserved,,,,,Operational
030031,Picture type,14,Other,,,,,Operational
030031,Picture type,15,Missing value,,,,,Operational
030032,Combination with other data,1,Map,,,,,Operational
030032,Combination with other data,2,Satellite IR,,,,,Operational
030032,Combination with other data,3,Satellite VIS,,,,,Operational
030032,Combination with other data,4,Satellite WV,,,,,Operational
030032,Combination with other data,5,Satellite multispectral,,,,,Operational
030032,Combination with other data,6,Synoptic observations,,,,,Operational
030032,Combination with other data,7,Forecast parameters,,,,,Operational
030032,Combination with other data,8,Lightning data,,,,,Operational
030032,Combination with other data,9-14,Reserved,,,,,Operational
030032,Combination with other data,15,Other data,,,,,Operational
030032,Combination with other data,All 16,Missing value,,,,,Operational
