"﻿""Category""",CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
18,Radiological report sequences,D18001,,,D01025,"Latitude/longitude (coarse accuracy), day/time",,,Operational
18,Radiological report sequences,D18001,,,B24011,Dose,,,Operational
18,Radiological report sequences,D18003,,,D01026,"Latitude/longitude (high accuracy), time period (day, hour, minute)",,,Operational
18,Radiological report sequences,D18003,,,B24005,Isotope mass,,,Operational
18,Radiological report sequences,D18003,,,B24004,Element name,,,Operational
18,Radiological report sequences,D18003,,,B24021,Air concentration (of named isotope type including gross beta),,,Operational
18,Radiological report sequences,D18004,,,D01025,"Latitude/longitude (coarse accuracy), day/time",,,Operational
18,Radiological report sequences,D18004,,,B04023,Time period or displacement,,,Operational
18,Radiological report sequences,D18004,,,B13011,Total precipitation/total water equivalent,,,Operational
18,Radiological report sequences,D18004,,,B24005,Isotope mass,,,Operational
18,Radiological report sequences,D18004,,,B24004,Element name,,,Operational
18,Radiological report sequences,D18004,,,B24022,Concentration in precipitation (of named isotope type),,,Operational
