ClassNo,ClassName_en,FXY,ElementName_en,Note_en,noteIDs,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Status
35,Data monitoring information,035000,FM and regional code number,,,Code table,0,0,10,Code table,0,3,Operational
35,Data monitoring information,035001,Time frame for monitoring,,,Code table,0,0,3,Code table,0,1,Operational
35,Data monitoring information,035011,Number of reports actually received,,,Numeric,0,0,14,Numeric,0,4,Operational
35,Data monitoring information,035021,Bulletin being monitored (TTAAii),,,CCITT IA5,0,0,48,Character,0,6,Operational
35,Data monitoring information,035022,Bulletin being monitored (YYGGgg),,,CCITT IA5,0,0,48,Character,0,6,Operational
35,Data monitoring information,035023,Bulletin being monitored (CCCC),,,CCITT IA5,0,0,32,Character,0,4,Operational
35,Data monitoring information,035024,Bulletin being monitored (BBB),,,CCITT IA5,0,0,24,Character,0,3,Operational
35,Data monitoring information,035030,Discrepancies in the availability of expected data,,,Code table,0,0,4,Code table,0,1,Operational
35,Data monitoring information,035031,Qualifier on monitoring results,,,Code table,0,0,7,Code table,0,2,Operational
35,Data monitoring information,035032,Cause of missing data,,,Code table,0,0,4,Code table,0,1,Operational
35,Data monitoring information,035033,Observation and collection deficiencies,,,Code table,0,0,7,Code table,0,2,Operational
35,Data monitoring information,035034,Statistical trends for availability of data (during the survey period(s)),,,Code table,0,0,3,Code table,0,1,Operational
35,Data monitoring information,035035,Reason for termination,,,Code table,0,0,5,Code table,0,2,Operational
