ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
13,Hydrographic and hydrological elements,013001,Specific humidity,kg/kg,5,0,14,kg/kg,5,5,,,Operational
13,Hydrographic and hydrological elements,013002,Mixing ratio,kg/kg,5,0,14,kg/kg,5,5,,,Operational
13,Hydrographic and hydrological elements,013003,Relative humidity,%,0,0,7,%,0,3,,,Operational
13,Hydrographic and hydrological elements,013004,Vapour pressure,Pa,-1,0,10,Pa,-1,4,,,Operational
13,Hydrographic and hydrological elements,013005,Vapour density,kg m-3,3,0,7,kg m-3,3,3,,,Operational
13,Hydrographic and hydrological elements,013006,Mixing heights,m,-1,-40,16,m,-1,5,,,Operational
13,Hydrographic and hydrological elements,013007,Minimum relative humidity,%,0,0,7,%,0,3,,,Operational
13,Hydrographic and hydrological elements,013008,Maximum relative humidity,%,0,0,7,%,0,3,,,Operational
13,Hydrographic and hydrological elements,013009,Relative humidity,%,1,-1000,12,%,1,4,(see Note 6),39,Operational
13,Hydrographic and hydrological elements,013011,Total precipitation/total water equivalent,kg m-2,1,-1,14,kg m-2,1,5,,,Operational
13,Hydrographic and hydrological elements,013012,Depth of fresh snow,m,2,-2,12,m,2,4,(see Note 2),26,Operational
13,Hydrographic and hydrological elements,013013,Total snow depth,m,2,-2,16,m,2,5,(see Note 2),26,Operational
13,Hydrographic and hydrological elements,013014,Rainfall/water equivalent of snow (averaged rate),kg m-2 s-1,4,0,12,kg m-2 s-1,4,4,,,Operational
13,Hydrographic and hydrological elements,013015,Snowfall (averaged rate),m/s,7,0,12,m/s,7,4,,,Operational
13,Hydrographic and hydrological elements,013016,Precipitable water,kg m-2,0,0,7,kg m-2,0,3,,,Operational
13,Hydrographic and hydrological elements,013019,Total precipitation past 1 hour,kg m-2,1,-1,14,kg m-2,1,4,,,Operational
13,Hydrographic and hydrological elements,013020,Total precipitation past 3 hours,kg m-2,1,-1,14,kg m-2,1,5,,,Operational
13,Hydrographic and hydrological elements,013021,Total precipitation past 6 hours,kg m-2,1,-1,14,kg m-2,1,5,,,Operational
13,Hydrographic and hydrological elements,013022,Total precipitation past 12 hours,kg m-2,1,-1,14,kg m-2,1,5,,,Operational
13,Hydrographic and hydrological elements,013023,Total precipitation past 24 hours,kg m-2,1,-1,14,kg m-2,1,5,,,Operational
13,Hydrographic and hydrological elements,013031,Evapotranspiration,kg m-2,0,0,7,kg m-2,0,3,,,Operational
13,Hydrographic and hydrological elements,013032,Evaporation/evapotranspiration,kg m-2,1,0,8,kg m-2,1,3,(see Note 5),53,Operational
