Id,ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
bufr4/0/00/001,00,BUFR/CREX table entries,000001,Table A: entry,CCITT IA5,0,0,24,Character,0,3,,,Operational
bufr4/0/00/002,00,BUFR/CREX table entries,000002,"Table A: data category description, line 1",CCITT IA5,0,0,256,Character,0,32,,,Operational
bufr4/0/00/003,00,BUFR/CREX table entries,000003,"Table A: data category description, line 2",CCITT IA5,0,0,256,Character,0,32,,,Operational
bufr4/0/00/004,00,BUFR/CREX table entries,000004,BUFR/CREX Master table,CCITT IA5,0,0,16,Character,0,2,(see Note 1),98,Operational
bufr4/0/00/005,00,BUFR/CREX table entries,000005,BUFR/CREX edition number,CCITT IA5,0,0,24,Character,0,3,,,Operational
bufr4/0/00/006,00,BUFR/CREX table entries,000006,BUFR Master table version number,CCITT IA5,0,0,16,Character,0,2,(see Note 2),33,Operational
bufr4/0/00/007,00,BUFR/CREX table entries,000007,CREX Master table version number,CCITT IA5,0,0,16,Character,0,2,(see Note 3),40,Operational
bufr4/0/00/008,00,BUFR/CREX table entries,000008,BUFR Local table version number,CCITT IA5,0,0,16,Character,0,2,(see Note 4),76,Operational
bufr4/0/00/010,00,BUFR/CREX table entries,000010,F descriptor to be added or defined,CCITT IA5,0,0,8,Character,0,1,,,Operational
bufr4/0/00/011,00,BUFR/CREX table entries,000011,X descriptor to be added or defined,CCITT IA5,0,0,16,Character,0,2,,,Operational
bufr4/0/00/012,00,BUFR/CREX table entries,000012,Y descriptor to be added or defined,CCITT IA5,0,0,24,Character,0,3,,,Operational
bufr4/0/00/013,00,BUFR/CREX table entries,000013,"Element name, line 1",CCITT IA5,0,0,256,Character,0,32,,,Operational
bufr4/0/00/014,00,BUFR/CREX table entries,000014,"Element name, line 2",CCITT IA5,0,0,256,Character,0,32,,,Operational
bufr4/0/00/015,00,BUFR/CREX table entries,000015,Units name,CCITT IA5,0,0,192,Character,0,24,,,Operational
bufr4/0/00/016,00,BUFR/CREX table entries,000016,Units scale sign,CCITT IA5,0,0,8,Character,0,1,,,Operational
bufr4/0/00/017,00,BUFR/CREX table entries,000017,Units scale,CCITT IA5,0,0,24,Character,0,3,,,Operational
bufr4/0/00/018,00,BUFR/CREX table entries,000018,Units reference sign,CCITT IA5,0,0,8,Character,0,1,,,Operational
bufr4/0/00/019,00,BUFR/CREX table entries,000019,Units reference value,CCITT IA5,0,0,80,Character,0,10,,,Operational
bufr4/0/00/020,00,BUFR/CREX table entries,000020,Element data width,CCITT IA5,0,0,24,Character,0,3,,,Operational
bufr4/0/00/024,00,BUFR/CREX table entries,000024,Code figure,CCITT IA5,0,0,64,Character,0,8,,,Operational
bufr4/0/00/025,00,BUFR/CREX table entries,000025,Code figure meaning,CCITT IA5,0,0,496,Character,0,62,,,Operational
bufr4/0/00/026,00,BUFR/CREX table entries,000026,Bit number,CCITT IA5,0,0,48,Character,0,6,,,Operational
bufr4/0/00/027,00,BUFR/CREX table entries,000027,Bit number meaning,CCITT IA5,0,0,496,Character,0,62,,,Operational
bufr4/0/00/030,00,BUFR/CREX table entries,000030,Descriptor defining sequence,CCITT IA5,0,0,48,Character,0,6,,,Operational
