Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
08,Surface report sequences (sea),308001,(Buoy/platform - fixed),,301033,Buoy/platform - fixed,"Identification, type, date/time, position (high accuracy)",,Operational
08,Surface report sequences (sea),308001,(Buoy/platform - fixed),,302011,Low altitude station,Basic surface report,,Operational
08,Surface report sequences (sea),308001,(Buoy/platform - fixed),,022042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),308002,(Buoy/platform - fixed),,301034,Buoy/platform - fixed,"Identification, type, date/time, position (coarse accuracy)",,Operational
08,Surface report sequences (sea),308002,(Buoy/platform - fixed),,302011,Low altitude station,Basic surface report,,Operational
08,Surface report sequences (sea),308002,(Buoy/platform - fixed),,022042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),308003,(Buoy/platform - moving) (see Note 1),,301035,Buoy/platform - moving,"Identification, movement, type, date/time, position (coarse accuracy)",,Operational
08,Surface report sequences (sea),308003,(Buoy/platform - moving),,302011,Low altitude station,Basic surface report,,Operational
08,Surface report sequences (sea),308003,(Buoy/platform - moving),,022042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),308004,(Ship),,301036,Ship,"Identification, movement, type, date/time, position (coarse accuracy)",,Operational
08,Surface report sequences (sea),308004,(Ship),,302011,Low altitude station,Basic surface report,,Operational
08,Surface report sequences (sea),308004,(Ship),,022042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),308005,,,308004,Ship,Basic ship report,,Operational
08,Surface report sequences (sea),308005,,,302024,Wind and swell waves,,,Operational
08,Surface report sequences (sea),308006,(Buoy Section 1 optional parameters),,010004,Pressure,,,Operational
08,Surface report sequences (sea),308006,(Buoy Section 1 optional parameters),,010061,3-hour pressure change,,,Operational
08,Surface report sequences (sea),308006,(Buoy Section 1 optional parameters),,010063,Characteristic of pressure tendency,,,Operational
08,Surface report sequences (sea),308006,(Buoy Section 1 optional parameters),,011001,Wind direction,,,Operational
08,Surface report sequences (sea),308006,(Buoy Section 1 optional parameters),,011002,Wind speed,,,Operational
08,Surface report sequences (sea),308006,(Buoy Section 1 optional parameters),,012004,Air temperature at 2 m,,,Operational
08,Surface report sequences (sea),308006,(Buoy Section 1 optional parameters),,013003,Relative humidity,,,Operational
08,Surface report sequences (sea),308006,(Buoy Section 1 optional parameters),,022042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),308007,,,301055,"Identification and type of station, date/time, location (high accuracy), movement",,,Operational
08,Surface report sequences (sea),308007,,,302011,Low altitude station,Basic surface report,,Operational
08,Surface report sequences (sea),308007,,,007062,Depth below sea/water surface,,,Operational
08,Surface report sequences (sea),308007,,,022042,Sea/water temperature,,,Operational
08,Surface report sequences (sea),308009,(Sequence for representation of synoptic reports from a sea station suitable for SHIP data),,301093,"Ship identification, movement, date/time, horizontal and vertical coordinates",,,Operational
08,Surface report sequences (sea),308009,(Sequence for representation of synoptic reports from a sea station suitable for SHIP data),,302001,Pressure and 3-hour pressure change,,,Operational
08,Surface report sequences (sea),308009,(Sequence for representation of synoptic reports from a sea station suitable for SHIP data),,302054,"Ship ""instantaneous"" data",,,Operational
08,Surface report sequences (sea),308009,(Sequence for representation of synoptic reports from a sea station suitable for SHIP data),,008002,Vertical significance (surface observations),,,Operational
08,Surface report sequences (sea),308009,(Sequence for representation of synoptic reports from a sea station suitable for SHIP data),,302055,Icing and ice,,,Operational
08,Surface report sequences (sea),308009,(Sequence for representation of synoptic reports from a sea station suitable for SHIP data),,302057,Ship marine data,,,Operational
08,Surface report sequences (sea),308009,(Sequence for representation of synoptic reports from a sea station suitable for SHIP data),,302060,"Ship ""period"" data",,,Operational
08,Surface report sequences (sea),308010,(TRACKOB template),,001011,Ship or mobile land station identifier,,,Operational
08,Surface report sequences (sea),308010,(TRACKOB template),,113000,Delayed replication of 13 descriptors,,,Operational
08,Surface report sequences (sea),308010,(TRACKOB template),,031001,Delayed descriptor replication factor,,,Operational
08,Surface report sequences (sea),308010,(TRACKOB template),,301011,"Year, month, day",,,Operational
08,Surface report sequences (sea),308010,(TRACKOB template),,301012,"Hour, minute",,,Operational
08,Surface report sequences (sea),308010,(TRACKOB template),,301021,Latitude/longitude (high accuracy),,,Operational
08,Surface report sequences (sea),308010,(TRACKOB template),,004080,Averaging period for following value,,,Operational
08,Surface report sequences (sea),308010,(TRACKOB template),,022049,Sea-surface temperature,,,Operational
