"﻿""Category""",CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B01007,Satellite identifier,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B02019,Satellite instruments,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B04001,Year,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B04002,Month,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B04003,Day,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B04004,Hour,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B04005,Minute,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B04006,Second,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B05001,Latitude (high accuracy),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B06001,Longitude (high accuracy),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B27001,Latitude (high accuracy),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B28001,Longitude (high accuracy),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B27001,Latitude (high accuracy),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B28001,Longitude (high accuracy),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B27001,Latitude (high accuracy),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B28001,Longitude (high accuracy),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B27001,Latitude (high accuracy),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B28001,Longitude (high accuracy),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B10001,Height of land surface,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B14019,Surface albedo,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B07025,Solar zenith angle,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B10080,Viewing zenith angle,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B05023,Sun to satellite azimuth difference,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B20010,Cloud cover (total),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B08003,Vertical significance (satellite observations),,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B07004,Pressure,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B14026,Albedo at the top of clouds,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B20014,Height of top of cloud,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B13093,Cloud optical thickness,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,R05000,Delayed replication of 5 descriptors,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B07004,Pressure,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B07004,Pressure,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B08043,Atmospheric chemical or physical constituent type,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B08044,CAS registry number,,,Operational
22,Chemical and aerosol sequences,D22028,(METOP GOME-2),,B15021,Integrated mass density,,,Operational
