Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status
01,Location and identification sequences,D01001,(WMO block and station numbers),,B01001,WMO block number,,,,Operational
01,Location and identification sequences,D01001,(WMO block and station numbers),,B01002,WMO station number,,,,Operational
01,Location and identification sequences,D01002,,,B01003,WMO Region number/geographical area,,,,Operational
01,Location and identification sequences,D01002,,,B01004,WMO Region sub-area,,,,Operational
01,Location and identification sequences,D01002,,,B01005,Buoy/platform identifier,,,,Operational
01,Location and identification sequences,D01003,(Ship's call sign and motion),,B01011,Ship or mobile land station identifier,Ship's call sign,,,Operational
01,Location and identification sequences,D01003,(Ship's call sign and motion),,B01012,Direction of motion of moving observing platform,,,,Operational
01,Location and identification sequences,D01003,(Ship's call sign and motion),,B01013,Speed of motion of moving observing platform,,,,Operational
01,Location and identification sequences,D01004,(Surface station identification),,B01001,WMO block number,,,,Operational
01,Location and identification sequences,D01004,(Surface station identification),,B01002,WMO station number,,,,Operational
01,Location and identification sequences,D01004,(Surface station identification),,B01015,Station or site name,,,,Operational
01,Location and identification sequences,D01004,(Surface station identification),,B02001,Type of station,,,,Operational
01,Location and identification sequences,D01005,(Originating centre/sub-centre),,B01035,Originating centre,,,,Operational
01,Location and identification sequences,D01005,(Originating centre/sub-centre),,B01034,Identification of originating/generating sub-centre,,,,Operational
01,Location and identification sequences,D01011,"(Year, month, day)",,B04001,Year,,,,Operational
01,Location and identification sequences,D01011,"(Year, month, day)",,B04002,Month,,,,Operational
01,Location and identification sequences,D01011,"(Year, month, day)",,B04003,Day,,,,Operational
01,Location and identification sequences,D01012,"(Hour, minute)",,B04004,Hour,,,,Operational
01,Location and identification sequences,D01012,"(Hour, minute)",,B04005,Minute,,,,Operational
01,Location and identification sequences,D01013,"(Hour, minute, second)",,B04004,Hour,,,,Operational
01,Location and identification sequences,D01013,"(Hour, minute, second)",,B04005,Minute,,,,Operational
01,Location and identification sequences,D01013,"(Hour, minute, second)",,B04006,Second,,,,Operational
01,Location and identification sequences,D01014,(Time period),,R02002,Replicate 2 descriptors 2 times,,,,Operational
01,Location and identification sequences,D01014,(Time period),,D01011,"Year, month, day",,,,Operational
01,Location and identification sequences,D01014,(Time period),,D01012,"Hour, minute",,,,Operational
01,Location and identification sequences,D01018,(Encrypted ship's call sign and encryption method),,B01114,Encrypted ship or mobile land station identifier (base64 encoding),See Notes 2-4,,,Operational
01,Location and identification sequences,D01018,(Encrypted ship's call sign and encryption method),,B25185,Encryption method,,,,Operational
01,Location and identification sequences,D01018,(Encrypted ship's call sign and encryption method),,B25186,Encryption key version,,,,Operational
01,Location and identification sequences,D01021,(Latitude/longitude (high accuracy)),,B05001,Latitude (high accuracy),,,,Operational
01,Location and identification sequences,D01021,(Latitude/longitude (high accuracy)),,B06001,Longitude (high accuracy),,,,Operational
01,Location and identification sequences,D01022,"(Latitude/longitude (high accuracy), height of station)",,B05001,Latitude (high accuracy),,,,Operational
01,Location and identification sequences,D01022,"(Latitude/longitude (high accuracy), height of station)",,B06001,Longitude (high accuracy),,,,Operational
01,Location and identification sequences,D01022,"(Latitude/longitude (high accuracy), height of station)",,B07001,Height of station,,,,Operational
01,Location and identification sequences,D01023,(Latitude/longitude (coarse accuracy)),,B05002,Latitude (coarse accuracy),,,,Operational
01,Location and identification sequences,D01023,(Latitude/longitude (coarse accuracy)),,B06002,Longitude (coarse accuracy),,,,Operational
01,Location and identification sequences,D01024,"(Latitude/longitude (coarse accuracy), height of station)",,B05002,Latitude (coarse accuracy),,,,Operational
01,Location and identification sequences,D01024,"(Latitude/longitude (coarse accuracy), height of station)",,B06002,Longitude (coarse accuracy),,,,Operational
01,Location and identification sequences,D01024,"(Latitude/longitude (coarse accuracy), height of station)",,B07001,Height of station,,,,Operational
01,Location and identification sequences,D01025,"(Latitude/longitude (coarse accuracy), day/time)",,D01023,Latitude/longitude (coarse accuracy),,,,Operational
01,Location and identification sequences,D01025,"(Latitude/longitude (coarse accuracy), day/time)",,B04003,Day,,,,Operational
01,Location and identification sequences,D01025,"(Latitude/longitude (coarse accuracy), day/time)",,D01012,"Hour, minute",,,,Operational
