Id,ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
bufr4/0/12/001,12,Temperature,012001,Temperature/air temperature,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/002,12,Temperature,012002,Wet-bulb temperature,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/003,12,Temperature,012003,Dewpoint temperature,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/004,12,Temperature,012004,Air temperature at 2 m,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/005,12,Temperature,012005,Wet-bulb temperature at 2 m,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/006,12,Temperature,012006,Dewpoint temperature at 2 m,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/007,12,Temperature,012007,Virtual temperature,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/008,12,Temperature,012008,Uncertainty in virtual temperature,K,1,0,12,C,1,4,,,Operational
bufr4/0/12/011,12,Temperature,012011,"Maximum temperature, at height and over period specified",K,1,0,12,C,1,3,(see Note 1),177,Operational
bufr4/0/12/012,12,Temperature,012012,"Minimum temperature, at height and over period specified",K,1,0,12,C,1,3,(see Note 1),177,Operational
bufr4/0/12/013,12,Temperature,012013,"Ground minimum temperature, past 12 hours",K,1,0,12,C,1,3,,,Operational
bufr4/0/12/014,12,Temperature,012014,"Maximum temperature at 2 m, past 12 hours",K,1,0,12,C,1,3,,,Operational
bufr4/0/12/015,12,Temperature,012015,"Minimum temperature at 2 m, past 12 hours",K,1,0,12,C,1,3,,,Operational
bufr4/0/12/016,12,Temperature,012016,"Maximum temperature at 2 m, past 24 hours",K,1,0,12,C,1,3,,,Operational
bufr4/0/12/017,12,Temperature,012017,"Minimum temperature at 2 m, past 24 hours",K,1,0,12,C,1,3,,,Operational
bufr4/0/12/021,12,Temperature,012021,Maximum temperature at 2 m,K,2,0,16,C,2,4,,,Operational
bufr4/0/12/022,12,Temperature,012022,Minimum temperature at 2 m,K,2,0,16,C,2,4,,,Operational
bufr4/0/12/023,12,Temperature,012023,Temperature,C,0,-99,8,C,0,2,,,Operational
bufr4/0/12/024,12,Temperature,012024,Dewpoint temperature,C,0,-99,8,C,0,2,,,Operational
bufr4/0/12/030,12,Temperature,012030,Soil temperature,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/049,12,Temperature,012049,Temperature change over specified period,K,0,-30,6,C,0,2,,,Operational
bufr4/0/12/051,12,Temperature,012051,Standard deviation temperature,K,1,0,10,C,1,3,,,Operational
bufr4/0/12/052,12,Temperature,012052,Highest daily mean temperature,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/053,12,Temperature,012053,Lowest daily mean temperature,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/060,12,Temperature,012060,AWS enclosure internal temperature,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/061,12,Temperature,012061,Skin temperature,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/062,12,Temperature,012062,Equivalent black body temperature,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/063,12,Temperature,012063,Brightness temperature,K,1,0,12,C,1,3,,,Operational
bufr4/0/12/064,12,Temperature,012064,Instrument temperature,K,1,0,12,K,1,4,,,Operational
bufr4/0/12/065,12,Temperature,012065,Standard deviation brightness temperature,K,1,0,12,K,1,4,,,Operational
bufr4/0/12/066,12,Temperature,012066,Antenna temperature,K,2,0,16,C,2,5,,,Operational
bufr4/0/12/070,12,Temperature,012070,Warm load temperature,K,2,0,16,K,2,5,,,Operational
bufr4/0/12/071,12,Temperature,012071,Coldest cluster temperature,K,1,0,12,K,1,4,,,Operational
bufr4/0/12/072,12,Temperature,012072,Radiance,W m-2 sr-1,6,0,31,W m-2 sr-1,6,9,,,Operational
bufr4/0/12/075,12,Temperature,012075,Spectral radiance,W m-3 sr-1,-3,0,16,W m-3 sr-1,-3,5,,,Operational
bufr4/0/12/076,12,Temperature,012076,Radiance,W m-2 sr-1,3,0,16,W m-2 sr-1,3,5,(see Note 2),52,Operational
bufr4/0/12/080,12,Temperature,012080,Brightness temperature real part,K,2,-10000,16,K,2,5,,,Operational
bufr4/0/12/081,12,Temperature,012081,Brightness temperature imaginary part,K,2,-10000,16,K,2,5,,,Operational
bufr4/0/12/082,12,Temperature,012082,Pixel radiometric accuracy,K,2,0,12,K,2,4,,,Operational
bufr4/0/12/083,12,Temperature,012083,Temperature difference between observed and computed,K,2,-10000,16,K,2,6,,,Operational
bufr4/0/12/101,12,Temperature,012101,Temperature/air temperature,K,2,0,16,C,2,4,,,Operational
bufr4/0/12/102,12,Temperature,012102,Wet-bulb temperature,K,2,0,16,C,2,4,,,Operational
bufr4/0/12/103,12,Temperature,012103,Dewpoint temperature,K,2,0,16,C,2,4,,,Operational
bufr4/0/12/104,12,Temperature,012104,Air temperature at 2 m,K,2,0,16,C,2,4,,,Operational
bufr4/0/12/105,12,Temperature,012105,Web-bulb temperature at 2 m,K,2,0,16,C,2,4,,,Operational
bufr4/0/12/106,12,Temperature,012106,Dewpoint temperature at 2 m,K,2,0,16,C,2,4,,,Operational
bufr4/0/12/107,12,Temperature,012107,Virtual temperature,K,2,0,16,C,2,4,,,Operational
bufr4/0/12/111,12,Temperature,012111,"Maximum temperature, at height and over period specified",K,2,0,16,C,2,4,(see Note 1),177,Operational
bufr4/0/12/112,12,Temperature,012112,"Minimum temperature, at height and over period specified",K,2,0,16,C,2,4,(see Note 1),177,Operational
bufr4/0/12/113,12,Temperature,012113,"Ground minimum temperature, past 12 hours",K,2,0,16,C,2,4,,,Operational
bufr4/0/12/114,12,Temperature,012114,"Maximum temperature at 2 m, past 12 hours",K,2,0,16,C,2,4,,,Operational
bufr4/0/12/115,12,Temperature,012115,"Minimum temperature at 2 m, past 12 hours",K,2,0,16,C,2,4,,,Operational
bufr4/0/12/116,12,Temperature,012116,"Maximum temperature at 2 m, past 24 hours",K,2,0,16,C,2,4,,,Operational
bufr4/0/12/117,12,Temperature,012117,"Minimum temperature at 2 m, past 24 hours",K,2,0,16,C,2,4,,,Operational
bufr4/0/12/118,12,Temperature,012118,"Maximum temperature at height specified, past 24 hours",K,2,0,16,C,2,4,,,Operational
bufr4/0/12/119,12,Temperature,012119,"Minimum temperature at height specified, past 24 hours",K,2,0,16,C,2,4,,,Operational
bufr4/0/12/120,12,Temperature,012120,Ground temperature,K,2,0,16,C,2,4,,,Operational
