Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status
07,Surface report sequences (land),D07001,(Low altitude station),,D01031,"Identification and type of station, date/time, location (high accuracy), height of station",,,,Operational
07,Surface report sequences (land),D07001,(Low altitude station),,D02011,Low altitude station,Basic surface report,,,Operational
07,Surface report sequences (land),D07002,(Low altitude station),,D01032,"Identification and type of station, date/time, location (coarse accuracy), height of station",,,,Operational
07,Surface report sequences (land),D07002,(Low altitude station),,D02011,Low altitude station,Basic surface report,,,Operational
07,Surface report sequences (land),D07003,(Low altitude station),,D07001,Low altitude station,Location (high accuracy) and basic report,,,Operational
07,Surface report sequences (land),D07003,(Low altitude station),,R01000,Delayed replication of 1 descriptor,,,,Operational
07,Surface report sequences (land),D07003,(Low altitude station),,D02005,Cloud layer,,,,Operational
07,Surface report sequences (land),D07004,(Low altitude station),,D07002,Low altitude station,Location (coarse accuracy) and basic report,,,Operational
07,Surface report sequences (land),D07004,(Low altitude station),,R01000,Delayed replication of 1 descriptor,,,,Operational
07,Surface report sequences (land),D07004,(Low altitude station),,D02005,Cloud layer,,,,Operational
07,Surface report sequences (land),D07005,(Low altitude station),,D07001,Low altitude station,Location (high accuracy) and basic report,,,Operational
07,Surface report sequences (land),D07005,(Low altitude station),,R01004,Replicate 1 descriptor 4 times,,,,Operational
07,Surface report sequences (land),D07005,(Low altitude station),,D02005,Cloud layer,4 layers,,,Operational
07,Surface report sequences (land),D07006,(Low altitude station),,D07002,Low altitude station,Location (coarse accuracy) and basic report,,,Operational
07,Surface report sequences (land),D07006,(Low altitude station),,R01004,Replicate 1 descriptor 4 times,,,,Operational
07,Surface report sequences (land),D07006,(Low altitude station),,D02005,Cloud layer,4 layers,,,Operational
07,Surface report sequences (land),D07007,(High altitude station),,D01031,"Identification and type of station, date/time, location (high accuracy), height of station",,,,Operational
07,Surface report sequences (land),D07007,(High altitude station),,D02012,High altitude station,Basic surface report,,,Operational
07,Surface report sequences (land),D07008,(High altitude station),,D01032,"Identification and type of station, date/time, location (coarse accuracy), height of station",,,,Operational
07,Surface report sequences (land),D07008,(High altitude station),,D02012,High altitude station,Basic surface report,,,Operational
07,Surface report sequences (land),D07009,,,D01031,"Identification and type of station, date/time, location (high accuracy), height of station",,,,Operational
07,Surface report sequences (land),D07009,,,D02013,Basic surface report,,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B01063,ICAO location indicator,,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B02001,Type of station,,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,D01011,"Year, month, day",YY,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,D01012,"Hour, minute","GG, gg",,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,D01024,"Latitude/longitude (coarse accuracy), height of station",,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B07006,Height above station,Height of an anemometer,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B11001,Wind direction,,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B11016,Extreme counterclockwise wind direction of a variable wind,,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B11017,Extreme clockwise wind direction of a variable wind,,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B11002,Wind speed,,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B11041,Maximum wind gust speed,,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B07006,Height above station,Height of a thermometer,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B12001,Temperature/air temperature,,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B12003,Dewpoint temperature,,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B10052,Altimeter setting (QNH),,,,Operational
07,Surface report sequences (land),D07011,(Main part of data for representation of METAR/SPECI code in BUFR),,B20009,General weather indicator (TAF/METAR),,,,Operational
07,Surface report sequences (land),D07012,(Horizontal visibility),,R03000,Delayed replication of 3 descriptors,Up to 3,,,Operational
07,Surface report sequences (land),D07012,(Horizontal visibility),,B08023,First-order statistics,,,,Operational
07,Surface report sequences (land),D07012,(Horizontal visibility),,B05021,Bearing or azimuth,Direction of visibility observed,,,Operational
07,Surface report sequences (land),D07012,(Horizontal visibility),,B20001,Horizontal visibility,VVVV,,,Operational
07,Surface report sequences (land),D07013,(Runway visual range),,R06000,Delayed replication of 6 descriptors,Up to 4,,,Operational
07,Surface report sequences (land),D07013,(Runway visual range),,B01064,Runway designator,DRDR,,,Operational
07,Surface report sequences (land),D07013,(Runway visual range),,B08014,Qualifier for runway visual range,,,,Operational
07,Surface report sequences (land),D07013,(Runway visual range),,B20061,Runway visual range (RVR),VRVRVRVR,,,Operational
07,Surface report sequences (land),D07013,(Runway visual range),,B08014,Qualifier for runway visual range,,,,Operational
07,Surface report sequences (land),D07013,(Runway visual range),,B20061,Runway visual range (RVR),VRVRVRVR,,,Operational
07,Surface report sequences (land),D07013,(Runway visual range),,B20018,Tendency of runway visual range,i,,,Operational
07,Surface report sequences (land),D07014,(Significant present or forecast weather),,R01000,Delayed replication of 1 descriptor,Up to 3,,,Operational
07,Surface report sequences (land),D07014,(Significant present or forecast weather),,B20019,Significant present or forecast weather,w´w´,,,Operational
07,Surface report sequences (land),D07015,(Clouds group(s)),,R01000,Delayed replication of 1 descriptor,,,,Operational
07,Surface report sequences (land),D07015,(Clouds group(s)),,D02005,Cloud layer,"NsNsNs, CC, hshshs",,,Operational
07,Surface report sequences (land),D07015,(Clouds group(s)),,B20002,Vertical visibility,VVhshshs,,,Operational
07,Surface report sequences (land),D07016,(Significant recent weather phenomena),,R01000,Delayed replication of 1 descriptor,Up to 3,,,Operational
07,Surface report sequences (land),D07016,(Significant recent weather phenomena),,B20020,Significant recent weather phenomena,REw´w´,,,Operational
07,Surface report sequences (land),D07017,(Wind shear on runway(s)),,R01000,Delayed replication of 1 descriptor,,,,Operational
07,Surface report sequences (land),D07017,(Wind shear on runway(s)),,B11070,Designator of the runway affected by wind shear (including ALL),WS RWYDRDR,,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,B08016,Change qualifier of a trend-type forecast or an aerodrome forecast,TTTTT,,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,R02000,Delayed replication of 2 descriptors,Up to 2,,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,B08017,Qualifier of the time when the forecast change is expected,"FM, TL, AT",,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,D01012,"Hour, minute","GG, gg",,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,R04000,Delayed replication of 4 descriptors,Up to 1,,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,B07006,Height above station,,,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,B11001,Wind direction,ddd,,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,B11002,Wind speed,ff,,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,B11041,Maximum wind gust speed,fmfm,,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,B20009,General weather indicator (TAF/METAR),,,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,R01000,Delayed replication of 1 descriptor,Up to 1,,,Operational
07,Surface report sequences (land),D07018,(Trend-type landing forecast),,B20001,Horizontal visibility,VVVV,,,Operational
