Id,ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
bufr4/0/22/001,22,Oceanographic elements,022001,Direction of waves,degree true,0,0,9,degree true,0,3,(see Note 6),136,Operational
bufr4/0/22/002,22,Oceanographic elements,022002,Direction of wind waves,degree true,0,0,9,degree true,0,3,(see Note 6),136,Operational
bufr4/0/22/003,22,Oceanographic elements,022003,Direction of swell waves,degree true,0,0,9,degree true,0,3,(see Note 6),136,Operational
bufr4/0/22/004,22,Oceanographic elements,022004,Direction of current,degree true,0,0,9,degree true,0,3,(see Note 7),54,Operational
bufr4/0/22/005,22,Oceanographic elements,022005,Direction of sea-surface current,degree true,0,0,9,degree true,0,3,,,Operational
bufr4/0/22/011,22,Oceanographic elements,022011,Period of waves,s,0,0,6,s,0,2,,,Operational
bufr4/0/22/012,22,Oceanographic elements,022012,Period of wind waves,s,0,0,6,s,0,2,,,Operational
bufr4/0/22/013,22,Oceanographic elements,022013,Period of swell waves,s,0,0,6,s,0,2,,,Operational
bufr4/0/22/021,22,Oceanographic elements,022021,Height of waves,m,1,0,10,m,1,4,,,Operational
bufr4/0/22/022,22,Oceanographic elements,022022,Height of wind waves,m,1,0,10,m,1,4,,,Operational
bufr4/0/22/023,22,Oceanographic elements,022023,Height of swell waves,m,1,0,10,m,1,4,,,Operational
bufr4/0/22/025,22,Oceanographic elements,022025,Standard deviation wave height,m,2,0,10,m,2,4,,,Operational
bufr4/0/22/026,22,Oceanographic elements,022026,Standard deviation of significant wave height,m,2,0,10,m,2,4,,,Operational
bufr4/0/22/031,22,Oceanographic elements,022031,Speed of current,m/s,2,0,13,m/s,2,4,,,Operational
bufr4/0/22/032,22,Oceanographic elements,022032,Speed of sea-surface current,m/s,2,0,13,m/s,2,4,,,Operational
bufr4/0/22/035,22,Oceanographic elements,022035,Tidal elevation with respect to local chart datum,m,2,0,14,m,2,4,,,Operational
bufr4/0/22/036,22,Oceanographic elements,022036,Meteorological residual tidal elevation (surge or offset),m,2,0,14,m,2,4,,,Operational
bufr4/0/22/037,22,Oceanographic elements,022037,Tidal elevation with respect to national land datum,m,3,-10000,15,m,3,5,,,Operational
bufr4/0/22/038,22,Oceanographic elements,022038,Tidal elevation with respect to local chart datum,m,3,-10000,15,m,3,5,,,Operational
bufr4/0/22/039,22,Oceanographic elements,022039,Meteorological residual tidal elevation (surge or offset),m,3,-5000,13,m,3,4,(see Note 4),55,Operational
bufr4/0/22/040,22,Oceanographic elements,022040,Meteorological residual tidal elevation (surge or offset),m,3,-5000,14,m,3,5,(see Note 4),55,Operational
bufr4/0/22/041,22,Oceanographic elements,022041,Sea-surface temperature (15-day running mean),K,1,0,12,K,1,4,,,Operational
bufr4/0/22/042,22,Oceanographic elements,022042,Sea/water temperature,K,1,0,12,K,1,4,,,Operational
bufr4/0/22/043,22,Oceanographic elements,022043,Sea/water temperature,K,2,0,15,K,2,5,,,Operational
bufr4/0/22/044,22,Oceanographic elements,022044,Sound velocity,m/s,1,0,14,m/s,1,5,,,Operational
bufr4/0/22/045,22,Oceanographic elements,022045,Sea/water temperature,K,3,0,19,K,3,6,,,Operational
bufr4/0/22/046,22,Oceanographic elements,022046,Sea-ice fraction,Numeric,2,0,7,Numeric,2,3,,,Operational
bufr4/0/22/049,22,Oceanographic elements,022049,Sea-surface temperature,K,2,0,15,K,2,5,,,Operational
bufr4/0/22/050,22,Oceanographic elements,022050,Standard deviation sea-surface temperature,K,2,0,8,K,2,3,,,Operational
bufr4/0/22/055,22,Oceanographic elements,022055,Float cycle number,Numeric,0,0,10,Numeric,0,3,,,Operational
bufr4/0/22/056,22,Oceanographic elements,022056,Direction of profile,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/22/059,22,Oceanographic elements,022059,Sea-surface salinity,0/00,2,0,14,0/00,2,5,,,Operational
bufr4/0/22/060,22,Oceanographic elements,022060,Lagrangian drifter drogue status,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/22/061,22,Oceanographic elements,022061,State of the sea,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/22/062,22,Oceanographic elements,022062,Salinity,0/00,2,0,14,0/00,2,5,,,Operational
bufr4/0/22/063,22,Oceanographic elements,022063,Total water depth,m,0,0,14,m,0,5,,,Operational
bufr4/0/22/064,22,Oceanographic elements,022064,Salinity,0/00,3,0,17,0/00,3,6,,,Operational
bufr4/0/22/065,22,Oceanographic elements,022065,Water pressure,Pa,-3,0,17,Pa,-3,6,,,Operational
bufr4/0/22/066,22,Oceanographic elements,022066,Water conductivity,S/m,6,0,26,S/m,6,8,,,Operational
bufr4/0/22/067,22,Oceanographic elements,022067,Instrument type for water temperature/salinity profile measurement,Code table,0,0,10,Code table,0,4,,,Operational
bufr4/0/22/068,22,Oceanographic elements,022068,Water temperature profile recorder types,Code table,0,0,7,Code table,0,3,,,Operational
bufr4/0/22/069,22,Oceanographic elements,022069,Spectral wave density,m2/Hz,3,0,22,m2/Hz,3,7,,,Operational
bufr4/0/22/070,22,Oceanographic elements,022070,Significant wave height,m,2,0,13,m,2,4,(see Note 1),146,Operational
bufr4/0/22/071,22,Oceanographic elements,022071,Spectral peak wave period,s,1,0,9,s,1,3,,,Operational
