ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
05,Location (horizontal - 1),005001,Latitude (high accuracy),deg,5,-9000000,25,deg,5,7,,,Operational
05,Location (horizontal - 1),005002,Latitude (coarse accuracy),deg,2,-9000,15,deg,2,4,,,Operational
05,Location (horizontal - 1),005011,Latitude increment (high accuracy),deg,5,-9000000,25,deg,5,7,,,Operational
05,Location (horizontal - 1),005012,Latitude increment (coarse accuracy),deg,2,-9000,15,deg,2,4,,,Operational
05,Location (horizontal - 1),005015,Latitude displacement (high accuracy),deg,5,-9000000,25,deg,5,7,,,Operational
05,Location (horizontal - 1),005016,Latitude displacement (coarse accuracy),deg,2,-9000,15,deg,2,4,,,Operational
05,Location (horizontal - 1),005021,Bearing or azimuth,degree true,2,0,16,degree true,2,5,,,Operational
05,Location (horizontal - 1),005022,Solar azimuth,degree true,2,0,16,degree true,2,5,,,Operational
05,Location (horizontal - 1),005023,Sun to satellite azimuth difference,deg,1,-1800,12,deg,1,4,,,Operational
05,Location (horizontal - 1),005030,Direction (spectral),deg,0,0,12,deg,0,4,,,Operational
05,Location (horizontal - 1),005031,Row number,Numeric,0,0,12,Numeric,0,4,,,Operational
05,Location (horizontal - 1),005032,Y offset,m,2,-1073741824,31,m,2,11,(see Note 6),184,Operational
05,Location (horizontal - 1),005033,Pixel size on horizontal - 1,m,-1,0,16,m,-1,5,,,Operational
05,Location (horizontal - 1),005034,Along track row number,Numeric,0,0,11,Numeric,0,4,,,Operational
05,Location (horizontal - 1),005035,Maximum size of x-dimension,Numeric,0,0,12,Numeric,0,4,,,Operational
05,Location (horizontal - 1),005036,Ship transect number according to SOOP,Numeric,0,0,7,Numeric,0,2,,,Operational
05,Location (horizontal - 1),005040,Orbit number,Numeric,0,0,24,Numeric,0,8,,,Operational
05,Location (horizontal - 1),005041,Scan line number,Numeric,0,0,8,Numeric,0,3,,,Operational
05,Location (horizontal - 1),005042,Channel number,Numeric,0,0,6,Numeric,0,2,,,Operational
05,Location (horizontal - 1),005043,Field of view number,Numeric,0,0,8,Numeric,0,3,,,Operational
05,Location (horizontal - 1),005044,Satellite cycle number,Numeric,0,0,11,Numeric,0,4,,,Operational
05,Location (horizontal - 1),005045,Field of regard number,Numeric,0,0,8,Numeric,0,3,,,Operational
05,Location (horizontal - 1),005052,Channel number increment,Numeric,0,0,5,Numeric,0,2,,,Operational
05,Location (horizontal - 1),005053,Field of view number increment,Numeric,0,0,5,Numeric,0,2,,,Operational
05,Location (horizontal - 1),005060,Y angular position from centre of gravity,deg,6,-8000000,24,deg,6,8,,,Operational
05,Location (horizontal - 1),005061,Z angular position from centre of gravity,deg,6,-8000000,24,deg,6,8,,,Operational
05,Location (horizontal - 1),005063,Spacecraft roll,deg,2,0,16,deg,2,5,,,Operational
05,Location (horizontal - 1),005064,Spacecraft pitch,deg,2,0,16,deg,2,5,,,Operational
05,Location (horizontal - 1),005066,Spacecraft yaw,deg,2,0,16,deg,2,5,,,Operational
05,Location (horizontal - 1),005067,Number of scan lines,Numeric,0,0,8,Numeric,0,3,,,Operational
05,Location (horizontal - 1),005068,Profile number,Numeric,0,0,16,Numeric,0,5,,,Operational
05,Location (horizontal - 1),005069,Receiver channel,Code table,0,0,2,Code table,0,1,,,Operational
05,Location (horizontal - 1),005070,Observation identifier,Numeric,0,0,30,Numeric,0,10,,,Operational
05,Location (horizontal - 1),005071,Stripmap identifier,Numeric,0,0,16,Numeric,0,5,,,Operational
05,Location (horizontal - 1),005072,Number of spectra in range direction,Numeric,0,0,8,Numeric,0,3,,,Operational
05,Location (horizontal - 1),005073,Number of spectra in azimuthal direction,Numeric,0,0,8,Numeric,0,3,,,Operational
05,Location (horizontal - 1),005074,Index in range direction,Numeric,0,0,8,Numeric,0,3,,,Operational
05,Location (horizontal - 1),005075,Index in azimuthal direction,Numeric,0,0,8,Numeric,0,3,,,Operational
05,Location (horizontal - 1),005076,Solar azimuth in instrument reference frame,deg,2,0,16,deg,2,6,,,Operational
05,Location (horizontal - 1),005077,Sub-satellite point latitude,deg,4,-900000,21,deg,4,7,,,Operational
05,Location (horizontal - 1),005078,Horn number,Numeric,0,0,4,Numeric,0,2,,,Operational
05,Location (horizontal - 1),005079,Band number,Numeric,0,0,6,Numeric,0,2,,,Operational
05,Location (horizontal - 1),005080,Resolution radius,m,-3,0,6,m,-3,2,,,Operational
05,Location (horizontal - 1),005192,Side track index or along lateral track row number,Numeric,0,-1,3,Numeric,0,1,,,Operational
