Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
03,Meteorological sequences common to vertical soundings data,D03001,,,B07003,Geopotential,,,Operational
03,Meteorological sequences common to vertical soundings data,D03001,,,B11001,Wind direction,,,Operational
03,Meteorological sequences common to vertical soundings data,D03001,,,B11002,Wind speed,,,Operational
03,Meteorological sequences common to vertical soundings data,D03002,(Wind at pressure level),,B07004,Pressure,,,Operational
03,Meteorological sequences common to vertical soundings data,D03002,(Wind at pressure level),,B11001,Wind direction,,,Operational
03,Meteorological sequences common to vertical soundings data,D03002,(Wind at pressure level),,B11002,Wind speed,,,Operational
03,Meteorological sequences common to vertical soundings data,D03003,,,B07004,Pressure,,,Operational
03,Meteorological sequences common to vertical soundings data,D03003,,,B10003,Geopotential,,,Operational
03,Meteorological sequences common to vertical soundings data,D03003,,,B12001,Temperature/air temperature,,,Operational
03,Meteorological sequences common to vertical soundings data,D03003,,,B12003,Dewpoint temperature,,,Operational
03,Meteorological sequences common to vertical soundings data,D03004,,,B07004,Pressure,,,Operational
03,Meteorological sequences common to vertical soundings data,D03004,,,B10003,Geopotential,,,Operational
03,Meteorological sequences common to vertical soundings data,D03004,,,B12001,Temperature/air temperature,,,Operational
03,Meteorological sequences common to vertical soundings data,D03004,,,B12003,Dewpoint temperature,,,Operational
03,Meteorological sequences common to vertical soundings data,D03004,,,B11001,Wind direction,,,Operational
03,Meteorological sequences common to vertical soundings data,D03004,,,B11002,Wind speed,,,Operational
03,Meteorological sequences common to vertical soundings data,D03011,(Wind at height),,B07003,Geopotential,,,Operational
03,Meteorological sequences common to vertical soundings data,D03011,(Wind at height),,B08001,Vertical sounding significance,,,Operational
03,Meteorological sequences common to vertical soundings data,D03011,(Wind at height),,B11001,Wind direction,,,Operational
03,Meteorological sequences common to vertical soundings data,D03011,(Wind at height),,B11002,Wind speed,,,Operational
03,Meteorological sequences common to vertical soundings data,D03012,(Wind at pressure level),,B07004,Pressure,,,Operational
03,Meteorological sequences common to vertical soundings data,D03012,(Wind at pressure level),,B08001,Vertical sounding significance,,,Operational
03,Meteorological sequences common to vertical soundings data,D03012,(Wind at pressure level),,B11001,Wind direction,,,Operational
03,Meteorological sequences common to vertical soundings data,D03012,(Wind at pressure level),,B11002,Wind speed,,,Operational
03,Meteorological sequences common to vertical soundings data,D03013,"(Geopotential, temperature, humidity, wind at pressure level)",,B07004,Pressure,,,Operational
03,Meteorological sequences common to vertical soundings data,D03013,"(Geopotential, temperature, humidity, wind at pressure level)",,B08001,Vertical sounding significance,,,Operational
03,Meteorological sequences common to vertical soundings data,D03013,"(Geopotential, temperature, humidity, wind at pressure level)",,B10003,Geopotential,,,Operational
03,Meteorological sequences common to vertical soundings data,D03013,"(Geopotential, temperature, humidity, wind at pressure level)",,B12001,Temperature/air temperature,,,Operational
03,Meteorological sequences common to vertical soundings data,D03013,"(Geopotential, temperature, humidity, wind at pressure level)",,B13003,Relative humidity,,,Operational
03,Meteorological sequences common to vertical soundings data,D03013,"(Geopotential, temperature, humidity, wind at pressure level)",,B11001,Wind direction,,,Operational
03,Meteorological sequences common to vertical soundings data,D03013,"(Geopotential, temperature, humidity, wind at pressure level)",,B11002,Wind speed,,,Operational
03,Meteorological sequences common to vertical soundings data,D03014,"(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,B07004,Pressure,,,Operational
03,Meteorological sequences common to vertical soundings data,D03014,"(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,B08001,Vertical sounding significance,,,Operational
03,Meteorological sequences common to vertical soundings data,D03014,"(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,B10003,Geopotential,,,Operational
03,Meteorological sequences common to vertical soundings data,D03014,"(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,B12001,Temperature/air temperature,,,Operational
03,Meteorological sequences common to vertical soundings data,D03014,"(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,B12003,Dewpoint temperature,,,Operational
03,Meteorological sequences common to vertical soundings data,D03014,"(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,B11001,Wind direction,,,Operational
03,Meteorological sequences common to vertical soundings data,D03014,"(Geopotential, temperature, dewpoint temperature, wind at pressure level)",,B11002,Wind speed,,,Operational
03,Meteorological sequences common to vertical soundings data,D03031,"(Significance data, land/sea, skin temperature)",,B07004,Pressure,,,Operational
03,Meteorological sequences common to vertical soundings data,D03031,"(Significance data, land/sea, skin temperature)",,B08003,Vertical significance (satellite observations),Base of sounding,,Operational
