Id,FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status
bufr4/0/25/004/0,025004,Echo processing,0,Incoherent,,,,,Operational
bufr4/0/25/004/1,025004,Echo processing,1,Coherent (Doppler),,,,,Operational
bufr4/0/25/004/2,025004,Echo processing,2,Reserved,,,,,Operational
bufr4/0/25/004/3,025004,Echo processing,3,Missing value,,,,,Operational
bufr4/0/25/005/0,025005,Echo integration,0,Logarithm - 2.5 dB,,,,,Operational
bufr4/0/25/005/1,025005,Echo integration,1,Linear,,,,,Operational
bufr4/0/25/005/2,025005,Echo integration,2,Special,,,,,Operational
bufr4/0/25/005/3,025005,Echo integration,3,Missing value,,,,,Operational
bufr4/0/25/006/0,025006,Z to R conversion,0,ZH to R conversion,,,,,Operational
bufr4/0/25/006/1,025006,Z to R conversion,1,"(ZH, ZDR) to (NO, DO) to R",,,,,Operational
bufr4/0/25/006/2,025006,Z to R conversion,2,"(Z (F1), Z (F2)) to attenuation to R",,,,,Operational
bufr4/0/25/006/3-5,025006,Z to R conversion,3-5,Reserved,,,,,Operational
bufr4/0/25/006/6,025006,Z to R conversion,6,Other,,,,,Operational
bufr4/0/25/006/7,025006,Z to R conversion,7,Missing value,,,,,Operational
bufr4/0/25/009/1,025009,Calibration method,1,None,,,,,Deprecated
bufr4/0/25/009/2,025009,Calibration method,2,Calibration target or signal,,,,,Deprecated
bufr4/0/25/009/3,025009,Calibration method,3,Against raingauges,,,,,Deprecated
bufr4/0/25/009/4,025009,Calibration method,4,Against other Instruments (disdrometer - attenuation),,,,,Deprecated
bufr4/0/25/009/All 4,025009,Calibration method,All 4,Missing value,,,,,Deprecated
bufr4/0/25/010/0,025010,Clutter treatment,0,None,,,,,Operational
bufr4/0/25/010/1,025010,Clutter treatment,1,Map,,,,,Operational
bufr4/0/25/010/2,025010,Clutter treatment,2,Insertion of higher elevation data and map,,,,,Operational
bufr4/0/25/010/3,025010,Clutter treatment,3,Analysis of the fluctuating logarithm signal (clutter detection),,,,,Operational
bufr4/0/25/010/4,025010,Clutter treatment,4,Extraction of the fluctuating part of linear signal (clutter suppression),,,,,Operational
