"No","Category","CategoryOfSequences_en","FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ElementDescription_en","Note_en","Status"
1.00,"00","BUFR table entries sequences","300002",,,"000002","Table A: data category description, line 1",,,"Operational"
2.00,"00","BUFR table entries sequences","300002",,,"000003","Table A: data category description, line 2",,,"Operational"
3.00,"00","BUFR table entries sequences","300003","(F, X, Y of descriptor to be added or defined)",,"000010","F descriptor to be added or defined",,,"Operational"
4.00,"00","BUFR table entries sequences","300003","(F, X, Y of descriptor to be added or defined)",,"000011","X descriptor to be added or defined",,,"Operational"
5.00,"00","BUFR table entries sequences","300003","(F, X, Y of descriptor to be added or defined)",,"000012","Y descriptor to be added or defined",,,"Operational"
6.00,"00","BUFR table entries sequences","300004",,,"300003","F, X, Y of descriptor to be added or defined",,,"Operational"
7.00,"00","BUFR table entries sequences","300004",,,"000013","Element name, line 1",,,"Operational"
8.00,"00","BUFR table entries sequences","300004",,,"000014","Element name, line 2",,,"Operational"
9.00,"00","BUFR table entries sequences","300004",,,"000015","Units name",,,"Operational"
10.00,"00","BUFR table entries sequences","300004",,,"000016","Units scale sign",,,"Operational"
11.00,"00","BUFR table entries sequences","300004",,,"000017","Units scale",,,"Operational"
12.00,"00","BUFR table entries sequences","300004",,,"000018","Units reference sign",,,"Operational"
13.00,"00","BUFR table entries sequences","300004",,,"000019","Units reference value",,,"Operational"
14.00,"00","BUFR table entries sequences","300004",,,"000020","Element data width",,,"Operational"
15.00,"00","BUFR table entries sequences","300010",,,"300003","F, X, Y of descriptor to be added or defined",,,"Operational"
16.00,"00","BUFR table entries sequences","300010",,,"101000","Delayed replication of 1 descriptor",,,"Operational"
17.00,"00","BUFR table entries sequences","300010",,,"031001","Delayed descriptor replication factor",,,"Operational"
18.00,"00","BUFR table entries sequences","300010",,,"000030","Descriptor defining sequence",,,"Operational"
22.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"000030","Descriptor defining sequence",,,"Operational"
23.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"102000","Delayed replication of 2 descriptors",,,"Operational"
24.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"031002","Extended delayed descriptor replication factor",,,"Operational"
25.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"000024","Code figure",,,"Operational"
26.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"000025","Code figure meaning",,,"Operational"
28.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000030","Descriptor defining sequence",,,"Operational"
29.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"102000","Delayed replication of 2 descriptors",,,"Operational"
30.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"031001","Delayed descriptor replication factor",,,"Operational"
31.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000026","Bit number",,,"Operational"
32.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000027","Bit number meaning",,,"Operational"
34.00,"01","Location and identification sequences","301001","(WMO block and station numbers)",,"001001","WMO block number",,,"Operational"
35.00,"01","Location and identification sequences","301001","(WMO block and station numbers)",,"001002","WMO station number",,,"Operational"
36.00,"01","Location and identification sequences","301002",,,"001003","WMO Region number/geographical area",,,"Operational"
37.00,"01","Location and identification sequences","301002",,,"001004","WMO Region sub-area",,,"Operational"
38.00,"01","Location and identification sequences","301002",,,"001005","Buoy/platform identifier",,,"Operational"
39.00,"01","Location and identification sequences","301003","(Ship's call sign and motion)",,"001011","Ship or mobile land station identifier","Ship's call sign",,"Operational"
40.00,"01","Location and identification sequences","301003","(Ship's call sign and motion)",,"001012","Direction of motion of moving observing platform",,,"Operational"
41.00,"01","Location and identification sequences","301003","(Ship's call sign and motion)",,"001013","Speed of motion of moving observing platform",,,"Operational"
42.00,"01","Location and identification sequences","301004","(Surface station identification)",,"001001","WMO block number",,,"Operational"
43.00,"01","Location and identification sequences","301004","(Surface station identification)",,"001002","WMO station number",,,"Operational"
44.00,"01","Location and identification sequences","301004","(Surface station identification)",,"001015","Station or site name",,,"Operational"
45.00,"01","Location and identification sequences","301004","(Surface station identification)",,"002001","Type of station",,,"Operational"
46.00,"01","Location and identification sequences","301005","(Originating centre/sub-centre)",,"001035","Originating centre",,,"Operational"
47.00,"01","Location and identification sequences","301005","(Originating centre/sub-centre)",,"001034","Identification of originating/generating sub-centre",,,"Operational"
48.00,"01","Location and identification sequences","301011","(Year, month, day)",,"004001","Year",,,"Operational"
49.00,"01","Location and identification sequences","301011","(Year, month, day)",,"004002","Month",,,"Operational"
50.00,"01","Location and identification sequences","301011","(Year, month, day)",,"004003","Day",,,"Operational"
51.00,"01","Location and identification sequences","301012","(Hour, minute)",,"004004","Hour",,,"Operational"
52.00,"01","Location and identification sequences","301012","(Hour, minute)",,"004005","Minute",,,"Operational"
53.00,"01","Location and identification sequences","301013","(Hour, minute, second)",,"004004","Hour",,,"Operational"
54.00,"01","Location and identification sequences","301013","(Hour, minute, second)",,"004005","Minute",,,"Operational"
55.00,"01","Location and identification sequences","301013","(Hour, minute, second)",,"004006","Second",,,"Operational"
56.00,"01","Location and identification sequences","301014","(Time period)",,"102002","Replicate 2 descriptors 2 times",,,"Operational"
57.00,"01","Location and identification sequences","301014","(Time period)",,"301011","Year, month, day",,,"Operational"
58.00,"01","Location and identification sequences","301014","(Time period)",,"301012","Hour, minute",,,"Operational"
59.00,"01","Location and identification sequences","301021","(Latitude/longitude (high accuracy))",,"005001","Latitude (high accuracy)",,,"Operational"
60.00,"01","Location and identification sequences","301021","(Latitude/longitude (high accuracy))",,"006001","Longitude (high accuracy)",,,"Operational"
61.00,"01","Location and identification sequences","301022","(Latitude/longitude (high accuracy), height of station)",,"005001","Latitude (high accuracy)",,,"Operational"
62.00,"01","Location and identification sequences","301022","(Latitude/longitude (high accuracy), height of station)",,"006001","Longitude (high accuracy)",,,"Operational"
63.00,"01","Location and identification sequences","301022","(Latitude/longitude (high accuracy), height of station)",,"007001","Height of station",,,"Operational"
64.00,"01","Location and identification sequences","301023","(Latitude/longitude (coarse accuracy))",,"005002","Latitude (coarse accuracy)",,,"Operational"
65.00,"01","Location and identification sequences","301023","(Latitude/longitude (coarse accuracy))",,"006002","Longitude (coarse accuracy)",,,"Operational"
66.00,"01","Location and identification sequences","301024","(Latitude/longitude (coarse accuracy), height of station)",,"005002","Latitude (coarse accuracy)",,,"Operational"
67.00,"01","Location and identification sequences","301024","(Latitude/longitude (coarse accuracy), height of station)",,"006002","Longitude (coarse accuracy)",,,"Operational"
68.00,"01","Location and identification sequences","301024","(Latitude/longitude (coarse accuracy), height of station)",,"007001","Height of station",,,"Operational"
69.00,"01","Location and identification sequences","301025","(Latitude/longitude (coarse accuracy), day/time)",,"301023","Latitude/longitude (coarse accuracy)",,,"Operational"
70.00,"01","Location and identification sequences","301025","(Latitude/longitude (coarse accuracy), day/time)",,"004003","Day",,,"Operational"
71.00,"01","Location and identification sequences","301025","(Latitude/longitude (coarse accuracy), day/time)",,"301012","Hour, minute",,,"Operational"
72.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"301021","Latitude/longitude (high accuracy)",,,"Operational"
73.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004003","Day","Time period in days",,"Operational"
74.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004003","Day",,,"Operational"
75.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004004","Hour","Time period in hours",,"Operational"
76.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004004","Hour",,,"Operational"
77.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004005","Minute","Time period in minutes",,"Operational"
78.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004005","Minute",,,"Operational"
79.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"008007","Dimensional significance","= 0 Point, = 1 Line, = 2 Area, = 3 Volume",,"Operational"
80.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"101000","Delayed replication of 1 descriptor",,,"Operational"
81.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"031001","Delayed descriptor replication factor",,"(see Note 5)","Operational"
82.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"301028","Horizontal section of a feature described as a polygon, circle, line or point",,,"Operational"
83.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"008007","Dimensional significance","Set to missing (cancel)",,"Operational"
85.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"008040","Flight level significance",,,"Operational"
86.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"033042","Type of limit represented by following value",,,"Operational"
87.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"007010","Flight level",,,"Operational"
88.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"101000","Delayed replication of 1 descriptor",,,"Operational"
89.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"031002","Extended delayed descriptor replication factor",,"(see Note 6)","Operational"
90.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"301023","Latitude/longitude (coarse accuracy)",,,"Operational"
91.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"019007","Effective radius of feature",,"(see Note 7)","Operational"
92.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"008040","Flight level significance","Set to missing (cancel)",,"Operational"
94.00,"01","Location and identification sequences","301029","(Identification)",,"001018","Short station or site name",,,"Operational"
95.00,"01","Location and identification sequences","301029","(Identification)",,"002001","Type of station",,,"Operational"
96.00,"01","Location and identification sequences","301029","(Identification)",,"301011","Year, month, day",,,"Operational"
97.00,"01","Location and identification sequences","301030","(Identification - with physical location)",,"001018","Short station or site name",,,"Operational"
98.00,"01","Location and identification sequences","301030","(Identification - with physical location)",,"002001","Type of station",,,"Operational"
99.00,"01","Location and identification sequences","301030","(Identification - with physical location)",,"301011","Year, month, day",,,"Operational"
100.00,"01","Location and identification sequences","301030","(Identification - with physical location)",,"301024","Latitude/longitude (coarse accuracy), height of station",,,"Operational"
101.00,"01","Location and identification sequences","301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301001","WMO block and station numbers",,,"Operational"
102.00,"01","Location and identification sequences","301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"002001","Type of station",,,"Operational"
103.00,"01","Location and identification sequences","301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301011","Year, month, day",,,"Operational"
104.00,"01","Location and identification sequences","301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301012","Hour, minute",,,"Operational"
105.00,"01","Location and identification sequences","301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301022","Latitude/longitude (high accuracy), height of station",,,"Operational"
106.00,"01","Location and identification sequences","301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301001","WMO block and station numbers",,,"Operational"
107.00,"01","Location and identification sequences","301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"002001","Type of station",,,"Operational"
108.00,"01","Location and identification sequences","301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301011","Year, month, day",,,"Operational"
109.00,"01","Location and identification sequences","301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301012","Hour, minute",,,"Operational"
110.00,"01","Location and identification sequences","301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301024","Latitude/longitude (coarse accuracy), height of station",,,"Operational"
111.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"001005","Buoy/platform identifier",,,"Operational"
112.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"002001","Type of station",,,"Operational"
113.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301011","Year, month, day",,,"Operational"
114.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301012","Hour, minute",,,"Operational"
115.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301021","Latitude/longitude (high accuracy)",,,"Operational"
116.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"001005","Buoy/platform identifier",,,"Operational"
117.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"002001","Type of station",,,"Operational"
118.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301011","Year, month, day",,,"Operational"
119.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301012","Hour, minute",,,"Operational"
120.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301023","Latitude/longitude (coarse accuracy)",,,"Operational"
121.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001005","Buoy/platform identifier",,"<(see Note 4)>","Operational"
122.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001012","Direction of motion of moving observing platform",,,"Operational"
123.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001013","Speed of motion of moving observing platform",,,"Operational"
124.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"002001","Type of station",,,"Operational"
125.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301011","Year, month, day",,,"Operational"
126.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301012","Hour, minute",,,"Operational"
127.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301023","Latitude/longitude (coarse accuracy)",,,"Operational"
128.00,"01","Location and identification sequences","301036","(Ship)",,"301003","Ship's call sign and motion",,,"Operational"
129.00,"01","Location and identification sequences","301036","(Ship)",,"002001","Type of station",,,"Operational"
