ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
03,Instrumentos,003001,Tipo de estación de superficie,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,Operational
03,Instrumentos,003003,Abrigo del termómetro/higrómetro,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
03,Instrumentos,003004,Tipo de garita/abrigo/protección contra la radiación,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
03,Instrumentos,003005,Anchura horizontal de la garita o protección (x),m,3,0,16,m,3,5,,,Operational
03,Instrumentos,003006,Profundidad horizontal de la garita o protección (y),m,3,0,16,m,3,5,,,Operational
03,Instrumentos,003007,Altura vertical de la garita o protección (z),m,3,0,16,m,3,5,,,Operational
03,Instrumentos,003008,Garita o protección ventilada artificialmente,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational
03,Instrumentos,003009,Cantidad de ventilación forzada en el momento de la lectura,m s-1,1,0,9,m s-1,1,3,,,Operational
03,Instrumentos,003010,Método de medición de la corriente del mar/agua,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
03,Instrumentos,003011,Método de cálculo de la profundidad,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,Operational
03,Instrumentos,003012,Tipo de instrumento/sensor para la medición del oxígeno disuelto,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
03,Instrumentos,003016,Posición de los sensores de carretera,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
03,Instrumentos,003017,Tipo de estación ampliado,Tabla de banderines,0,0,6,Tabla de banderines,0,2,,,Operational
03,Instrumentos,003018,Tipo de carretera,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,Operational
03,Instrumentos,003019,Tipo de construcción,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
03,Instrumentos,003020,Material del abrigo del termómetro/higrómetro,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational
03,Instrumentos,003021,Calefacción del higrómetro,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,Operational
03,Instrumentos,003022,Propietario del instrumento,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational
03,Instrumentos,003023,Configuración de las persianas del abrigo del termómetro/higrómetro,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational
03,Instrumentos,003024,Coeficiente psicrométrico,K-1,6,0,10,K-1,6,3,,,Operational
03,Instrumentos,003025,Tamaño del área estimada transversal a la trayectoria,m,0,5000,16,m,0,5,,,Operational
03,Instrumentos,003026,Tamaño del área estimada en el sentido de la trayectoria,m,0,5000,16,m,0,5,,,Operational
03,Instrumentos,003027,Tipo de mecanismo de vuelo,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
03,Instrumentos,003028,Método de medición del equivalente en agua de la nieve,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,Operational
