ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
06,Ubicación (horizontal – 2),006001,Longitud (gran precisión),º,5,-18000000,26,º,5,8,,,Operational
06,Ubicación (horizontal – 2),006002,Longitud (precisión aproximada),º,2,-18000,16,º,2,5,,,Operational
06,Ubicación (horizontal – 2),006011,Incremento de longitud (gran precisión),º,5,-18000000,26,º,5,8,,,Operational
06,Ubicación (horizontal – 2),006012,Incremento de longitud (precisión aproximada),º,2,-18000,16,º,2,5,,,Operational
06,Ubicación (horizontal – 2),006015,Desplazamiento de longitud (gran precisión),º,5,-18000000,26,º,5,8,,,Operational
06,Ubicación (horizontal – 2),006016,Desplazamiento de longitud (precisión aproximada),º,2,-18000,16,º,2,5,,,Operational
06,Ubicación (horizontal – 2),006021,Distancia,m,-1,0,13,m,-1,4,,,Operational
06,Ubicación (horizontal – 2),006029,Número de onda,m-1,1,0,22,m-1,1,7,,,Operational
06,Ubicación (horizontal – 2),006030,Número de onda (espectral),rad m-1,5,0,13,rad m-1,5,4,,,Operational
06,Ubicación (horizontal – 2),006031,Número de la columna,Numérica,0,0,12,Numérica,0,4,,,Operational
06,Ubicación (horizontal – 2),006032,Compensación en X,m,2,-1073741824,31,m,2,11,(véase la nota 6),,Operational
06,Ubicación (horizontal – 2),006033,Tamaño de los píxeles en la horizontal – 2,m,-1,0,16,m,-1,5,,,Operational
06,Ubicación (horizontal – 2),006034,Número de la célula transversal a la trayectoria,Numérica,0,0,7,Numérica,0,3,,,Operational
06,Ubicación (horizontal – 2),006035,Tamaño máximo de la dimensión y,Numérica,0,0,12,Numérica,0,4,,,Operational
06,Ubicación (horizontal – 2),006040,Radio de confianza,m,0,0,13,m,0,4,,,Operational
