ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
30,Imagen,030001,Valor de los píxeles (4 bits),Numérica,0,0,4,Numérica,0,2,,,Operational
30,Imagen,030002,Valor de los píxeles (8 bits),Numérica,0,0,8,Numérica,0,3,,,Operational
30,Imagen,030004,Valor de los píxeles (16 bits),Numérica,0,0,16,Numérica,0,5,,,Operational
30,Imagen,030010,Número de puntos de retícula,Numérica,0,0,13,Numérica,0,4,,,Operational
30,Imagen,030021,Número de píxeles por línea,Numérica,0,0,12,Numérica,0,4,,,Operational
30,Imagen,030022,Número de píxeles por columna,Numérica,0,0,12,Numérica,0,4,,,Operational
30,Imagen,030031,Tipo de imagen,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational
30,Imagen,030032,Combinación con otros datos,Tabla de banderines,0,0,16,Tabla de banderines,0,6,,,Operational
30,Imagen,030033,Número de cuadrículas a lo largo de la radial,Numérica,0,0,12,Numérica,0,4,,,Operational
30,Imagen,030034,Número de azimuts,Numérica,0,0,12,Numérica,0,4,,,Operational
