"No","Categry","CategoryOfSequences_en","FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
1.00,"00","CREX table entries sequences","D00010",,,"D00003",,"Table D descriptor to be defined",,"Operational"
2.00,"00","CREX table entries sequences","D00010",,,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
3.00,"00","CREX table entries sequences","D00010",,,"B00030","Descriptor defining sequence","Descriptor defining sequence",,"Operational"
4.00,"01","Location and identification sequences","D01029","(Identification)",,"B01018","Short station or site name","Short station identifier",,"Operational"
5.00,"01","Location and identification sequences","D01029","(Identification)",,"B02001","Type of station","Type of station",,"Operational"
6.00,"01","Location and identification sequences","D01029","(Identification)",,"D01011",,"Date",,"Operational"
7.00,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"B01018","Short station or site name","Short station identifier",,"Operational"
8.00,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"B02001","Type of station","Type of station",,"Operational"
9.00,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"D01011",,"Date",,"Operational"
10.00,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"D01024",,"Latitude and longitude, height",,"Operational"
11.00,"01","Location and identification sequences","D01070","(Ozone instrumentation - Brewer spectrophotometer)",,"B02143","Ozone instrument type","Ozone instrument type",,"Operational"
12.00,"01","Location and identification sequences","D01070","(Ozone instrumentation - Brewer spectrophotometer)",,"B02142","Ozone instrument serial number/identification","Ozone instrument serial number or identifier",,"Operational"
13.00,"01","Location and identification sequences","D01070","(Ozone instrumentation - Brewer spectrophotometer)",,"B02144","Light source type for Brewer spectrophotometer","Light source type for Brewer",,"Operational"
14.00,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02143","Ozone instrument type","Ozone instrument type",,"Operational"
15.00,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02142","Ozone instrument serial number/identification","Ozone instrument serial number/identification",,"Operational"
16.00,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02145","Wave length setting for Dobson instruments","Wavelength setting for Dobson instrument",,"Operational"
17.00,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02146","Source conditions for Dobson instruments","Source conditions for Dobson instrument",,"Operational"
18.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01001",,"WMO block number, WMO station number",,"Operational"
19.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"B01015","Station or site name","Station or site name",,"Operational"
20.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01024",,"Latitude, longitude, height of station",,"Operational"
21.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"B08021","Time significance","18 = launch time",,"Operational"
22.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01011",,"Year, month, day",,"Operational"
23.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01012",,"Hour, minute",,"Operational"
24.00,"01","Location and identification sequences","D01076","(Ozone sounding instrumentation)",,"B02011","Radiosonde type","Radiosonde type",,"Operational"
25.00,"01","Location and identification sequences","D01076","(Ozone sounding instrumentation)",,"B02143","Ozone instrument type","Ozone instrument type",,"Operational"
26.00,"01","Location and identification sequences","D01076","(Ozone sounding instrumentation)",,"B02142","Ozone instrument serial number/identification","Ozone instrument serial number or identifier",,"Operational"
27.00,"02","Meteorological sequences common to surface data","D02013",,,"D02006",,"Pressure and pressure change",,"Operational"
28.00,"02","Meteorological sequences common to surface data","D02013",,,"D02003",,"Wind, temperature, humidity, visibility, weather",,"Operational"
29.00,"02","Meteorological sequences common to surface data","D02013",,,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
30.00,"02","Meteorological sequences common to surface data","D02013",,,"D02005",,"Cloud layer information",,"Operational"
31.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B11001","Wind direction","Wind direction",,"Operational"
32.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B11002","Wind speed","Wind speed",,"Operational"
33.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B13060","Total accumulated precipitation","Total accumulated precipitation",,"Operational"
34.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05001","(SADC-HYCOS single measurement)",,"B13071","Upstream water level","Upstream water level",,"Operational"
35.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"D01012",,"Hour, minute of environmental measurement",,"Operational"
36.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B12001","Temperature/air temperature","Air temperature",,"Operational"
37.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13003","Relative humidity","Relative humidity",,"Operational"
38.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B14051","Direct solar radiation integrated over last hour","Direct solar radiation integrated over last hour",,"Operational"
39.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13060","Total accumulated precipitation","Total accumulated precipitation",,"Operational"
40.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13072","Downstream water level","Downstream water level",,"Operational"
41.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13080","Water pH","pH",,"Operational"
42.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13081","Water conductivity","Conductivity",,"Operational"
43.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13082","Water temperature","Water temperature",,"Operational"
44.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13083","Dissolved oxygen","Dissolved oxygen",,"Operational"
45.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05002","(SADC-HYCOS environmental measurement)",,"B13084","Turbidity","Turbidity",,"Operational"
46.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"D01012",,"Hour, minute of first single measurement minus increment",,"Operational"
47.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"B04065","Short time increment","Short time increment - time interval between measurements",,"Operational"
48.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"R01000","Delayed replication descriptor","Delayed replication n times of next descriptor",,"Operational"
49.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05003","(SADC-HYCOS measurement array definition)",,"D05001","(SADC-HYCOS single measurement)","Single measurement",,"Operational"
50.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05004","(SADC-HYCOS report)",,"D01030","(Identification - with physical location)","Identification",,"Operational"
51.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05004","(SADC-HYCOS report)",,"D05002","(SADC-HYCOS environmental measurement)","Environmental measurement",,"Operational"
52.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05004","(SADC-HYCOS report)",,"D05003","(SADC-HYCOS measurement array definition)","Measurement array",,"Operational"
53.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13072","Downstream water level","Downstream water level",,"Operational"
54.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13082","Water temperature","Water temperature",,"Operational"
55.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13019","Total precipitation past 1 hour","Precipitation last hour",,"Operational"
56.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"C07005","Unit replacement","Next datum in kelvin",,"Operational"
57.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"C01004","Data width replacement","Next datum over four characters",,"Operational"
58.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B12001","Temperature/air temperature","Air temperature",,"Operational"
59.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13073","Maximum water level","Maximum water height observed",,"Operational"
60.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05006","(MEDHYCOS measurement)",,"B13060","Total accumulated precipitation","Total accumulated precipitation",,"Operational"
61.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"D01029","(Identification)","Identification",,"Operational"
62.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"D01012",,"Hour, minute (time of first measurement)",,"Operational"
63.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"B04065","Short time increment","Short time increment - time interval between measurements",,"Operational"
64.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"R01000","Delayed replication descriptor","Delayed replication n times of next descriptor",,"Operational"
65.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05007","(MEDHYCOS report)",,"D05006","(MEDHYCOS measurement)","Single measurement",,"Operational"
66.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05008","(AOCHYCOS-Chad measurement)",,"D05006","(MEDHYCOS measurement)","Same as MEDHYCOS type measurement",,"Operational"
67.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05008","(AOCHYCOS-Chad measurement)",,"C07005","Unit replacement","Next datum in kelvin",,"Operational"
68.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05008","(AOCHYCOS-Chad measurement)",,"C01004","Data width replacement","Next datum over four characters",,"Operational"
69.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05008","(AOCHYCOS-Chad measurement)",,"B12030","Soil temperature","Soil temperature at -50 cm",,"Operational"
70.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05009","(AOCHYCOS-Chad report)",,"D01029","(Identification)","Identification",,"Operational"
71.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05009","(AOCHYCOS-Chad report)",,"D01012",,"Hour, minute (time of first measurement)",,"Operational"
72.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05009","(AOCHYCOS-Chad report)",,"B04065","Short time increment","Short time increment - time interval between measurements",,"Operational"
73.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05009","(AOCHYCOS-Chad report)",,"R01000","Delayed replication descriptor","Delayed replication n times of next descriptor",,"Operational"
74.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05009","(AOCHYCOS-Chad report)",,"D05008","(AOCHYCOS-Chad measurement)","Single measurement",,"Operational"
75.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05010","(MEDHYCOS-Measurement type 2)",,"D05008","(AOCHYCOS-Chad measurement)","Same as AOCHYCOS type measurement",,"Operational"
76.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05010","(MEDHYCOS-Measurement type 2)",,"B02091","Entry sensor 4/20 mA","Sensor entry 4/20 mA (no. 1)",,"Operational"
77.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05010","(MEDHYCOS-Measurement type 2)",,"B02091","Entry sensor 4/20 mA","Sensor entry 4/20 mA (no. 2)",,"Operational"
78.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05011","(MEDHYCOS report type 2)",,"D01029","(Identification)","Identification",,"Operational"
79.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05011","(MEDHYCOS report type 2)",,"D01012",,"Hour, minute (time of first measurement)",,"Operational"
80.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05011","(MEDHYCOS report type 2)",,"B04065","Short time increment","Short time increment - time interval between measurements",,"Operational"
81.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05011","(MEDHYCOS report type 2)",,"R01000","Delayed replication descriptor","Delayed replication n times of next descriptor",,"Operational"
82.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05011","(MEDHYCOS report type 2)",,"D05010","(MEDHYCOS-Measurement type 2)","Single measurement",,"Operational"
83.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B14021","Global solar radiation, integrated over period specified","Global radiation over period",,"Operational"
84.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B07004","Pressure","Atmospheric pressure",,"Operational"
85.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B13003","Relative humidity","Relative humidity",,"Operational"
86.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B11002","Wind speed","Wind speed",,"Operational"
87.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B11001","Wind direction","Wind direction",,"Operational"
88.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B11041","Maximum wind gust speed","Maximum wind speed (gusts)",,"Operational"
89.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05016","(Meteorological parameters associated with hydrological data)",,"B11043","Maximum wind gust direction","Maximum wind gust direction",,"Operational"
90.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05017","(Water quality measurement)",,"B13080","Water pH","pH",,"Operational"
91.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05017","(Water quality measurement)",,"B13081","Water conductivity","Conductivity",,"Operational"
92.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05017","(Water quality measurement)",,"B13083","Dissolved oxygen","Dissolved oxygen",,"Operational"
93.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05017","(Water quality measurement)",,"B13085","Oxydation Reduction Potential (ORP)","Oxidation reduction potential (ORP)",,"Operational"
94.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05017","(Water quality measurement)",,"B13084","Turbidity","Turbidity",,"Operational"
95.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"D01029","(Identification)","Identification",,"Operational"
96.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"D01012",,"Hour, minute (time) of first measurement",,"Operational"
97.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"B04065","Short time increment","Hour increment",,"Operational"
98.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"R03000","Delayed replication descriptor","Number of replications of next 3 descriptors",,"Operational"
99.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"D05008","(AOCHYCOS-Chad measurement)","Same as AOCHYCOS type measurement",,"Operational"
100.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"D05016","(Meteorological parameters associated with hydrological data)","Meteorological parameters associated to hydrological data",,"Operational"
