Id,FXY,ElementName_rus,CodeFigure,EntryName_rus,EntryName_sub1_rus,EntryName_sub2_rus,Note_rus,noteIDs,Status
bufr4/0/04/059/1,004059,"Времена наблюдений, использованные для вычисления указанных средних значений",1,0000 UTC,,,,,Operational
bufr4/0/04/059/2,004059,"Времена наблюдений, использованные для вычисления указанных средних значений",2,0000 UTC,,,,,Operational
bufr4/0/04/059/3,004059,"Времена наблюдений, использованные для вычисления указанных средних значений",3,0000 UTC,,,,,Operational
bufr4/0/04/059/4,004059,"Времена наблюдений, использованные для вычисления указанных средних значений",4,0000 UTC,,,,,Operational
bufr4/0/04/059/5,004059,"Времена наблюдений, использованные для вычисления указанных средних значений",5,Другие часы,,,,,Operational
bufr4/0/04/059/All-6,004059,"Времена наблюдений, использованные для вычисления указанных средних значений",All 6,Отсутствующее значение,,,,,Operational
bufr4/0/04/080/0,004080,Период усреднения выборки,0,Точечные значения,,,,,Operational
bufr4/0/04/080/1,004080,Период усреднения выборки,1,Менее 15 минут,,,,,Operational
bufr4/0/04/080/2,004080,Период усреднения выборки,2,Менее 15 минут,,,,,Operational
bufr4/0/04/080/3,004080,Период усреднения выборки,3,Менее 15 минут,,,,,Operational
bufr4/0/04/080/4-8,004080,Период усреднения выборки,4-8,Зарезервировано,,,,,Operational
bufr4/0/04/080/9,004080,Период усреднения выборки,9,Данные недоступны,,,,,Operational
bufr4/0/04/080/10-14,004080,Период усреднения выборки,10-14,Не используется,,,,,Operational
bufr4/0/04/080/15,004080,Период усреднения выборки,15,Отсутствующее значение,,,,,Operational
