Id,FXY,ElementName_rus,CodeFigure,EntryName_rus,EntryName_sub1_rus,EntryName_sub2_rus,Note_rus,noteIDs,Status
bufr4/0/23/001/0,023001,Раннее уведомление о происшествии - статья применима,0,Зарезервировано,,,,,Operational
bufr4/0/23/001/1,023001,Раннее уведомление о происшествии - статья применима,1,Статьи 1 и 2,,,,,Operational
bufr4/0/23/001/2,023001,Раннее уведомление о происшествии - статья применима,2,Статья 3,,,,,Operational
bufr4/0/23/001/3,023001,Раннее уведомление о происшествии - статья применима,3,Статья 5.2,,,,,Operational
bufr4/0/23/001/4-6,023001,Раннее уведомление о происшествии - статья применима,4-6,Зарезервировано,,,,,Operational
bufr4/0/23/001/7,023001,Раннее уведомление о происшествии - статья применима,7,Отсутствующее значение,,,,,Operational
bufr4/0/23/002/0,023002,"Деятельность или объект, связанные с инцидентом",0,Зарезервировано,,,,,Operational
bufr4/0/23/002/1,023002,"Деятельность или объект, связанные с инцидентом",1,Ядерный реактор на земле,,,,,Operational
bufr4/0/23/002/2,023002,"Деятельность или объект, связанные с инцидентом",2,Ядерный реактор на море,,,,,Operational
bufr4/0/23/002/3,023002,"Деятельность или объект, связанные с инцидентом",3,Ядерный реактор в космосе,,,,,Operational
bufr4/0/23/002/4,023002,"Деятельность или объект, связанные с инцидентом",4,Объект по производству ядерного топлива,,,,,Operational
bufr4/0/23/002/5,023002,"Деятельность или объект, связанные с инцидентом",5,Объект по обращению с радиоактивными отходами,,,,,Operational
bufr4/0/23/002/6,023002,"Деятельность или объект, связанные с инцидентом",6,Перевозка ядерного топлива или радиоактивных отходов,,,,,Operational
bufr4/0/23/002/7,023002,"Деятельность или объект, связанные с инцидентом",7,Хранение ядерного топлива или радиоактивных отходов,,,,,Operational
bufr4/0/23/002/8,023002,"Деятельность или объект, связанные с инцидентом",8,Производство радиоизотопов,,,,,Operational
bufr4/0/23/002/9,023002,"Деятельность или объект, связанные с инцидентом",9,Производство радиоизотопов,,,,,Operational
bufr4/0/23/002/10,023002,"Деятельность или объект, связанные с инцидентом",10,Хранение радиоизотопов,,,,,Operational
bufr4/0/23/002/11,023002,"Деятельность или объект, связанные с инцидентом",11,Хранение радиоизотопов,,,,,Operational
bufr4/0/23/002/12,023002,"Деятельность или объект, связанные с инцидентом",12,Перевозка радиоизотопов,,,,,Operational
bufr4/0/23/002/13,023002,"Деятельность или объект, связанные с инцидентом",13,Использование радиоизотопов для выработки энергии,,,,,Operational
bufr4/0/23/002/14-29,023002,"Деятельность или объект, связанные с инцидентом",14-29,Зарезервировано,,,,,Operational
bufr4/0/23/002/30,023002,"Деятельность или объект, связанные с инцидентом",30,Другое,,,,,Operational
bufr4/0/23/002/31,023002,"Деятельность или объект, связанные с инцидентом",31,Отсутствующее значение,,,,,Operational
bufr4/0/23/003/0,023003,Тип выпуска,0,Нет выпуска,,,,,Operational
bufr4/0/23/003/1,023003,Тип выпуска,1,Выпуск в атмосферу,,,,,Operational
bufr4/0/23/003/2,023003,Тип выпуска,2,Сброс в воду,,,,,Operational
bufr4/0/23/003/3,023003,Тип выпуска,3,Выпуск в атмосферу,,,,,Operational
