Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,Status
11,Последовательности отчетов одного уровня (традиционные данные),D11001,Отчет о воздушном судне,,D01051,"(Номер рейса, навигационная система, дата/время, местоположение, этап полета)",АСДАР,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11001,Отчет о воздушном судне,,B07002,Высота или высота над уровнем моря,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11001,Отчет о воздушном судне,,B12001,Температура/температура воздуха,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11001,Отчет о воздушном судне,,B11001,Направление ветра,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11001,Отчет о воздушном судне,,B11002,Скорость ветра,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11001,Отчет о воздушном судне,,B11031,Расширенная степень турбулентности,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11001,Отчет о воздушном судне,,B11032,Высота основания турбулентности,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11001,Отчет о воздушном судне,,B11033,Высота основания турбулентности,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11001,Отчет о воздушном судне,,B20041,Обледенение планера,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11002,(Отчеты ACARS),,D01065,(Идентификация ACARS),,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11002,(Отчеты ACARS),,D01066,(Местоположение ACARS),,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11002,(Отчеты ACARS),,D11003,Стандартные сообщаемые переменные ACARS,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11002,(Отчеты ACARS),,D11004,Стандартные сообщаемые переменные ACARS,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11003,Стандартные сообщаемые переменные ACARS,,B10070,Указанная высота воздушного судна,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11003,Стандартные сообщаемые переменные ACARS,,B11001,Направление ветра,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11003,Стандартные сообщаемые переменные ACARS,,B11002,Скорость ветра,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11003,Стандартные сообщаемые переменные ACARS,,B12001,Температура/температура воздуха,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11003,Стандартные сообщаемые переменные ACARS,,B13002,Коэффициент смешивания,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,R01000,Отложенное воспроизведение 6 дескрипторов,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,B11034,Скорость вертикального порыва.,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,R01000,Отложенное воспроизведение 6 дескрипторов,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,B11035,Скорость вертикального порыва.,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,R01000,Отложенное воспроизведение 6 дескрипторов,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,B11075,Средняя интенсивность турбулентности (скорость диссипации вихрей),,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,R01000,Отложенное воспроизведение 6 дескрипторов,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,B11076,Средняя интенсивность турбулентности (скорость диссипации вихрей),,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,R01000,Отложенное воспроизведение 6 дескрипторов,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,B33025,Индикатор интерполированных значений ACARS,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,R01000,Отложенное воспроизведение 6 дескрипторов,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11004,Стандартные сообщаемые переменные ACARS,,B33026,Качество влаги,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11005,(Стандартные отчёты AMDAR),,B01008,Регистрационный номер воздушного судна или другой идентификатор,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11005,(Стандартные отчёты AMDAR),,B01023,Номер последовательности наблюдения,,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11005,(Стандартные отчёты AMDAR),,D01021,Широта/долгота (высокая точность),,,Operational
11,Последовательности отчетов одного уровня (традиционные данные),D11005,(Стандартные отчёты AMDAR),,D01011,"Год, месяц, день",,,Operational
