Id,ClassNo,ClassName_rus,FXY,ElementName_rus,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_rus,noteIDs,Status
bufr4/0/06/001,06,Расположение (горизонтальный - 1),006001,Широта/долгота (высокая точность),deg,5,-18000000,26,deg,5,8,,,Operational
bufr4/0/06/002,06,Расположение (горизонтальный - 1),006002,Прирост долготы (грубая точность),deg,2,-18000,16,deg,2,5,,,Operational
bufr4/0/06/011,06,Расположение (горизонтальный - 1),006011,Прирост долготы (грубая точность),deg,5,-18000000,26,deg,5,8,,,Operational
bufr4/0/06/012,06,Расположение (горизонтальный - 1),006012,Прирост долготы (грубая точность),deg,2,-18000,16,deg,2,5,,,Operational
bufr4/0/06/015,06,Расположение (горизонтальный - 1),006015,Смещение широты (высокая точность),deg,5,-18000000,26,deg,5,8,,,Operational
bufr4/0/06/016,06,Расположение (горизонтальный - 1),006016,Смещение широты (высокая точность),deg,2,-18000,16,deg,2,5,,,Operational
bufr4/0/06/021,06,Расположение (горизонтальный - 1),006021,Расстояние,m,-1,0,13,m,-1,4,,,Operational
bufr4/0/06/029,06,Расположение (горизонтальный - 1),006029,Число волны,/m,1,0,22,/m,1,7,,,Operational
bufr4/0/06/030,06,Расположение (горизонтальный - 1),006030,Число волны (спектральное),rad/m,5,0,13,rad/m,5,4,,,Operational
bufr4/0/06/031,06,Расположение (горизонтальный - 1),006031,Номер столбца,Numeric,0,0,12,Numeric,0,4,,,Operational
bufr4/0/06/032,06,Расположение (горизонтальный - 1),006032,Смещение по Y,m,2,-1073741824,31,m,2,11,(см. Примечание 3),183,Operational
bufr4/0/06/033,06,Расположение (горизонтальный - 1),006033,Размер пикселя по горизонтали - 1,m,-1,0,16,m,-1,5,,,Operational
bufr4/0/06/034,06,Расположение (горизонтальный - 1),006034,Номер ячейки поперечного трека,Numeric,0,0,7,Numeric,0,3,,,Operational
bufr4/0/06/035,06,Расположение (горизонтальный - 1),006035,Максимальный размер по y-измерению,Numeric,0,0,12,Numeric,0,4,,,Operational
bufr4/0/06/040,06,Расположение (горизонтальный - 1),006040,Радиус доверия,m,0,0,13,m,0,4,,,Operational
bufr4/0/06/041,06,Расположение (горизонтальный - 1),006041,Номер образца сканирования Земли,Numeric,0,0,11,Numeric,0,4,,,Operational
bufr4/0/06/042,06,Расположение (горизонтальный - 1),006042,Номер образца сканирования космоса/луны,Numeric,0,0,6,Numeric,0,2,,,Operational
bufr4/0/06/043,06,Расположение (горизонтальный - 1),006043,Широта подспутниковой точки,deg,4,-1800000,22,deg,4,8,,,Operational
