Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,Status
00,Последовательности записей таблицы CREX,D00002,,,B00002,"Таблица A: описание категории данных, строка 1",,,Operational
00,Последовательности записей таблицы CREX,D00002,,,B00003,"Таблица A: описание категории данных, строка 1",,,Operational
00,Последовательности записей таблицы CREX,D00003,"(Добавить или определить F, X, Y дескриптора)",,B00010,"(Добавить или определить F, X, Y дескриптора)",,,Operational
00,Последовательности записей таблицы CREX,D00003,"(Добавить или определить F, X, Y дескриптора)",,B00011,Добавить или определить X дескриптор,,,Operational
00,Последовательности записей таблицы CREX,D00003,"(Добавить или определить F, X, Y дескриптора)",,B00012,"(Добавить или определить F, X, Y дескриптора)",,,Operational
00,Последовательности записей таблицы CREX,D00004,,,D00003,"(Добавить или определить F, X, Y дескриптора)",,,Operational
00,Последовательности записей таблицы CREX,D00004,,,B00013,Название элемента,,,Operational
00,Последовательности записей таблицы CREX,D00004,,,B00014,Название элемента,,,Operational
00,Последовательности записей таблицы CREX,D00004,,,B00015,Название единиц,,,Operational
00,Последовательности записей таблицы CREX,D00004,,,B00016,Знак масштаба единиц,,,Operational
00,Последовательности записей таблицы CREX,D00004,,,B00017,Знак масштаба единиц,,,Operational
00,Последовательности записей таблицы CREX,D00004,,,B00018,Знак масштаба единиц,,,Operational
00,Последовательности записей таблицы CREX,D00004,,,B00019,Справочное значение единиц,,,Operational
00,Последовательности записей таблицы CREX,D00004,,,B00020,Ширина данных элемента,,,Operational
00,Последовательности записей таблицы CREX,D00010,,,D00003,"(Добавить или определить F, X, Y дескриптора)",,,Operational
00,Последовательности записей таблицы CREX,D00010,,,R01000,Отложенное воспроизведение 6 дескрипторов,,,Operational
00,Последовательности записей таблицы CREX,D00010,,,B00030,"Дескриптор, определяющий последовательность",,,Operational
00,Последовательности записей таблицы CREX,D00015,Таблица кодов,,B00030,"Дескриптор, определяющий последовательность",,,Operational
00,Последовательности записей таблицы CREX,D00015,Таблица кодов,,R02000,Отложенное воспроизведение 6 дескрипторов,До 9999 записей,,Operational
00,Последовательности записей таблицы CREX,D00015,Таблица кодов,,B00024,Кодовая цифра,,,Operational
00,Последовательности записей таблицы CREX,D00015,Таблица кодов,,B00025,Кодовая цифра,,,Operational
00,Последовательности записей таблицы CREX,D00016,(Определение таблицы флагов),,B00030,"Дескриптор, определяющий последовательность",,,Operational
00,Последовательности записей таблицы CREX,D00016,(Определение таблицы флагов),,R02000,Отложенное воспроизведение 6 дескрипторов,,,Operational
00,Последовательности записей таблицы CREX,D00016,(Определение таблицы флагов),,B00026,Номер бита,,,Operational
00,Последовательности записей таблицы CREX,D00016,(Определение таблицы флагов),,B00027,Номер бита,,,Operational
