Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,Status
18,Последовательности радиологических отчетов,D18001,,,D01025,Широта/долгота (высокая точность),,,Operational
18,Последовательности радиологических отчетов,D18001,,,B24011,Доза,,,Operational
18,Последовательности радиологических отчетов,D18003,,,D01026,Широта/долгота (высокая точность),,,Operational
18,Последовательности радиологических отчетов,D18003,,,B24005,Масса изотопа,,,Operational
18,Последовательности радиологических отчетов,D18003,,,B24004,Название элемента,,,Operational
18,Последовательности радиологических отчетов,D18003,,,B24021,"Концентрация в воздухе (указанного типа изотопа, включая общий бета).",,,Operational
18,Последовательности радиологических отчетов,D18004,,,D01025,Широта/долгота (высокая точность),,,Operational
18,Последовательности радиологических отчетов,D18004,,,B04023,Период времени или смещение,,,Operational
18,Последовательности радиологических отчетов,D18004,,,B13011,Общее количество осадков/общее водное эквивалентное количество,,,Operational
18,Последовательности радиологических отчетов,D18004,,,B24005,Масса изотопа,,,Operational
18,Последовательности радиологических отчетов,D18004,,,B24004,Название элемента,,,Operational
18,Последовательности радиологических отчетов,D18004,,,B24022,Концентрация в осадках (указанного типа изотопа),,,Operational
