Id,FXY,ElementName_rus,CodeFigure,EntryName_rus,EntryName_sub1_rus,EntryName_sub2_rus,Note_rus,noteIDs,Status
bufr4/0/35/000/000-099,035000,FM и региональный кодовый номер,000-099,FM и региональный кодовый номер,,,,,Operational
bufr4/0/35/000/100-199,035000,FM и региональный кодовый номер,100-199,Коды RA I,,,,,Operational
bufr4/0/35/000/200-299,035000,FM и региональный кодовый номер,200-299,Коды RA I,,,,,Operational
bufr4/0/35/000/300-399,035000,FM и региональный кодовый номер,300-399,Коды RA I,,,,,Operational
bufr4/0/35/000/400-499,035000,FM и региональный кодовый номер,400-499,Коды RA I,,,,,Operational
bufr4/0/35/000/500-599,035000,FM и региональный кодовый номер,500-599,Коды RA I,,,,,Operational
bufr4/0/35/000/600-699,035000,FM и региональный кодовый номер,600-699,Коды RA I,,,,,Operational
bufr4/0/35/000/700-799,035000,FM и региональный кодовый номер,700-799,Антарктические коды,,,,,Operational
bufr4/0/35/000/800-999,035000,FM и региональный кодовый номер,800-999,Зарезервировано,,,,,Operational
bufr4/0/35/000/1000-1022,035000,FM и региональный кодовый номер,1000-1022,Не используется,,,,,Operational
bufr4/0/35/000/1023,035000,FM и региональный кодовый номер,1023,Отсутствующее значение,,,,,Operational
bufr4/0/35/001/0,035001,Период мониторинга,0,Реальное время,,,,,Operational
bufr4/0/35/001/1,035001,Период мониторинга,1,Реальное время,,,,,Operational
bufr4/0/35/001/2,035001,Период мониторинга,2,Реальное время,,,,,Operational
bufr4/0/35/001/3-6,035001,Период мониторинга,3-6,Зарезервировано,,,,,Operational
bufr4/0/35/001/7,035001,Период мониторинга,7,Отсутствующее значение,,,,,Operational
bufr4/0/35/030/0,035030,Несоответствия в доступности ожидаемых данных,0,Несоответствий нет,,,,,Operational
bufr4/0/35/030/1,035030,Несоответствия в доступности ожидаемых данных,1,"Несоблюдение стандартных и рекомендованных практик и процедур, включая мониторинг.",,,,,Operational
bufr4/0/35/030/2,035030,Несоответствия в доступности ожидаемых данных,2,Каталоги метеорологических бюллетеней не обновляются своевременно.,,,,,Operational
bufr4/0/35/030/3,035030,Несоответствия в доступности ожидаемых данных,3,Неправильные маршрутизирующие каталоги,,,,,Operational
bufr4/0/35/030/4,035030,Несоответствия в доступности ожидаемых данных,4,Отсутствие гибкости в схемах маршрутизации,,,,,Operational
bufr4/0/35/030/5,035030,Несоответствия в доступности ожидаемых данных,5,Недостатки в работе центров и цепей ГТС,,,,,Operational
bufr4/0/35/030/6,035030,Несоответствия в доступности ожидаемых данных,6,Потеря данных или задержки в передаче данных по ГТС,,,,,Operational
bufr4/0/35/030/7,035030,Несоответствия в доступности ожидаемых данных,7,"Маршрутизация данных, отличающаяся от маршрутизации, предусмотренной в плане.",,,,,Operational
bufr4/0/35/030/8,035030,Несоответствия в доступности ожидаемых данных,8,Различные нарушения.,,,,,Operational
bufr4/0/35/030/9-14,035030,Несоответствия в доступности ожидаемых данных,9-14,Зарезервировано,,,,,Operational
bufr4/0/35/030/15,035030,Несоответствия в доступности ожидаемых данных,15,Отсутствующее значение,,,,,Operational
bufr4/0/35/031/1,035031,Квалификатор по результатам мониторинга,1,Достаточное и все приемлемого качества,,,,,Operational
bufr4/0/35/031/2,035031,Квалификатор по результатам мониторинга,2,Достаточное и все приемлемого качества,,,,,Operational
bufr4/0/35/031/3,035031,Квалификатор по результатам мониторинга,3,"Недостаточное, но все приемлемого качества",,,,,Operational
