Id,Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,noteIDs,Status
bufr4/3/01/001/1/001001,01,Местоположение и последовательности идентификации,301001,Номера блока и станции ВМО,,001001,Номер блока ВМО,,,,Operational
bufr4/3/01/001/2/001002,01,Местоположение и последовательности идентификации,301001,Номера блока и станции ВМО,,001002,Номер станции ВМО,,,,Operational
bufr4/3/01/002/1/001003,01,Местоположение и последовательности идентификации,301002,,,001003,Номер региона ВМО/географическая область,,(см. Примечание 3),11,Operational
bufr4/3/01/002/2/001004,01,Местоположение и последовательности идентификации,301002,,,001004,Номер региона ВМО/географическая область,,(см. Примечание 3),11,Operational
bufr4/3/01/002/3/001005,01,Местоположение и последовательности идентификации,301002,,,001005,Идентификатор буя/платформы,,(см. Примечание 3),11,Operational
bufr4/3/01/003/1/001011,01,Местоположение и последовательности идентификации,301003,Позывной судна,,001011,Идентификатор судна или подвижной наземной станции,Позывной судна,,,Operational
bufr4/3/01/003/2/001012,01,Местоположение и последовательности идентификации,301003,Позывной судна,,001012,Скорость движения подвижной наблюдательной платформы,,,,Operational
bufr4/3/01/003/3/001013,01,Местоположение и последовательности идентификации,301003,Позывной судна,,001013,Скорость движения подвижной наблюдательной платформы,,,,Operational
bufr4/3/01/004/1/001001,01,Местоположение и последовательности идентификации,301004,"Идентификация наземной станции; время, горизонтальные и вертикальные координаты",,001001,Номер блока ВМО,,,,Operational
bufr4/3/01/004/2/001002,01,Местоположение и последовательности идентификации,301004,"Идентификация наземной станции; время, горизонтальные и вертикальные координаты",,001002,Номер станции ВМО,,,,Operational
bufr4/3/01/004/3/001015,01,Местоположение и последовательности идентификации,301004,"Идентификация наземной станции; время, горизонтальные и вертикальные координаты",,001015,Название станции или объекта,,,,Operational
bufr4/3/01/004/4/002001,01,Местоположение и последовательности идентификации,301004,"Идентификация наземной станции; время, горизонтальные и вертикальные координаты",,002001,Тип станции,,,,Operational
bufr4/3/01/005/1/001035,01,Местоположение и последовательности идентификации,301005,(Центр/подцентр происхождения),,001035,(Центр/подцентр происхождения),,,,Operational
bufr4/3/01/005/2/001034,01,Местоположение и последовательности идентификации,301005,(Центр/подцентр происхождения),,001034,Идентификация исходного/генерирующего центра,,,,Operational
bufr4/3/01/011/1/004001,01,Местоположение и последовательности идентификации,301011,"Год, месяц, день",,004001,Год,,,,Operational
bufr4/3/01/011/2/004002,01,Местоположение и последовательности идентификации,301011,"Год, месяц, день",,004002,Месяц,,,,Operational
bufr4/3/01/011/3/004003,01,Местоположение и последовательности идентификации,301011,"Год, месяц, день",,004003,День,,,,Operational
bufr4/3/01/012/1/004004,01,Местоположение и последовательности идентификации,301012,"Час, минута, секунда",,004004,Час,,,,Operational
bufr4/3/01/012/2/004005,01,Местоположение и последовательности идентификации,301012,"Час, минута, секунда",,004005,Минута,,,,Operational
bufr4/3/01/013/1/004004,01,Местоположение и последовательности идентификации,301013,"Час, минута, секунда",,004004,Час,,,,Operational
bufr4/3/01/013/2/004005,01,Местоположение и последовательности идентификации,301013,"Час, минута, секунда",,004005,Минута,,,,Operational
bufr4/3/01/013/3/004006,01,Местоположение и последовательности идентификации,301013,"Час, минута, секунда",,004006,Второй,,,,Operational
bufr4/3/01/014/1/102002,01,Местоположение и последовательности идентификации,301014,(Период времени),,102002,Воспроизведите 5 дескрипторов 2 раза.,,,,Operational
bufr4/3/01/014/2/301011,01,Местоположение и последовательности идентификации,301014,(Период времени),,301011,"Год, месяц, день",,,,Operational
bufr4/3/01/014/3/301012,01,Местоположение и последовательности идентификации,301014,(Период времени),,301012,"Час, минута, секунда",,,,Operational
bufr4/3/01/018/1/001114,01,Местоположение и последовательности идентификации,301018,Зашифрованный позывной судна и метод шифрования,,001114,Зашифрованный идентификатор корабля или мобильной наземной станции (кодировка base64),,(см. Примечания 3 и 4),"57,23",Operational
bufr4/3/01/018/2/025185,01,Местоположение и последовательности идентификации,301018,Зашифрованный позывной судна и метод шифрования,,025185,Метод шифрования,,,,Operational
bufr4/3/01/018/3/025186,01,Местоположение и последовательности идентификации,301018,Зашифрованный позывной судна и метод шифрования,,025186,Версия ключа шифрования,,,,Operational
bufr4/3/01/021/1/005001,01,Местоположение и последовательности идентификации,301021,Широта/долгота (высокая точность),,005001,Широта/долгота (высокая точность),,,,Operational
bufr4/3/01/021/2/006001,01,Местоположение и последовательности идентификации,301021,Широта/долгота (высокая точность),,006001,Широта/долгота (высокая точность),,,,Operational
bufr4/3/01/022/1/005001,01,Местоположение и последовательности идентификации,301022,"Широта/долгота (грубая точность), высота станции",,005001,Широта/долгота (высокая точность),,,,Operational
bufr4/3/01/022/2/006001,01,Местоположение и последовательности идентификации,301022,"Широта/долгота (грубая точность), высота станции",,006001,Широта/долгота (высокая точность),,,,Operational
