Id,FXY,ElementName_rus,CodeFigure,EntryName_rus,EntryName_sub1_rus,EntryName_sub2_rus,Note_rus,noteIDs,Status
bufr4/0/25/004/0,025004,Обработка эха,0,Несвязный,,,,,Operational
bufr4/0/25/004/1,025004,Обработка эха,1,Когерентный (Доплер),,,,,Operational
bufr4/0/25/004/2,025004,Обработка эха,2,Зарезервировано,,,,,Operational
bufr4/0/25/004/3,025004,Обработка эха,3,Отсутствующее значение,,,,,Operational
bufr4/0/25/005/0,025005,Интеграция эха,0,"Логарифм - 2,5 дБ",,,,,Operational
bufr4/0/25/005/1,025005,Интеграция эха,1,Линейный,,,,,Operational
bufr4/0/25/005/2,025005,Интеграция эха,2,Специальный,,,,,Operational
bufr4/0/25/005/3,025005,Интеграция эха,3,Отсутствующее значение,,,,,Operational
bufr4/0/25/006/0,025006,Преобразование Z в R,0,Преобразование Z в R,,,,,Operational
bufr4/0/25/006/1,025006,Преобразование Z в R,1,"(Ж, ЗДР) к (НЕТ, ДА) к Р",,,,,Operational
bufr4/0/25/006/2,025006,Преобразование Z в R,2,"(З (F1), З (F2)) к затуханию до R",,,,,Operational
bufr4/0/25/006/3-5,025006,Преобразование Z в R,3-5,Зарезервировано,,,,,Operational
bufr4/0/25/006/6,025006,Преобразование Z в R,6,Другое,,,,,Operational
bufr4/0/25/006/7,025006,Преобразование Z в R,7,Отсутствующее значение,,,,,Operational
bufr4/0/25/009/1,025009,Метод калибровки,1,Никакой,,,,,Deprecated
bufr4/0/25/009/2,025009,Метод калибровки,2,Калибровочная мишень или сигнал,,,,,Deprecated
bufr4/0/25/009/3,025009,Метод калибровки,3,Против дождемеров,,,,,Deprecated
bufr4/0/25/009/4,025009,Метод калибровки,4,Против других инструментов (дисдрометр - ослабление),,,,,Deprecated
bufr4/0/25/009/All-4,025009,Метод калибровки,All 4,Отсутствующее значение,,,,,Deprecated
bufr4/0/25/010/0,025010,Лечение беспорядка,0,Никакой,,,,,Operational
bufr4/0/25/010/1,025010,Лечение беспорядка,1,Карта,,,,,Operational
bufr4/0/25/010/2,025010,Лечение беспорядка,2,Вставка данных о более высокой высоте и карты,,,,,Operational
bufr4/0/25/010/3,025010,Лечение беспорядка,3,Анализ флуктуирующего логарифмического сигнала (обнаружение помех).,,,,,Operational
bufr4/0/25/010/4,025010,Лечение беспорядка,4,Извлечение флуктуирующей части линейного сигнала (подавление помех).,,,,,Operational
bufr4/0/25/010/5,025010,Лечение беспорядка,5,Подавление помех - Доплер,,,,,Operational
bufr4/0/25/010/6,025010,Лечение беспорядка,6,Многопараметрический анализ,,,,,Operational
bufr4/0/25/010/7-14,025010,Лечение беспорядка,7-14,Зарезервировано,,,,,Operational
bufr4/0/25/010/15,025010,Лечение беспорядка,15,Отсутствующее значение,,,,,Operational
bufr4/0/25/011/0,025011,Коррекция наземной оккультации (экранирование),0,Никакой,,,,,Operational
bufr4/0/25/011/1,025011,Коррекция наземной оккультации (экранирование),1,Карта коэффициентов коррекции,,,,,Operational
bufr4/0/25/011/2,025011,Коррекция наземной оккультации (экранирование),2,Интерполяция (азимут или угол места),,,,,Operational
bufr4/0/25/011/3,025011,Коррекция наземной оккультации (экранирование),3,Отсутствующее значение,,,,,Operational
bufr4/0/25/012/0,025012,Коррекция ослабления диапазона,0,Аппаратное обеспечение,,,,,Operational
bufr4/0/25/012/1,025012,Коррекция ослабления диапазона,1,Программное обеспечение,,,,,Operational
bufr4/0/25/012/2,025012,Коррекция ослабления диапазона,2,Аппаратное обеспечение,,,,,Operational
bufr4/0/25/012/3,025012,Коррекция ослабления диапазона,3,Отсутствующее значение,,,,,Operational
bufr4/0/25/013/1,025013,Коррекция яркой полосы,1,Коррекция яркой полосы,,,,,Operational
bufr4/0/25/013/All-2,025013,Коррекция яркой полосы,All 2,Отсутствующее значение,,,,,Operational
bufr4/0/25/015/1,025015,Коррекция ослабления радиопрозрачного обтекателя,1,Коррекция ослабления радиопрозрачного обтекателя,,,,,Operational
bufr4/0/25/015/All-2,025015,Коррекция ослабления радиопрозрачного обтекателя,All 2,Отсутствующее значение,,,,,Operational
bufr4/0/25/017/1,025017,Коррекция ослабления при осадках,1,Коррекция ослабления при осадках,,,,,Operational
bufr4/0/25/017/All-2,025017,Коррекция ослабления при осадках,All 2,Отсутствующее значение,,,,,Operational
bufr4/0/25/020/0,025020,Оценка средней скорости,0,БПФ (быстрое преобразование Фурье),,,,,Operational
bufr4/0/25/020/1,025020,Оценка средней скорости,1,ППП (обработка парных импульсов),,,,,Operational
bufr4/0/25/020/2,025020,Оценка средней скорости,2,VPC (векторное фазовое изменение),,,,,Operational
bufr4/0/25/020/3,025020,Оценка средней скорости,3,Отсутствующее значение,,,,,Operational
bufr4/0/25/021/1,025021,Улучшение вычисления ветра,1,Простое среднее,,,,,Operational
bufr4/0/25/021/2,025021,Улучшение вычисления ветра,2,Среднее значение консенсуса,,,,,Operational
bufr4/0/25/021/3,025021,Улучшение вычисления ветра,3,Медианная проверка,,,,,Operational
bufr4/0/25/021/4,025021,Улучшение вычисления ветра,4,Проверка вертикальной согласованности,,,,,Operational
bufr4/0/25/021/5,025021,Улучшение вычисления ветра,5,Другое,,,,,Operational
