Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,Status
16,Синоптические особенности,D16001,,,D01011,"Год, месяц, день",,,Operational
16,Синоптические особенности,D16001,,,B04004,Час,,,Operational
16,Синоптические особенности,D16001,,,D01023,Широта/долгота (высокая точность),,,Operational
16,Синоптические особенности,D16001,,,B01021,Идентификатор синоптической особенности,,,Operational
16,Синоптические особенности,D16001,,,B02041,"Метод оценки отчетов, связанных с синоптическими особенностями",,,Operational
16,Синоптические особенности,D16001,,,B19001,Синоптические особенности,,,Operational
16,Синоптические особенности,D16001,,,B10051,Давление снижено до среднего уровня моря,,,Operational
16,Синоптические особенности,D16001,,,B19002,Эффективный радиус элемента,,,Operational
16,Синоптические особенности,D16001,,,B19003,Порог скорости ветра,15 м с⁻¹ обычно,,Operational
16,Синоптические особенности,D16001,,,B19004,Эффективный радиус относительно скоростей ветра выше порогового значения,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B08021,Значение времени,Время данных (анализ),,Operational
16,Синоптические особенности,D16002,(Заголовок),,B04001,Год,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B04002,Месяц,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B04003,День,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B04004,Час,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B04005,Минута,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B01033,Идентификация исходного/генерирующего центра,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B08021,Значение времени,Срок действия (прогноз),,Operational
16,Синоптические особенности,D16002,(Заголовок),,B04001,Год,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B04002,Месяц,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B04003,День,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B04004,Час,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B04005,Минута,,,Operational
16,Синоптические особенности,D16002,(Заголовок),,B07002,Высота или высота над уровнем моря,Эшелон полёта (основание слоя карты),,Operational
16,Синоптические особенности,D16002,(Заголовок),,B07002,Высота или высота над уровнем моря,Эшелон полёта (основание слоя карты),,Operational
16,Синоптические особенности,D16003,Струяジェット,,R09000,Отложенное воспроизведение 6 дескрипторов,,,Operational
16,Синоптические особенности,D16003,Струяジェット,,B08011,Метеорологическая характеристика,Значение струиジェット,,Operational
16,Синоптические особенности,D16003,Струяジェット,,B08007,Размерное значение,Значение для строки,,Operational
16,Синоптические особенности,D16003,Струяジェット,,R04000,Отложенное воспроизведение 6 дескрипторов,,,Operational
16,Синоптические особенности,D16003,Струяジェット,,B05002,Широта/долгота (высокая точность),,,Operational
16,Синоптические особенности,D16003,Струяジェット,,B06002,Широта/долгота (высокая точность),,,Operational
