Id,ClassNo,ClassName_rus,FXY,ElementName_rus,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_rus,noteIDs,Status
bufr4/0/02/001,02,Инструментирование,002001,Тип станции,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/02/002,02,Инструментирование,002002,Тип приборов для измерения ветра,Flag table,0,0,4,Flag table,0,2,,,Operational
bufr4/0/02/003,02,Инструментирование,002003,Тип используемого измерительного оборудования,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/004,02,Инструментирование,002004,"Тип оборудования для измерения испарения или тип культуры, для которой сообщается эвапотранспирация",Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/005,02,Инструментирование,002005,Точность наблюдения температуры,K,2,0,7,K,2,3,,,Operational
bufr4/0/02/006,02,Инструментирование,002006,Тип прибора дистанционного зондирования верхних слоев атмосферы,Code table,0,0,6,Code table,0,0,,,Operational
bufr4/0/02/007,02,Инструментирование,002007,Тип датчика для прибора измерения уровня воды,Code table,0,0,6,Code table,0,2,,,Operational
bufr4/0/02/008,02,Инструментирование,002008,Тип офшорной платформы,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/009,02,Инструментирование,002009,Алгоритм аэрозолей MODIS,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/011,02,Инструментирование,002011,Тип радиозонда,Code table,0,0,8,Code table,0,3,,,Operational
bufr4/0/02/012,02,Инструментирование,002012,Метод вычислений радиозонда,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/013,02,Инструментирование,002013,Коррекция солнечного и инфракрасного излучения,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/014,02,Инструментирование,002014,Техника отслеживания/статус используемой системы,Code table,0,0,7,Code table,0,3,,,Operational
bufr4/0/02/015,02,Инструментирование,002015,Полнота радиозонда,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/016,02,Инструментирование,002016,Конфигурация радиозонда,Flag table,0,0,5,Flag table,0,2,,,Operational
bufr4/0/02/017,02,Инструментирование,002017,Алгоритмы коррекции для измерений влажности,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/02/019,02,Инструментирование,002019,Спутниковые инструменты,Code table,0,0,11,Code table,0,4,,,Operational
bufr4/0/02/020,02,Инструментирование,002020,Классификация спутников,Code table,0,0,9,Code table,0,3,,,Operational
bufr4/0/02/021,02,Инструментирование,002021,Метод обработки данных спутника использован,Flag table,0,0,9,Flag table,0,3,(см. Примечание 3),47,Operational
bufr4/0/02/022,02,Инструментирование,002022,Метод обработки данных спутника использован,Flag table,0,0,8,Flag table,0,3,,,Operational
bufr4/0/02/023,02,Инструментирование,002023,"(Идентификатор спутника, метод вычисления ветра, дата/время, местоположение)",Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/024,02,Инструментирование,002024,Метод вычисления интегрированной средней влажности,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/025,02,Инструментирование,002025,"Спутниковый канал(ы), используемый(е) в вычислениях",Flag table,0,0,25,Flag table,0,9,,,Operational
bufr4/0/02/026,02,Инструментирование,002026,Поперечное разрешение,m,2,0,12,m,2,4,,,Operational
bufr4/0/02/027,02,Инструментирование,002027,Поперечное разрешение,m,2,0,12,m,2,4,,,Operational
bufr4/0/02/028,02,Инструментирование,002028,Размер сегмента в надире по направлению x,m,0,0,18,m,0,6,,,Operational
bufr4/0/02/029,02,Инструментирование,002029,Размер сегмента в надире по направлению x,m,0,0,18,m,0,6,,,Operational
bufr4/0/02/030,02,Инструментирование,002030,Метод измерения тока,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/02/031,02,Инструментирование,002031,Продолжительность и время текущего измерения,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/02/032,02,Инструментирование,002032,Индикатор для цифровизации,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/02/033,02,Инструментирование,002033,Метод измерения солености/глубины,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/02/034,02,Инструментирование,002034,Тип тормозного парашюта,Code table,0,0,5,Code table,0,2,,,Operational
bufr4/0/02/035,02,Инструментирование,002035,Длина кабеля,m,0,0,9,m,0,3,,,Operational
bufr4/0/02/036,02,Инструментирование,002036,Тип буя,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/02/037,02,Инструментирование,002037,Метод наблюдения приливов,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/02/038,02,Инструментирование,002038,Квалификатор измерения температуры/солености,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/02/039,02,Инструментирование,002039,Температура мокрого термометра,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/02/040,02,Инструментирование,002040,Метод удаления скорости и движения платформы из тока,Code table,0,0,4,Code table,0,2,,,Operational
