Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,Status
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B01007,"Идентификатор спутника, инструмент и тип продукта",,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B02019,Спутниковые инструменты,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B04001,Год,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B04002,Месяц,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B04003,День,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B04004,Час,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B04005,Минута,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B04006,Второй,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B05001,Широта/долгота (высокая точность),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B06001,Широта/долгота (высокая точность),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B27001,Широта/долгота (высокая точность),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B28001,Широта/долгота (высокая точность),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B27001,Широта/долгота (высокая точность),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B28001,Широта/долгота (высокая точность),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B27001,Широта/долгота (высокая точность),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B28001,Широта/долгота (высокая точность),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B27001,Широта/долгота (высокая точность),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B28001,Широта/долгота (высокая точность),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B10001,Высота поверхности земли,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B14019,Поверхностное альбедо,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B07025,Зенитный угол Солнца,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B10080,Угол зенита наблюдения или солнечный зенитный угол вне диапазона,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B05023,Разница азимута между Солнцем и спутником,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B20010,Облачность (общая),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B08003,Вертикальная значимость (спутниковые наблюдения),,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B07004,Давление,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B14026,Альбедо на вершине облаков,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B20014,Высота вершины облака,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B13093,Оптическая толщина облаков,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,R05000,Отложенное воспроизведение 6 дескрипторов,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B07004,Давление,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B07004,Давление,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B08043,Тип атмосферного химического или физического компонента,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B08044,Регистрационный номер CAS,,,Operational
22,Химические и аэрозольные последовательности,D22028,(МЕТОП GOME-2),,B15021,Интегральная массовая плотность,,,Operational
