Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,Status
08,Последовательности сводок о состоянии поверхности (море),D08001,(Буёк/платформа - стационарная),,D01033,(Буёк/платформа - стационарная),"Идентификация, тип, дата/время, позиция (высокая точность)",,Operational
08,Последовательности сводок о состоянии поверхности (море),D08001,(Буёк/платформа - стационарная),,D02011,Станция низкой высоты,Базовый отчет о поверхности,,Operational
08,Последовательности сводок о состоянии поверхности (море),D08001,(Буёк/платформа - стационарная),,B22042,Температура воды,,,Operational
08,Последовательности сводок о состоянии поверхности (море),D08002,(Буёк/платформа - стационарная),,D01034,(Буёк/платформа - стационарная),"Идентификация, тип, дата/время, позиция (высокая точность)",,Operational
08,Последовательности сводок о состоянии поверхности (море),D08002,(Буёк/платформа - стационарная),,D02011,Станция низкой высоты,Базовый отчет о поверхности,,Operational
08,Последовательности сводок о состоянии поверхности (море),D08002,(Буёк/платформа - стационарная),,B22042,Температура воды,,,Operational
08,Последовательности сводок о состоянии поверхности (море),D08003,(Буёк/платформа - подвижная) (см. Примечание 1),,D01035,(Буёк/платформа - подвижная) (см. Примечание 1),"Идентификация, тип, дата/время, позиция (высокая точность)",,Operational
08,Последовательности сводок о состоянии поверхности (море),D08003,(Буёк/платформа - подвижная) (см. Примечание 1),,D02011,Станция низкой высоты,Базовый отчет о поверхности,,Operational
08,Последовательности сводок о состоянии поверхности (море),D08003,(Буёк/платформа - подвижная) (см. Примечание 1),,B22042,Температура воды,,,Operational
08,Последовательности сводок о состоянии поверхности (море),D08004,(Корабль),,D01036,Корабль,"Идентификация, тип, дата/время, позиция (высокая точность)",,Operational
08,Последовательности сводок о состоянии поверхности (море),D08004,(Корабль),,D02011,Станция низкой высоты,Базовый отчет о поверхности,,Operational
08,Последовательности сводок о состоянии поверхности (море),D08004,(Корабль),,B22042,Температура воды,,,Operational
08,Последовательности сводок о состоянии поверхности (море),D08005,,,D08004,Корабль,Основной отчет по судну,,Operational
