Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,Status
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02001,3-часовое изменение давления,,B10004,Давление,Ниже уровня станции,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02001,3-часовое изменение давления,,B10051,Давление снижено до среднего уровня моря,,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02001,3-часовое изменение давления,,B10061,3-часовое изменение давления,,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02001,3-часовое изменение давления,,B10063,Характеристика тенденции давления,,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02002,Станция низкой высоты,,B10004,Давление,Ниже уровня станции,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02002,Станция низкой высоты,,B07004,Давление,Стандартный уровень давления,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02002,Станция низкой высоты,,B10003,Геопотенциал,Стандартный уровень давления,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02002,Станция низкой высоты,,B10061,3-часовое изменение давления,,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02002,Станция низкой высоты,,B10063,Характеристика тенденции давления,,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02003,"(Ветер, температура, влажность, видимость, погода)",,B11011,Модель направления ветра на высоте 10 м,,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02003,"(Ветер, температура, влажность, видимость, погода)",,B11012,Скорость ветра,,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02003,"(Ветер, температура, влажность, видимость, погода)",,B12004,Температура воздуха на высоте 2 м,,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02003,"(Ветер, температура, влажность, видимость, погода)",,B12006,Температура точки росы,,,Operational
02,"Метеорологические последовательности, характерные для данных вертикального зондирования",D02003,"(Ветер, температура, влажность, видимость, погода)",,B13003,Относительная влажность,,,Operational
