Id,Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,noteIDs,Status
bufr4/3/05/001/1/011001,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305001,(ЕАС-ГИДРОС единичное измерение),,011001,Направление ветра,,,,Operational
bufr4/3/05/001/2/011002,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305001,(ЕАС-ГИДРОС единичное измерение),,011002,Скорость ветра,,,,Operational
bufr4/3/05/001/3/013060,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305001,(ЕАС-ГИДРОС единичное измерение),,013060,Общее накопленное количество осадков,,,,Operational
bufr4/3/05/001/4/013071,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305001,(ЕАС-ГИДРОС единичное измерение),,013071,Уровень воды на верхнем бьефе,,,,Operational
bufr4/3/05/002/1/301012,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305002,(ЕАС-ГИДРОС экологическое измерение),,301012,"Час, минута, секунда",,,,Operational
bufr4/3/05/002/2/012001,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305002,(ЕАС-ГИДРОС экологическое измерение),,012001,Температура/температура воздуха,,,,Operational
bufr4/3/05/002/3/013003,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305002,(ЕАС-ГИДРОС экологическое измерение),,013003,Относительная влажность,,,,Operational
bufr4/3/05/002/4/014051,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305002,(ЕАС-ГИДРОС экологическое измерение),,014051,"Прямая солнечная радиация, интегрированная за последний час",,,,Operational
bufr4/3/05/002/5/013060,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305002,(ЕАС-ГИДРОС экологическое измерение),,013060,Общее накопленное количество осадков,,,,Operational
bufr4/3/05/002/6/013072,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305002,(ЕАС-ГИДРОС экологическое измерение),,013072,Уровень воды на верхнем бьефе,,,,Operational
bufr4/3/05/002/7/013080,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305002,(ЕАС-ГИДРОС экологическое измерение),,013080,pH воды,,,,Operational
bufr4/3/05/002/8/013081,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305002,(ЕАС-ГИДРОС экологическое измерение),,013081,Водопроводимость,,,,Operational
bufr4/3/05/002/9/013082,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305002,(ЕАС-ГИДРОС экологическое измерение),,013082,Температура воды,,,,Operational
bufr4/3/05/002/10/013083,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305002,(ЕАС-ГИДРОС экологическое измерение),,013083,Растворённый кислород,,,,Operational
bufr4/3/05/002/11/013084,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305002,(ЕАС-ГИДРОС экологическое измерение),,013084,Мутность,,,,Operational
bufr4/3/05/003/1/301012,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305003,(ЕАС-ГИДРОС единичное измерение),,301012,"Час, минута, секунда",Первое одиночное измерение минус прирост,,,Operational
bufr4/3/05/003/2/004065,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305003,(ЕАС-ГИДРОС единичное измерение),,004065,Краткий временной интервал,Интервал времени между измерениями,,,Operational
bufr4/3/05/003/3/101000,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305003,(ЕАС-ГИДРОС единичное измерение),,101000,Отложенное воспроизведение 6 дескрипторов,,,,Operational
bufr4/3/05/003/4/031001,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305003,(ЕАС-ГИДРОС единичное измерение),,031001,Фактор отложенного воспроизведения дескрипторов,,,,Operational
bufr4/3/05/003/5/305001,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305003,(ЕАС-ГИДРОС единичное измерение),,305001,(ЕАС-ГИДРОС единичное измерение),,,,Operational
bufr4/3/05/004/1/301030,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305004,(Отчет SADC-HYCOS),,301030,Идентификация - с физическим местоположением,,,,Operational
bufr4/3/05/004/2/305002,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305004,(Отчет SADC-HYCOS),,305002,(ЕАС-ГИДРОС экологическое измерение),,,,Operational
bufr4/3/05/004/3/305003,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305004,(Отчет SADC-HYCOS),,305003,(ЕАС-ГИДРОС единичное измерение),,,,Operational
bufr4/3/05/006/1/013072,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305006,(МЕДГИДРОС измерение),,013072,Уровень воды на верхнем бьефе,,,,Operational
bufr4/3/05/006/2/013082,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305006,(МЕДГИДРОС измерение),,013082,Температура воды,,,,Operational
bufr4/3/05/006/3/013019,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305006,(МЕДГИДРОС измерение),,013019,Общее количество осадков за последний час,,,,Operational
bufr4/3/05/006/4/012001,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305006,(МЕДГИДРОС измерение),,012001,Температура/температура воздуха,,,,Operational
bufr4/3/05/006/5/013073,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305006,(МЕДГИДРОС измерение),,013073,Максимальный уровень воды,,,,Operational
bufr4/3/05/006/6/013060,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305006,(МЕДГИДРОС измерение),,013060,Общее накопленное количество осадков,,,,Operational
bufr4/3/05/007/1/301029,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305007,(Отчет MEDHYCOS),,301029,Идентификация,,,,Operational
bufr4/3/05/007/2/301012,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305007,(Отчет MEDHYCOS),,301012,"Час, минута, секунда",Время первого измерения,,,Operational
bufr4/3/05/007/3/004065,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305007,(Отчет MEDHYCOS),,004065,Краткий временной интервал,Интервал времени между измерениями,,,Operational
bufr4/3/05/007/4/101000,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305007,(Отчет MEDHYCOS),,101000,Отложенное воспроизведение 6 дескрипторов,,,,Operational
bufr4/3/05/007/5/031001,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305007,(Отчет MEDHYCOS),,031001,Фактор отложенного воспроизведения дескрипторов,,,,Operational
bufr4/3/05/007/6/305006,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305007,(Отчет MEDHYCOS),,305006,(МЕДГИДРОС измерение),Единичное измерение,,,Operational
bufr4/3/05/008/1/305006,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305008,(AOCHYCOS - Измерение в Чаде),,305006,(МЕДГИДРОС измерение),(МЕДГИДРОС измерение),,,Operational
bufr4/3/05/008/2/012030,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305008,(AOCHYCOS - Измерение в Чаде),,012030,Температура почвы,На -50 см,,,Operational
bufr4/3/05/009/1/301029,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305009,(AOCHYCOS - Отчет по Чаду),,301029,Идентификация,,,,Operational
bufr4/3/05/009/2/301012,05,"Метеорологические или гидрологические последовательности, характерные для гидрологических наблюдений",305009,(AOCHYCOS - Отчет по Чаду),,301012,"Час, минута, секунда",Время первого измерения,,,Operational
