Id,FXY,ElementName_rus,CodeFigure,EntryName_rus,EntryName_sub1_rus,EntryName_sub2_rus,Note_rus,noteIDs,Status
bufr4/0/42/004/0,042004,Уверенность инверсии для каждой части спектра волн набегающего волнения,0,Направление волны определено,,,,,Operational
bufr4/0/42/004/1,042004,Уверенность инверсии для каждой части спектра волн набегающего волнения,1,180-градусная неопределенность не устранена,,,,,Operational
bufr4/0/42/004/2-14,042004,Уверенность инверсии для каждой части спектра волн набегающего волнения,2-14,Зарезервировано,,,,,Operational
bufr4/0/42/004/15,042004,Уверенность инверсии для каждой части спектра волн набегающего волнения,15,Отсутствует,,,,,Operational
bufr4/0/42/017/0,042017,Качественный флаг спектров зыби,0,Хорошо,,,,,Operational
bufr4/0/42/017/1,042017,Качественный флаг спектров зыби,1,Средний,,,,,Operational
bufr4/0/42/017/2,042017,Качественный флаг спектров зыби,2,Низкий,,,,,Operational
bufr4/0/42/017/3,042017,Качественный флаг спектров зыби,3,Бедный,,,,,Operational
bufr4/0/42/017/4-14,042017,Качественный флаг спектров зыби,4-14,Зарезервировано,,,,,Operational
bufr4/0/42/017/15,042017,Качественный флаг спектров зыби,15,Отсутствует,,,,,Operational
bufr4/0/42/018/0,042018,Качественный флаг спектров зыби,0,Очень хорошо,,,,,Operational
bufr4/0/42/018/1,042018,Качественный флаг спектров зыби,1,Хорошо,,,,,Operational
bufr4/0/42/018/2,042018,Качественный флаг спектров зыби,2,Средний,,,,,Operational
bufr4/0/42/018/3,042018,Качественный флаг спектров зыби,3,Низкий,,,,,Operational
bufr4/0/42/018/4,042018,Качественный флаг спектров зыби,4,Бедный,,,,,Operational
bufr4/0/42/018/5-14,042018,Качественный флаг спектров зыби,5-14,Зарезервировано,,,,,Operational
bufr4/0/42/018/15,042018,Качественный флаг спектров зыби,15,Отсутствует,,,,,Operational
