Id,FXY,ElementName_rus,CodeFigure,EntryName_rus,EntryName_sub1_rus,EntryName_sub2_rus,Note_rus,noteIDs,Status
bufr4/0/26/010/1,026010,Часы включены,1,0100 включено,,,,,Operational
bufr4/0/26/010/2,026010,Часы включены,2,0100 включено,,,,,Operational
bufr4/0/26/010/3,026010,Часы включены,3,0100 включено,,,,,Operational
bufr4/0/26/010/4,026010,Часы включены,4,0100 включено,,,,,Operational
bufr4/0/26/010/5,026010,Часы включены,5,0500 включено,,,,,Operational
bufr4/0/26/010/6,026010,Часы включены,6,0600 включено,,,,,Operational
bufr4/0/26/010/7,026010,Часы включены,7,0600 включено,,,,,Operational
bufr4/0/26/010/8,026010,Часы включены,8,0600 включено,,,,,Operational
bufr4/0/26/010/9,026010,Часы включены,9,0600 включено,,,,,Operational
bufr4/0/26/010/10,026010,Часы включены,10,1000 включено,,,,,Operational
bufr4/0/26/010/11,026010,Часы включены,11,1100 включено,,,,,Operational
bufr4/0/26/010/12,026010,Часы включены,12,1100 включено,,,,,Operational
bufr4/0/26/010/13,026010,Часы включены,13,1100 включено,,,,,Operational
bufr4/0/26/010/14,026010,Часы включены,14,1100 включено,,,,,Operational
bufr4/0/26/010/15,026010,Часы включены,15,1500 включено,,,,,Operational
bufr4/0/26/010/16,026010,Часы включены,16,1500 включено,,,,,Operational
bufr4/0/26/010/17,026010,Часы включены,17,1500 включено,,,,,Operational
bufr4/0/26/010/18,026010,Часы включены,18,1500 включено,,,,,Operational
bufr4/0/26/010/19,026010,Часы включены,19,1900 включено,,,,,Operational
bufr4/0/26/010/20,026010,Часы включены,20,2000 включено,,,,,Operational
bufr4/0/26/010/21,026010,Часы включены,21,2100 включено,,,,,Operational
bufr4/0/26/010/22,026010,Часы включены,22,2200 включено,,,,,Operational
bufr4/0/26/010/23,026010,Часы включены,23,2300 включено,,,,,Operational
bufr4/0/26/010/24,026010,Часы включены,24,2400 включено,,,,,Operational
bufr4/0/26/010/25,026010,Часы включены,25,Неизвестная смесь часов,,,,,Operational
bufr4/0/26/010/All-26,026010,Часы включены,All 26,Отсутствующее значение,,,,,Operational
