Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,Status
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03001,,,B07003,Геопотенциал,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03001,,,B11001,Направление ветра,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03001,,,B11002,Скорость ветра,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03002,Ветер на уровне давления,,B07004,Давление,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03002,Ветер на уровне давления,,B11001,Направление ветра,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03002,Ветер на уровне давления,,B11002,Скорость ветра,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03003,,,B07004,Давление,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03003,,,B10003,Геопотенциал,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03003,,,B12001,Температура/температура воздуха,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03003,,,B12003,Температура точки росы,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03004,,,B07004,Давление,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03004,,,B10003,Геопотенциал,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03004,,,B12001,Температура/температура воздуха,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03004,,,B12003,Температура точки росы,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03004,,,B11001,Направление ветра,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03004,,,B11002,Скорость ветра,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03011,Ветер на высоте,,B07003,Геопотенциал,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03011,Ветер на высоте,,B08001,Значение вертикального зондирования,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03011,Ветер на высоте,,B11001,Направление ветра,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03011,Ветер на высоте,,B11002,Скорость ветра,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03012,Ветер на уровне давления,,B07004,Давление,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03012,Ветер на уровне давления,,B08001,Значение вертикального зондирования,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03012,Ветер на уровне давления,,B11001,Направление ветра,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03012,Ветер на уровне давления,,B11002,Скорость ветра,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03013,"(Геопотенциал, температура, влажность, ветер на уровне давления)",,B07004,Давление,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03013,"(Геопотенциал, температура, влажность, ветер на уровне давления)",,B08001,Значение вертикального зондирования,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03013,"(Геопотенциал, температура, влажность, ветер на уровне давления)",,B10003,Геопотенциал,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03013,"(Геопотенциал, температура, влажность, ветер на уровне давления)",,B12001,Температура/температура воздуха,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03013,"(Геопотенциал, температура, влажность, ветер на уровне давления)",,B13003,Относительная влажность,,,Operational
03,"Метеорологические последовательности, характерные для данных вертикального зондирования",D03013,"(Геопотенциал, температура, влажность, ветер на уровне давления)",,B11001,Направление ветра,,,Operational
