Id,Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,noteIDs,Status
bufr4/3/15/001/1/001011,15,Последовательности океанографических сводок,315001,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,001011,Идентификатор судна или подвижной наземной станции,Позывной судна,,,Operational
bufr4/3/15/001/2/301011,15,Последовательности океанографических сводок,315001,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,301011,"Год, месяц, день",,,,Operational
bufr4/3/15/001/3/301012,15,Последовательности океанографических сводок,315001,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,301012,"Час, минута, секунда",,,,Operational
bufr4/3/15/001/4/301023,15,Последовательности океанографических сводок,315001,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,301023,Широта/долгота (высокая точность),,,,Operational
bufr4/3/15/001/5/306001,15,Последовательности океанографических сводок,315001,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,306001,"Глубина, температура",,,,Operational
bufr4/3/15/002/1/001011,15,Последовательности океанографических сводок,315002,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,001011,Идентификатор судна или подвижной наземной станции,Позывной судна,,,Operational
bufr4/3/15/002/2/301011,15,Последовательности океанографических сводок,315002,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,301011,"Год, месяц, день",,,,Operational
bufr4/3/15/002/3/301012,15,Последовательности океанографических сводок,315002,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,301012,"Час, минута, секунда",,,,Operational
bufr4/3/15/002/4/301023,15,Последовательности океанографических сводок,315002,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,301023,Широта/долгота (высокая точность),,,,Operational
bufr4/3/15/002/5/306004,15,Последовательности океанографических сводок,315002,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,306004,"Глубина, температура, соленость",,,,Operational
bufr4/3/15/003/1/001087,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,001087,Расширенный идентификатор морской наблюдательной платформы ВМО,,,,Operational
bufr4/3/15/003/2/001085,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,001085,Режим производителя наблюдательной платформы,,,,Operational
bufr4/3/15/003/3/001086,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,001086,Серийный номер производителя наблюдательной платформы,,,,Operational
bufr4/3/15/003/4/002036,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,002036,Тип буя,,,,Operational
bufr4/3/15/003/5/002148,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,002148,Система сбора данных и/или определения местоположения,,,,Operational
bufr4/3/15/003/6/002149,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,002149,Тип данных буя,,,,Operational
bufr4/3/15/003/7/022055,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,022055,Номер цикла плавучести,,,,Operational
bufr4/3/15/003/8/022056,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,022056,Направление профиля,,,,Operational
bufr4/3/15/003/9/022067,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,022067,Квалификатор измерения температуры/солености,,,,Operational
bufr4/3/15/003/10/301011,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,301011,"Год, месяц, день",,,,Operational
bufr4/3/15/003/11/301012,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,301012,"Час, минута, секунда",,,,Operational
bufr4/3/15/003/12/301021,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,301021,Широта/долгота (высокая точность),,,,Operational
bufr4/3/15/003/13/008080,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,008080,Квалификатор для качественного флага GTSPP,,,,Operational
bufr4/3/15/003/14/033050,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,033050,Квалификатор для качественного флага GTSPP,,,,Operational
bufr4/3/15/003/15/109000,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,109000,Отложенное воспроизведение 6 дескрипторов,,,,Operational
bufr4/3/15/003/16/031002,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,031002,Фактор отложенного воспроизведения дескрипторов,,,,Operational
bufr4/3/15/003/17/007065,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,007065,Давление воды на уровне,,,,Operational
bufr4/3/15/003/18/008080,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,008080,Квалификатор для качественного флага GTSPP,,,,Operational
bufr4/3/15/003/19/033050,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,033050,Квалификатор для качественного флага GTSPP,,,,Operational
bufr4/3/15/003/20/022045,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,022045,Температура поверхности моря,,,,Operational
bufr4/3/15/003/21/008080,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,008080,Квалификатор для качественного флага GTSPP,,,,Operational
bufr4/3/15/003/22/033050,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,033050,Квалификатор для качественного флага GTSPP,,,,Operational
bufr4/3/15/003/23/022064,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,022064,Соленость на уровне,,,,Operational
bufr4/3/15/003/24/008080,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,008080,Квалификатор для качественного флага GTSPP,,,,Operational
bufr4/3/15/003/25/033050,15,Последовательности океанографических сводок,315003,"Профиль температуры и солености, наблюдаемый профилирующими буями.",,033050,Квалификатор для качественного флага GTSPP,,,,Operational
bufr4/3/15/004/1/001079,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,001079,Уникальный идентификатор профиля,Шестнадцатеричная строка,,,Operational
bufr4/3/15/004/2/001011,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,001011,Идентификатор судна или подвижной наземной станции,Позывной судна,,,Operational
bufr4/3/15/004/3/001103,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,001103,Номер IMO. Уникальный реестр Lloyd's,= 0 до 9999999,,,Operational
bufr4/3/15/004/4/001087,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,001087,Расширенный идентификатор морской наблюдательной платформы ВМО,,(см. Примечание 3),24,Operational
bufr4/3/15/004/5/001019,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,001019,Короткое название станции или объекта,Название корабля,,,Operational
bufr4/3/15/004/6/001080,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,001080,Номер линии судна в соответствии с SOOP,,,,Operational
bufr4/3/15/004/7/005036,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,005036,Номер линии судна в соответствии с SOOP,,(см. Примечание 3),31,Operational
bufr4/3/15/004/8/001036,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,001036,"Агентство, ответственное за управление наблюдательной платформой",,,,Operational
bufr4/3/15/004/9/001013,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,001013,Скорость движения подвижной наблюдательной платформы,,,,Operational
bufr4/3/15/004/10/001012,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,001012,Скорость движения подвижной наблюдательной платформы,,,,Operational
bufr4/3/15/004/11/301011,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,301011,"Год, месяц, день",,,,Operational
bufr4/3/15/004/12/301012,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,301012,"Час, минута, секунда",,,,Operational
bufr4/3/15/004/13/301021,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,301021,Широта/долгота (высокая точность),,,,Operational
bufr4/3/15/004/14/007032,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,007032,Скорректировано относительно или с учетом представительной высоты датчика над местной поверхностью земли (или палубой морской платформы).,,,,Operational
bufr4/3/15/004/15/007033,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,007033,Высота датчика над поверхностью воды,,,,Operational
bufr4/3/15/004/16/002002,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,002002,Тип приборов для измерения ветра,,,,Operational
bufr4/3/15/004/17/011002,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,011002,Скорость ветра,,,,Operational
bufr4/3/15/004/18/011001,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,011001,Направление ветра,,,,Operational
bufr4/3/15/004/19/007032,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,007032,Скорректировано относительно или с учетом представительной высоты датчика над местной поверхностью земли (или палубой морской платформы).,,,,Operational
bufr4/3/15/004/20/007033,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,007033,Высота датчика над поверхностью воды,,,,Operational
bufr4/3/15/004/21/012101,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,012101,Температура/температура воздуха,,,,Operational
bufr4/3/15/004/22/012103,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,012103,Температура точки росы,,,,Operational
bufr4/3/15/004/23/007032,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,007032,Скорректировано относительно или с учетом представительной высоты датчика над местной поверхностью земли (или палубой морской платформы).,Установить как отсутствующее (отменить),,,Operational
bufr4/3/15/004/24/007033,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,007033,Высота датчика над поверхностью воды,Установить как отсутствующее (отменить),,,Operational
bufr4/3/15/004/25/302021,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,302021,Волны,,,,Operational
bufr4/3/15/004/26/002031,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,002031,Продолжительность и время текущего измерения,,,,Operational
bufr4/3/15/004/27/002030,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,002030,Метод измерения тока,,,,Operational
bufr4/3/15/004/28/022005,15,Последовательности океанографических сводок,315004,(Последовательность данных температурного профиля XBT),,022005,Направление течения моря/воды на уровне,,,,Operational
