Id,ClassNo,ClassName_rus,FXY,ElementName_rus,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_rus,noteIDs,Status
bufr4/0/19/001,19,Синоптические особенности,019001,Синоптические особенности,Code table,0,0,6,Code table,0,2,,,Operational
bufr4/0/19/002,19,Синоптические особенности,019002,Эффективный радиус элемента,m,-2,0,12,m,-2,4,(см. Примечание 3),138,Operational
bufr4/0/19/003,19,Синоптические особенности,019003,Порог скорости ветра,m/s,0,0,8,m/s,0,3,(см. Примечание 3),99,Operational
bufr4/0/19/004,19,Синоптические особенности,019004,Эффективный радиус относительно скоростей ветра выше порогового значения,m,-2,0,12,m,-2,4,(см. Примечание 3),99,Operational
bufr4/0/19/005,19,Синоптические особенности,019005,Направление движения элемента,degree true,0,0,9,degree true,0,3,(см. Примечание 3),73,Operational
bufr4/0/19/006,19,Синоптические особенности,019006,Скорость движения элемента,m/s,2,0,14,m/s,2,5,(см. Примечание 3),73,Operational
bufr4/0/19/007,19,Синоптические особенности,019007,Эффективный радиус элемента,m,-3,0,12,m,-3,4,,,Operational
bufr4/0/19/008,19,Синоптические особенности,019008,Вертикальный охват циркуляции,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/19/009,19,Синоптические особенности,019009,Эффективный радиус относительно скоростей ветра выше порогового значения,m,-3,0,12,m,-3,4,,,Operational
bufr4/0/19/010,19,Синоптические особенности,019010,Метод отслеживания центра синоптической особенности,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/19/100,19,Синоптические особенности,019100,Интервал времени для расчета движения тропического циклона,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/19/101,19,Синоптические особенности,019101,Точность положения центра тропического циклона,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/19/102,19,Синоптические особенности,019102,Форма и определение глаза тропического циклона,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/19/103,19,Синоптические особенности,019103,Форма и определение глаза тропического циклона,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/19/104,19,Синоптические особенности,019104,Изменение характера глаза в течение 30 минут,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/19/105,19,Синоптические особенности,019105,Расстояние между концом спиральной ленты и центром,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/19/106,19,Синоптические особенности,019106,Идентификационный номер тропического циклона,Numeric,0,0,7,Numeric,0,3,,,Operational
bufr4/0/19/107,19,Синоптические особенности,019107,Интервал времени для расчета движения тропического циклона,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/19/108,19,Синоптические особенности,019108,Точность положения центра тропического циклона,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/19/109,19,Синоптические особенности,019109,Средний диаметр сплошной облачности тропического циклона,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/19/110,19,Синоптические особенности,019110,Очевидное 24-часовое изменение интенсивности тропического циклона,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/19/111,19,Синоптические особенности,019111,Текущий показатель интенсивности (CI) тропического циклона,Numeric,1,0,7,Numeric,1,3,,,Operational
bufr4/0/19/112,19,Синоптические особенности,019112,Идентификационный номер тропического циклона,Numeric,1,0,7,Numeric,1,3,,,Operational
bufr4/0/19/113,19,Синоптические особенности,019113,Тип облачного узора DT-числа,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/19/114,19,Синоптические особенности,019114,Модельный ожидаемый тропический (MET) номер тропического циклона,Numeric,1,0,7,Numeric,1,3,,,Operational
bufr4/0/19/115,19,Синоптические особенности,019115,"Тренд изменения за последние 24 часа (+: Усилился, -: Ослабел)",Numeric,1,-30,6,Numeric,1,2,,,Operational
bufr4/0/19/116,19,Синоптические особенности,019116,Идентификационный номер тропического циклона,Numeric,1,0,7,Numeric,1,3,,,Operational
bufr4/0/19/117,19,Синоптические особенности,019117,Тип изображения облака PT-номер,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/19/118,19,Синоптические особенности,019118,Идентификационный номер тропического циклона,Numeric,1,0,7,Numeric,1,3,,,Operational
bufr4/0/19/119,19,Синоптические особенности,019119,Тип конечного Т-номера,Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/19/150,19,Синоптические особенности,019150,Международный общий номер тайфуна (Комитет по тайфунам),CCITT IA5,0,0,32,Character,0,4,,,Operational
