Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,Status
15,Последовательности океанографических сводок,D15001,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,B01011,Идентификатор судна или подвижной наземной станции,Позывной судна,,Operational
15,Последовательности океанографических сводок,D15001,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,D01011,"Год, месяц, день",,,Operational
15,Последовательности океанографических сводок,D15001,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,D01012,"Час, минута, секунда",,,Operational
15,Последовательности океанографических сводок,D15001,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,D01023,Широта/долгота (высокая точность),,,Operational
15,Последовательности океанографических сводок,D15001,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,D06001,"Глубина, температура",,,Operational
15,Последовательности океанографических сводок,D15002,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,B01011,Идентификатор судна или подвижной наземной станции,Позывной судна,,Operational
15,Последовательности океанографических сводок,D15002,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,D01011,"Год, месяц, день",,,Operational
15,Последовательности океанографических сводок,D15002,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,D01012,"Час, минута, секунда",,,Operational
15,Последовательности океанографических сводок,D15002,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,D01023,Широта/долгота (высокая точность),,,Operational
15,Последовательности океанографических сводок,D15002,"(Как правило, сообщаемое подводное эхолокационное измерение без дополнительных полей)",,D06004,"Глубина, температура, соленость",,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B01079,Уникальный идентификатор профиля,Шестнадцатеричная строка,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B01011,Идентификатор судна или подвижной наземной станции,Позывной судна,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B01103,Номер IMO. Уникальный реестр Lloyd's,= 0 до 9999999,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B01087,Расширенный идентификатор морской наблюдательной платформы ВМО,,(см. Примечание 3),Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B01019,Короткое название станции или объекта,Название корабля,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B01080,Номер линии судна в соответствии с SOOP,,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B05036,Номер линии судна в соответствии с SOOP,,(см. Примечание 3),Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B01036,"Агентство, ответственное за управление наблюдательной платформой",,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B01013,Скорость движения подвижной наблюдательной платформы,,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B01012,Скорость движения подвижной наблюдательной платформы,,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,D01011,"Год, месяц, день",,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,D01012,"Час, минута, секунда",,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,D01021,Широта/долгота (высокая точность),,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B07032,Скорректировано относительно или с учетом представительной высоты датчика над местной поверхностью земли (или палубой морской платформы).,,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B07033,Высота датчика над поверхностью воды,,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B02002,Тип приборов для измерения ветра,,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B11002,Скорость ветра,,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B11001,Направление ветра,,,Operational
15,Последовательности океанографических сводок,D15004,(Последовательность данных температурного профиля XBT),,B07032,Скорректировано относительно или с учетом представительной высоты датчика над местной поверхностью земли (или палубой морской платформы).,,,Operational
