Id,Category,CategoryOfSequences_rus,FXY1,Title_rus,SubTitle_rus,FXY2,ElementName_rus,ElementDescription_rus,Note_rus,noteIDs,Status
bufr4/3/07/001/1/301031,07,Последовательности сводок о состоянии поверхности (море),307001,Станция низкой высоты,,301031,"Идентификация и тип станции, дата/время, местоположение (высокая точность), движение",,,,Operational
bufr4/3/07/001/2/302011,07,Последовательности сводок о состоянии поверхности (море),307001,Станция низкой высоты,,302011,Станция низкой высоты,Базовый отчет о поверхности,,,Operational
bufr4/3/07/002/1/301032,07,Последовательности сводок о состоянии поверхности (море),307002,Станция низкой высоты,,301032,"Идентификация и тип станции, дата/время, местоположение (высокая точность), движение",,,,Operational
bufr4/3/07/002/2/302011,07,Последовательности сводок о состоянии поверхности (море),307002,Станция низкой высоты,,302011,Станция низкой высоты,Базовый отчет о поверхности,,,Operational
bufr4/3/07/003/1/307001,07,Последовательности сводок о состоянии поверхности (море),307003,Станция низкой высоты,,307001,Станция низкой высоты,Местоположение (высокая точность) и базовый отчет,,,Operational
bufr4/3/07/003/2/101000,07,Последовательности сводок о состоянии поверхности (море),307003,Станция низкой высоты,,101000,Отложенное воспроизведение 6 дескрипторов,,,,Operational
bufr4/3/07/003/3/031001,07,Последовательности сводок о состоянии поверхности (море),307003,Станция низкой высоты,,031001,Фактор отложенного воспроизведения дескрипторов,,,,Operational
bufr4/3/07/003/4/302005,07,Последовательности сводок о состоянии поверхности (море),307003,Станция низкой высоты,,302005,Слой облаков,,,,Operational
bufr4/3/07/004/1/307002,07,Последовательности сводок о состоянии поверхности (море),307004,Станция низкой высоты,,307002,Станция низкой высоты,Местоположение (высокая точность) и базовый отчет,,,Operational
bufr4/3/07/004/2/101000,07,Последовательности сводок о состоянии поверхности (море),307004,Станция низкой высоты,,101000,Отложенное воспроизведение 6 дескрипторов,,,,Operational
bufr4/3/07/004/3/031001,07,Последовательности сводок о состоянии поверхности (море),307004,Станция низкой высоты,,031001,Фактор отложенного воспроизведения дескрипторов,,,,Operational
bufr4/3/07/004/4/302005,07,Последовательности сводок о состоянии поверхности (море),307004,Станция низкой высоты,,302005,Слой облаков,,,,Operational
bufr4/3/07/005/1/307001,07,Последовательности сводок о состоянии поверхности (море),307005,Станция низкой высоты,,307001,Станция низкой высоты,Местоположение (высокая точность) и базовый отчет,,,Operational
bufr4/3/07/005/2/101004,07,Последовательности сводок о состоянии поверхности (море),307005,Станция низкой высоты,,101004,Воспроизведите 5 дескрипторов 2 раза.,,,,Operational
bufr4/3/07/005/3/302005,07,Последовательности сводок о состоянии поверхности (море),307005,Станция низкой высоты,,302005,Слой облаков,Слои,,,Operational
bufr4/3/07/006/1/307002,07,Последовательности сводок о состоянии поверхности (море),307006,Станция низкой высоты,,307002,Станция низкой высоты,Местоположение (высокая точность) и базовый отчет,,,Operational
bufr4/3/07/006/2/101004,07,Последовательности сводок о состоянии поверхности (море),307006,Станция низкой высоты,,101004,Воспроизведите 5 дескрипторов 2 раза.,,,,Operational
bufr4/3/07/006/3/302005,07,Последовательности сводок о состоянии поверхности (море),307006,Станция низкой высоты,,302005,Слой облаков,Слои,,,Operational
bufr4/3/07/007/1/301031,07,Последовательности сводок о состоянии поверхности (море),307007,Станция низкой высоты,,301031,"Идентификация и тип станции, дата/время, местоположение (высокая точность), движение",,,,Operational
bufr4/3/07/007/2/302012,07,Последовательности сводок о состоянии поверхности (море),307007,Станция низкой высоты,,302012,Станция низкой высоты,Базовый отчет о поверхности,,,Operational
bufr4/3/07/008/1/301032,07,Последовательности сводок о состоянии поверхности (море),307008,Станция низкой высоты,,301032,"Идентификация и тип станции, дата/время, местоположение (высокая точность), движение",,,,Operational
bufr4/3/07/008/2/302012,07,Последовательности сводок о состоянии поверхности (море),307008,Станция низкой высоты,,302012,Станция низкой высоты,Базовый отчет о поверхности,,,Operational
bufr4/3/07/009/1/301031,07,Последовательности сводок о состоянии поверхности (море),307009,,,301031,"Идентификация и тип станции, дата/время, местоположение (высокая точность), движение",,,,Operational
bufr4/3/07/009/2/302013,07,Последовательности сводок о состоянии поверхности (море),307009,,,302013,Базовый отчет о поверхности,,,,Operational
bufr4/3/07/011/1/001063,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,001063,Индекс местоположения ИКАО,,,,Operational
bufr4/3/07/011/2/002001,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,002001,Тип станции,,,,Operational
bufr4/3/07/011/3/301011,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,301011,"Год, месяц, день",Текст для перевода: YY,,,Operational
bufr4/3/07/011/4/301012,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,301012,"Час, минута, секунда","ГГ, гг",,,Operational
bufr4/3/07/011/5/301024,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,301024,"Широта/долгота (грубая точность), высота станции",,,,Operational
bufr4/3/07/011/6/007006,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,007006,Высота поверхности станции над средним уровнем моря,Высота анемометра,,,Operational
bufr4/3/07/011/7/011001,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,011001,Направление ветра,,,,Operational
bufr4/3/07/011/8/011016,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,011016,Экстремальное против часовой стрелки направление переменного ветра,,,,Operational
bufr4/3/07/011/9/011017,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,011017,Экстремальное против часовой стрелки направление переменного ветра,,,,Operational
bufr4/3/07/011/10/011002,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,011002,Скорость ветра,,,,Operational
bufr4/3/07/011/11/011041,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,011041,Максимальная скорость порывов ветра,,,,Operational
bufr4/3/07/011/12/007006,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,007006,Высота поверхности станции над средним уровнем моря,Высота термометра,,,Operational
bufr4/3/07/011/13/012001,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,012001,Температура/температура воздуха,,,,Operational
bufr4/3/07/011/14/012003,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,012003,Температура точки росы,,,,Operational
bufr4/3/07/011/15/010052,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,010052,Установка высотомера (QNH),,,,Operational
bufr4/3/07/011/16/020009,07,Последовательности сводок о состоянии поверхности (море),307011,(Основная часть данных для представления кода METAR/SPECI в формате BUFR),,020009,Общий показатель погоды (TAF/METAR),,,,Operational
bufr4/3/07/012/1/103000,07,Последовательности сводок о состоянии поверхности (море),307012,(Горизонтальная видимость),,103000,Отложенное воспроизведение 6 дескрипторов,,,,Operational
bufr4/3/07/012/2/031001,07,Последовательности сводок о состоянии поверхности (море),307012,(Горизонтальная видимость),,031001,Фактор отложенного воспроизведения дескрипторов,До 3,,,Operational
bufr4/3/07/012/3/008023,07,Последовательности сводок о состоянии поверхности (море),307012,(Горизонтальная видимость),,008023,Статистические значения первого порядка следующие,,,,Operational
bufr4/3/07/012/4/005021,07,Последовательности сводок о состоянии поверхности (море),307012,(Горизонтальная видимость),,005021,Пеленг или азимут,Направление наблюдаемой видимости,,,Operational
