"Category","CategoryOfSequences_es","FXY1","Title_es","SubTitle_es","FXY2","ElementName_es","ElementDescription_es","Note_es","noteIDs","Status"
"18","Secuencias de los informes de las observaciones radiológicas","318001","","","301025","Latitud y longitud (precisión aproximada), día/hora","","","","Operational"
"18","Secuencias de los informes de las observaciones radiológicas","318001","","","024011","Dosis","","","","Operational"
"18","Secuencias de los informes de las observaciones radiológicas","318003","","","301026","Latitud/longitud (gran precisión), período de tiempo (día, hora, minuto)","","","","Operational"
"18","Secuencias de los informes de las observaciones radiológicas","318003","","","024005","Masa de isótopos","","","","Operational"
"18","Secuencias de los informes de las observaciones radiológicas","318003","","","024004","Nombre del elemento","","","","Operational"
"18","Secuencias de los informes de las observaciones radiológicas","318003","","","024021","Concentración en el aire (del tipo de isótopo designado incluyendo la dosis beta bruta)","","","","Operational"
"18","Secuencias de los informes de las observaciones radiológicas","318004","","","301025","Latitud/longitud (precisión aproximada), día/hora","","","","Operational"
"18","Secuencias de los informes de las observaciones radiológicas","318004","","","004023","Período o desplazamiento de tiempo","","","","Operational"
"18","Secuencias de los informes de las observaciones radiológicas","318004","","","013011","Precipitación total/equivalente total en agua","","","","Operational"
"18","Secuencias de los informes de las observaciones radiológicas","318004","","","024005","Masa de isótopos","","","","Operational"
"18","Secuencias de los informes de las observaciones radiológicas","318004","","","024004","Nombre del elemento","","","","Operational"
"18","Secuencias de los informes de las observaciones radiológicas","318004","","","024022","Concentración en las precipitaciones (del tipo de isótopo designado)","","","","Operational"
