Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303001,,,007003,Geopotencial,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303001,,,011001,Dirección del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303001,,,011002,Velocidad del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303002,Viento al nivel de la presión,,007004,Presión,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303002,Viento al nivel de la presión,,011001,Dirección del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303002,Viento al nivel de la presión,,011002,Velocidad del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303003,Viento al nivel de la presión,,007004,Presión,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303003,Viento al nivel de la presión,,010003,Geopotencial,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303003,Viento al nivel de la presión,,012001,Temperatura/temperatura del aire,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303003,Viento al nivel de la presión,,012003,Temperatura del punto de rocío,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303004,Viento al nivel de la presión,,007004,Presión,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303004,Viento al nivel de la presión,,010003,Geopotencial,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303004,Viento al nivel de la presión,,012001,Temperatura/temperatura del aire,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303004,Viento al nivel de la presión,,012003,Temperatura del punto de rocío,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303004,Viento al nivel de la presión,,011001,Dirección del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303004,Viento al nivel de la presión,,011002,Velocidad del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303011,Viento en altura,,007003,Geopotencial,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303011,Viento en altura,,008001,Significación del sondeo vertical,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303011,Viento en altura,,011001,Dirección del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303011,Viento en altura,,011002,Velocidad del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303012,Viento al nivel de la presión,,007004,Presión,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303012,Viento al nivel de la presión,,008001,Significación del sondeo vertical,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303012,Viento al nivel de la presión,,011001,Dirección del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303012,Viento al nivel de la presión,,011002,Velocidad del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303013,"Geopotencial, temperatura, humedad, viento al nivel de la presión",,007004,Presión,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303013,"Geopotencial, temperatura, humedad, viento al nivel de la presión",,008001,Significación del sondeo vertical,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303013,"Geopotencial, temperatura, humedad, viento al nivel de la presión",,010003,Geopotencial,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303013,"Geopotencial, temperatura, humedad, viento al nivel de la presión",,012001,Temperatura/temperatura del aire,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303013,"Geopotencial, temperatura, humedad, viento al nivel de la presión",,013003,Humedad relativa,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303013,"Geopotencial, temperatura, humedad, viento al nivel de la presión",,011001,Dirección del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303013,"Geopotencial, temperatura, humedad, viento al nivel de la presión",,011002,Velocidad del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303014,"Geopotencial, temperatura, temperatura del punto de rocío, viento al nivel de la presión",,007004,Presión,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303014,"Geopotencial, temperatura, temperatura del punto de rocío, viento al nivel de la presión",,008001,Significación del sondeo vertical,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303014,"Geopotencial, temperatura, temperatura del punto de rocío, viento al nivel de la presión",,010003,Geopotencial,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303014,"Geopotencial, temperatura, temperatura del punto de rocío, viento al nivel de la presión",,012001,Temperatura/temperatura del aire,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303014,"Geopotencial, temperatura, temperatura del punto de rocío, viento al nivel de la presión",,012003,Temperatura del punto de rocío,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303014,"Geopotencial, temperatura, temperatura del punto de rocío, viento al nivel de la presión",,011001,Dirección del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303014,"Geopotencial, temperatura, temperatura del punto de rocío, viento al nivel de la presión",,011002,Velocidad del viento,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303021,"(Capa, calidad)",,007004,Presión,Definir la capa,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303021,"(Capa, calidad)",,007004,Presión,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303021,"(Capa, calidad)",,204007,Añadir campo asociado,7 bits,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303021,"(Capa, calidad)",,031021,Significación del campo asociado,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303022,,,303021,"Capa, calidad",,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303022,,,010003,Geopotencial,Espesor medio de la capa,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303022,,,204000,Añadir campo asociado,Anular,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303023,Temperatura media de la capa,,303021,"Capa, calidad",,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303023,Temperatura media de la capa,,012001,Temperatura/temperatura del aire,Media de la capa,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303023,Temperatura media de la capa,,204000,Añadir campo asociado,Anular,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303024,Agua precipitable,,303021,"Capa, calidad",,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303024,Agua precipitable,,013016,Agua precipitable,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303024,Agua precipitable,,204000,Añadir campo asociado,Anular,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303025,Canal satelital y temperatura de la lumicia,,002025,Canal(es) satelital(es) utilizado(s) en el cálculo,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303025,Canal satelital y temperatura de la lumicia,,204007,Añadir campo asociado,7 bits,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303025,Canal satelital y temperatura de la lumicia,,031021,Significación del campo asociado,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303025,Canal satelital y temperatura de la lumicia,,012063,Temperatura de la lumicia,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303025,Canal satelital y temperatura de la lumicia,,204000,Añadir campo asociado,Anular,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303026,Canal satelital y temperatura de la lumicia,,007004,Presión,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303026,Canal satelital y temperatura de la lumicia,,008003,Significación vertical (observaciones satelitales),,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303026,Canal satelital y temperatura de la lumicia,,204007,Añadir campo asociado,7 bits,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303026,Canal satelital y temperatura de la lumicia,,031021,Significación del campo asociado,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303026,Canal satelital y temperatura de la lumicia,,012001,Temperatura/temperatura del aire,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303026,Canal satelital y temperatura de la lumicia,,204000,Añadir campo asociado,Anular,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303027,Canal satelital y temperatura de la lumicia,,007004,Presión,,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303027,Canal satelital y temperatura de la lumicia,,204007,Añadir campo asociado,7 bits,,,Operational
03,Secuencias meteorológicas comunes a los datos de los sondeos verticales,303027,Canal satelital y temperatura de la lumicia,,031021,Significación del campo asociado,,,,Operational
