Category,CategoryOfSequences_es,FXY1,Title_es,,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
02,Secuencias meteorológicas comunes a los datos de superficie,302001,(Presión y cambio de presión en 3 horas),,010004,Presión,Nivel de la estación,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302001,(Presión y cambio de presión en 3 horas),,010051,Presión reducida al nivel medio del mar,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302001,(Presión y cambio de presión en 3 horas),,010061,Cambio de presión en 3 horas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302001,(Presión y cambio de presión en 3 horas),,010063,Característica de la tendencia barométrica,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302002,(Estación de gran altitud),,010004,Presión,Nivel de la estación,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302002,(Estación de gran altitud),,007004,Presión,Nivel de presión,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302002,(Estación de gran altitud),,010003,Geopotencial,Nivel de presión,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302002,(Estación de gran altitud),,010061,Cambios de presión en 3 horas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302002,(Estación de gran altitud),,010063,Característica de la tendencia barométrica,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,011011,Dirección del viento a 10 m,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,011012,Velocidad del viento a 10 m,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,012004,Temperatura del aire a 2 m,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,012006,Temperatura del punto de rocío a 2 m,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,013003,Humedad relativa,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,020001,Visibilidad horizontal,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,020003,Tiempo presente,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,020004,Tiempo pasado (1),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302003,"(Viento, temperatura, humedad, visibilidad, estado del tiempo)",,020005,Tiempo pasado (2),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020010,Cubierta de nubes (total),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,008002,Significación vertical (observaciones en,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020011,Nubosidad,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020013,Altura de la base de las nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020012,Tipo de nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020012,Tipo de nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020012,Tipo de nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302005,(Capa de nubes),,008002,Significación vertical (observaciones en superficie),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302005,(Capa de nubes),,020011,Nubosidad,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302005,(Capa de nubes),,020012,Tipo de nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302005,(Capa de nubes),,020013,Altura de la base de las nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302006,(Presión y cambio de presión en 24 horas),,010004,Presión,Nivel de la estación,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302006,(Presión y cambio de presión en 24 horas),,010051,Presión reducida al nivel medio del mar,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302006,(Presión y cambio de presión en 24 horas),,010062,Cambio de la presión en 24 horas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302006,(Presión y cambio de presión en 24 horas),,010063,Característica de la tendencia barométrica,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302011,(Estación de baja altitud),,302001,Presión y cambio de presión en 3 horas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302011,(Estación de baja altitud),,302003,"Viento, temperatura, humedad, visibilidad, estado del tiempo",,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302011,(Estación de baja altitud),,302004,Información general sobre nubes,Capa significativa de nubes,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302012,(Estación de gran altitud),,302002,Estación de gran altitud,Presión y cambio de presión,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302012,(Estación de gran altitud),,302003,"Viento, temperatura, humedad, visibilidad, estado del tiempo",,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302012,(Estación de gran altitud),,302004,Información general sobre nubes,Capa significativa de nubes,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302013,(Informe básico de superficie),,302006,Presión y cambio de presión en 24 horas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302013,(Informe básico de superficie),,302003,"Viento, temperatura, humedad, visibilidad, estado del tiempo",,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302013,(Informe básico de superficie),,101000,Repetición diferida de 1 descriptor,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302013,(Informe básico de superficie),,031001,Factor de repetición diferida del descriptor,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302013,(Informe básico de superficie),,302005,Capa de nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302021,(Olas),,022001,Dirección de las olas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302021,(Olas),,022011,Período de las olas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302021,(Olas),,022021,Altura de las olas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302022,(Olas de viento),,022002,Dirección de las olas de viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302022,(Olas de viento),,022012,Período de las olas de viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302022,(Olas de viento),,022022,Altura de las olas de viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302023,(Olas de mar de fondo),,022003,Dirección de las olas de mar de fondo,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302023,(Olas de mar de fondo),,022013,Período de las olas de mar de fondo,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302023,(Olas de mar de fondo),,022023,Altura de las olas de mar de fondo,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302024,(Olas de viento y de mar de fondo),,302022,Olas de viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302024,(Olas de viento y de mar de fondo),,101002,Repetir 1 descriptor 2 veces,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302024,(Olas de viento y de mar de fondo),,302023,Olas de mar de fondo,2 sistemas de mar de fondo,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302031,(Información sobre la presión),,302001,Presión y cambio de presión en 3 horas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302031,(Información sobre la presión),,010062,Cambio de presión en 24 horas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302031,(Información sobre la presión),,007004,Presión,,,,Operational
