FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
004059,Heures des observations servant à calculer les valeurs moyennes transmises,1,0000 UTC,,,,,Operational
004059,Heures des observations servant à calculer les valeurs moyennes transmises,2,0600 UTC,,,,,Operational
004059,Heures des observations servant à calculer les valeurs moyennes transmises,3,1200 UTC,,,,,Operational
004059,Heures des observations servant à calculer les valeurs moyennes transmises,4,1800 UTC,,,,,Operational
004059,Heures des observations servant à calculer les valeurs moyennes transmises,5,Autres heures,,,,,Operational
004059,Heures des observations servant à calculer les valeurs moyennes transmises,6 bits mis à 1,Valeur manquante,,,,,Operational
004080,Période à laquelle correspond la valeur moyenne qui suit,0,Valeur ponctuelle,,,,,Operational
004080,Période à laquelle correspond la valeur moyenne qui suit,1,Moins de 15 minutes,,,,,Operational
004080,Période à laquelle correspond la valeur moyenne qui suit,2,De 15 à 45 minutes,,,,,Operational
004080,Période à laquelle correspond la valeur moyenne qui suit,3,Plus de 45 minutes,,,,,Operational
004080,Période à laquelle correspond la valeur moyenne qui suit,4-8,En réserve,,,,,Operational
004080,Période à laquelle correspond la valeur moyenne qui suit,9,Données non disponibles,,,,,Operational
004080,Période à laquelle correspond la valeur moyenne qui suit,10-14,Non utilisé,,,,,Operational
004080,Période à laquelle correspond la valeur moyenne qui suit,15,Valeur manquante,,,,,Operational
