FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
021066,Données sur le degré de confiance du produit SAR mode vague,1,Équipement de traitement ne fonctionne pas,,,,,Operational
021066,Données sur le degré de confiance du produit SAR mode vague,2,Équipement en panne,,,,,Operational
021066,Données sur le degré de confiance du produit SAR mode vague,3,Code de fréquence de répétition (PRF) modifié pendant la formation de l'image,,,,,Operational
021066,Données sur le degré de confiance du produit SAR mode vague,4,Fenêtre d'échantillonnage modifiée pendant la formation de l'image,,,,,Operational
021066,Données sur le degré de confiance du produit SAR mode vague,5,Gain modifié pendant la formation de l'image,,,,,Operational
021066,Données sur le degré de confiance du produit SAR mode vague,6,"La réplique de ""Chirp"" dépasse la valeur spécifiée",,,,,Operational
021066,Données sur le degré de confiance du produit SAR mode vague,7,Écart moyen et écart type de données d'entrée en phase et en quadrature hors de portée,,,,,Operational
021066,Données sur le degré de confiance du produit SAR mode vague,8,Degré de confiance du point médian Doppler > à valeur MMCC,,,,,Operational
021066,Données sur le degré de confiance du produit SAR mode vague,9,Valeur absolue du point médian Doppler > PRF/2,,,,,Operational
021066,Données sur le degré de confiance du produit SAR mode vague,10,Degré de confiance d'ambiguïté Doppler < à valeur MMCC,,,,,Operational
021066,Données sur le degré de confiance du produit SAR mode vague,11,Écart moyen et écart type de données de sortie ≤ valeur MMCC,,,,,Operational
021066,Données sur le degré de confiance du produit SAR mode vague,12 bits mis à 1,Valeur manquante,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,1,Pas de calcul faisceau avant,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,2,Pas de calcul faisceau médian,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,3,Pas de calcul faisceau arrière,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,4,Arcage faisceau avant détecté,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,5,Arcage faisceau médian détecté,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,6,Arcage faisceau arrière détecté,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,7,Tout contenu de bruit de faisceau supérieur ou égal au seuil,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,8,Terre (toute portion de terre située dans la cellule d'empreinte au sol),,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,9,Retrait d'ambiguïté autonome non utilisé,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,10,Arrière-plan météorologique non utilisé,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,11,Minimum résiduel dépasse le seuil,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,12,Erreur de contrôle de trame détectée,,,,,Operational
021067,Données sur le degré de confiance du produit concernant le vent,13 bits mis à 1,Valeur manquante,,,,,Operational
021068,Données sur le degré de confiance du produit du radioaltimètre,1,Écart type de la vitesse du vent à l'extérieur de la limite du MMCC,,,,,Operational
021068,Données sur le degré de confiance du produit du radioaltimètre,2,Écart type de la hauteur de vague significative à l'extérieur de la limite du MMCC,,,,,Operational
021068,Données sur le degré de confiance du produit du radioaltimètre,3,Écart type de l'altitude à l'extérieur de la limite du MMCC,,,,,Operational
021068,Données sur le degré de confiance du produit du radioaltimètre,4,Maxima (valeur moyenne) à l'extérieur de la limite du MMCC,,,,,Operational
