FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
035000,FM et numéro de code régional,000-099,Codes FM internationaux,,,,,Operational
035000,FM et numéro de code régional,100-199,Codes pour la Région I,,,,,Operational
035000,FM et numéro de code régional,200-299,Codes pour la Région II,,,,,Operational
035000,FM et numéro de code régional,300-399,Codes pour la Région III,,,,,Operational
035000,FM et numéro de code régional,400-499,Codes pour la Région IV,,,,,Operational
035000,FM et numéro de code régional,500-599,Codes pour la Région V,,,,,Operational
035000,FM et numéro de code régional,600-699,Codes pour la Région VI,,,,,Operational
035000,FM et numéro de code régional,700-799,Codes pour l'Antarctique,,,,,Operational
035000,FM et numéro de code régional,800-999,En réserve,,,,,Operational
035000,FM et numéro de code régional,1000-1022,Inutilisés,,,,,Operational
035000,FM et numéro de code régional,1023,Valeur manquante,,,,,Operational
035001,Base de temps pour le contrôle,0,En temps réel,,,,,Operational
035001,Base de temps pour le contrôle,1,En temps quasi réel,,,,,Operational
035001,Base de temps pour le contrôle,2,En différé,,,,,Operational
035001,Base de temps pour le contrôle,3-6,En réserve,,,,,Operational
035001,Base de temps pour le contrôle,7,Valeur manquante,,,,,Operational
035030,Divergences dans la disponibilité des données attendues,0,Aucune divergence,,,,,Operational
035030,Divergences dans la disponibilité des données attendues,1,Non-respect des pratiques et des procédures normalisées et recommandées y compris celles qui concernent le contrôle,,,,,Operational
035030,Divergences dans la disponibilité des données attendues,2,Catalogues de bulletins météorologiques non mis à jour à temps,,,,,Operational
035030,Divergences dans la disponibilité des données attendues,3,Annuaires d'acheminement incorrects,,,,,Operational
035030,Divergences dans la disponibilité des données attendues,4,Manque de souplesse dans les dispositions d'acheminement,,,,,Operational
035030,Divergences dans la disponibilité des données attendues,5,Anomalies dans l'exploitation des centres et des circuits du SMT,,,,,Operational
035030,Divergences dans la disponibilité des données attendues,6,Perte de données ou retard dans la transmission de données sur le SMT,,,,,Operational
035030,Divergences dans la disponibilité des données attendues,7,Acheminement des données différent de l'acheminement prévu par le plan,,,,,Operational
035030,Divergences dans la disponibilité des données attendues,8,Fautes diverses,,,,,Operational
035030,Divergences dans la disponibilité des données attendues,9-14,En réserve,,,,,Operational
035030,Divergences dans la disponibilité des données attendues,15,Valeur manquante,,,,,Operational
035031,Qualification du contrôle des résultats,1,Suffisants et d'une qualité acceptable dans l'ensemble,,,,,Operational
035031,Qualification du contrôle des résultats,2,Suffisants mais d'une qualité partiellement acceptable,,,,,Operational
035031,Qualification du contrôle des résultats,3,Insuffisants mais d'une qualité acceptable dans l'ensemble,,,,,Operational
035031,Qualification du contrôle des résultats,4,Insuffisants et d'une qualité inacceptable,,,,,Operational
035031,Qualification du contrôle des résultats,5,Caractère incomplet de certains messages,,,,,Operational
035031,Qualification du contrôle des résultats,6,Groupes suspects ou mal chiffrés ne pouvant être interprétés en toute confiance,,,,,Operational
035031,Qualification du contrôle des résultats,7,Erreurs grossières de chiffrement,,,,,Operational
035031,Qualification du contrôle des résultats,8,Ordre séquentiel de transmission non respecté,,,,,Operational
035031,Qualification du contrôle des résultats,9,Message complètement embrouillé et rejeté,,,,,Operational
035031,Qualification du contrôle des résultats,10,Anomalies identifiées et rectifiées,,,,,Operational
035031,Qualification du contrôle des résultats,11,Anomalies identifiées mais non rectifiées,,,,,Operational
035031,Qualification du contrôle des résultats,12,Anomalies non identifiées,,,,,Operational
035031,Qualification du contrôle des résultats,13,Erreur de mesure,,,,,Operational
035031,Qualification du contrôle des résultats,14,Incohérence mutuelle,,,,,Operational
035031,Qualification du contrôle des résultats,15,Incohérence temporelle,,,,,Operational
035031,Qualification du contrôle des résultats,16,Erreur de prévision,,,,,Operational
035031,Qualification du contrôle des résultats,17,Erreur systématique,,,,,Operational
035031,Qualification du contrôle des résultats,18,Amélioration du système de contrôle de la qualité,,,,,Operational
035031,Qualification du contrôle des résultats,19,Développement des programmes de formation,,,,,Operational
035031,Qualification du contrôle des résultats,20-98,En réserve,,,,,Operational
035031,Qualification du contrôle des résultats,99-126,Inutilisés,,,,,Operational
035031,Qualification du contrôle des résultats,127,Valeur manquante,,,,,Operational
035032,Cause des données manquantes,1,Groupes de données manquants en raison de l'évanouissement brusque des signaux radioélectriques,,,,,Operational
035032,Cause des données manquantes,2,Groupes de données manquants en raison de l'interruption de service du centre,,,,,Operational
035032,Cause des données manquantes,3,Groupes de données manquants en raison de la panne de circuits,,,,,Operational
035032,Cause des données manquantes,4,Non-respect ou non-maintien de la densité requise du RSBR,,,,,Operational
035032,Cause des données manquantes,5,Manque de personnel qualifié dans les stations,,,,,Operational
035032,Cause des données manquantes,6,Manque de consommables,,,,,Operational
035032,Cause des données manquantes,7,Panne d'instrument,,,,,Operational
035032,Cause des données manquantes,8,Non-respect des procédures de télécommunications,,,,,Operational
035032,Cause des données manquantes,9,Interruption de certains programmes d'observation,,,,,Operational
035032,Cause des données manquantes,10-14,Inutilisés,,,,,Operational
035032,Cause des données manquantes,15,Valeur manquante,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,1,Aucune anomalie,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,2,Observations non effectuées régulièrement,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,3,Observations non effectuées au bon moment,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,4,Observations effectuées mais non diffusées,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,5,Observations effectuées et transmises à des usagers incorrects,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,6,Données collectées non reçues,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,7,Données collectées transmises en retard,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,8,Données collectées non transmises,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,9,Difficultés dans la propagation HF et le choix de la fréquence correcte,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,10,Difficultés d'entretien du matériel de transmission dans les stations éloignées,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,11,Aucune disposition de secours pour acheminer les observations météorologiques,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,12-99,En réserve,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,100-122,Inutilisés,,,,,Operational
035033,Anomalies dans l'observation et les données collectées,123,Valeur manquante,,,,,Operational
035034,Tendances statistiques de la disponibilité des données (pendant la(les) période(s) d'observation),1,Légère amélioration,,,,,Operational
035034,Tendances statistiques de la disponibilité des données (pendant la(les) période(s) d'observation),2,Amélioration importante,,,,,Operational
035034,Tendances statistiques de la disponibilité des données (pendant la(les) période(s) d'observation),3,Amélioration très importante,,,,,Operational
035034,Tendances statistiques de la disponibilité des données (pendant la(les) période(s) d'observation),4,Régulière,,,,,Operational
035034,Tendances statistiques de la disponibilité des données (pendant la(les) période(s) d'observation),5,En diminution,,,,,Operational
035034,Tendances statistiques de la disponibilité des données (pendant la(les) période(s) d'observation),6,Efforts nécessaires pour améliorer les observations de nuit,,,,,Operational
035034,Tendances statistiques de la disponibilité des données (pendant la(les) période(s) d'observation),7,Valeur manquante,,,,,Operational
035035,Raison de l'abandon,0,En réserve,,,,,Operational
035035,Raison de l'abandon,1,Éclatement du ballon,,,,,Operational
035035,Raison de l'abandon,2,Chute du ballon due au givrage,,,,,Operational
035035,Raison de l'abandon,3,Fuite ou ballon plafonnant,,,,,Operational
035035,Raison de l'abandon,4,Signal faible ou s'affaiblissant,,,,,Operational
035035,Raison de l'abandon,5,Panne d'accumulateur,,,,,Operational
035035,Raison de l'abandon,6,Panne de l'équipement au sol,,,,,Operational
035035,Raison de l'abandon,7,Interférence des signaux,,,,,Operational
035035,Raison de l'abandon,8,Panne de la radiosonde,,,,,Operational
035035,Raison de l'abandon,9,Trop de blocs de données manquants,,,,,Operational
035035,Raison de l'abandon,10,En réserve,,,,,Operational
035035,Raison de l'abandon,11,Trop de données manquantes sur la température,,,,,Operational
035035,Raison de l'abandon,12,Trop de données manquantes sur la pression,,,,,Operational
035035,Raison de l'abandon,13,Abandon par l'opérateur,,,,,Operational
035035,Raison de l'abandon,14,Perte soudaine du signal,,,,,Operational
035035,Raison de l'abandon,15,Perte du signal de poursuite,,,,,Operational
035035,Raison de l'abandon,16,Augmentation de la pression,,,,,Operational
035035,Raison de l'abandon,17,Données non valides ou données manquantes (délais dépassés),,,,,Operational
035035,Raison de l'abandon,18-29,En réserve,,,,,Operational
035035,Raison de l'abandon,30,Autre,,,,,Operational
035035,Raison de l'abandon,31,Valeur manquante,,,,,Operational
