FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
010063,Caractéristique de la tendance barométrique,0,"En hausse, puis en baisse; la pression atmosphérique est la même ou plus haute que trois heures auparavant",,,,,Operational
010063,Caractéristique de la tendance barométrique,1,"En hausse, puis stationnaire; ou en hausse, puis en hausse plus lente",La pression atmosphérique est plus haute que trois heures auparavant,,,,Operational
010063,Caractéristique de la tendance barométrique,2,En hausse (régulière ou irrégulière),La pression atmosphérique est plus haute que trois heures auparavant,,,,Operational
010063,Caractéristique de la tendance barométrique,3,"En baisse ou stationnaire, puis en hausse; ou en hausse, puis en hausse plus rapide",La pression atmosphérique est plus haute que trois heures auparavant,,,,Operational
010063,Caractéristique de la tendance barométrique,4,Stationnaire; la pression atmosphérique est la même que trois heures auparavant,,,,,Operational
010063,Caractéristique de la tendance barométrique,5,"En baisse, puis en hausse; la pression atmosphérique est la même ou plus basse que trois heures auparavant",,,,,Operational
010063,Caractéristique de la tendance barométrique,6,"En baisse, puis stationnaire; ou en baisse, puis en baisse plus lente",La pression atmosphérique est plus basse que trois heures auparavant,,,,Operational
010063,Caractéristique de la tendance barométrique,7,En baisse (régulière ou irrégulière),La pression atmosphérique est plus basse que trois heures auparavant,,,,Operational
010063,Caractéristique de la tendance barométrique,8,"Stationnaire ou en hausse, puis en baisse; ou en baisse, puis en baisse plus rapide",La pression atmosphérique est plus basse que trois heures auparavant,,,,Operational
010063,Caractéristique de la tendance barométrique,9-14,En réserve,,,,,Operational
010063,Caractéristique de la tendance barométrique,15,Valeur manquante,,,,,Operational
010064,Niveau de croisière — SIGMET,0,Subsonique,,,,,Operational
010064,Niveau de croisière — SIGMET,1,Transsonique,,,,,Operational
010064,Niveau de croisière — SIGMET,2,Supersonique,,,,,Operational
010064,Niveau de croisière — SIGMET,3-6,En réserve,,,,,Operational
010064,Niveau de croisière — SIGMET,7,Valeur manquante,,,,,Operational
