row #,class,FXY,element name,note (github),notation (manual),note (manual),note applies to,my comment
1000,00,n/a,n/a,n/a,*,"For CREX descriptors F = B, not 0.",word,"""Class 00 - BUFR/CREX* table entries"" and ""F* X Y"""
1001,00,000004,BUFR/CREX Master table,(see Note 1),1,"Master tables are described in Note 2 to Section 1 of the BUFR regulations (part of the regulation entitled ""Specifications of octet contents"").",element,
1002,00,000006,BUFR Master table version number,(see Note 2),2,BUFR master table version numbers are described in Common Code table C-0 and Note 2 to Section 1 of BUFR regulations.,element,
1003,00,000007,CREX Master table version number,(see Note 3),3,CREX master table version numbers are described in Common Code table C-0.,element,
1004,00,000008,BUFR Local table version number,(see Note 4),4,"For local table version number, see last part of Note 2 to Section 1 of BUFR regulations.",element,
1005,01,001004,WMO Region sub-area,(see Note 9),9,Descriptor 0 01 020 should be used instead of 0 01 004 for encoding this element.,element,
1006,01,001012,Direction of motion of moving observing platform,*,1,Descriptors 0 01 012 and 0 01 013 may relate to parameters of various meanings and the corresponding values may be integrated on different periods.,element,
1007,01,001013,Speed of motion of moving observing platform,*,1 (superscript),Descriptors 0 01 012 and 0 01 013 may relate to parameters of various meanings and the corresponding values may be integrated on different periods.,element,
1008,01,001022,Name of feature,(see Note 11),11,"For 0 01 022, the character string representing the ""Name of feature"" should be of the form: ""Type of phenomenon"" - ""Location or geographical name"" e.g. ""volcano -Popocatepetl"", ""oil fire - Kuwait"").",element,
1009,01,001025,Storm identifier,(see Note 1),1,"The storm identifier (descriptor 0 01 025) has the following meaning: the first two characters shall be a numeric sequence number assigned by the originator of the message; the third character is a letter indicating the ocean basin where the storm is located, as follows:W NW Pacific OceanE NE Pacific Ocean to 140°WC NE Pacific Ocean 140°W - 180°WL N Atlantic Ocean, including Caribbean and Gulf of MexicoA N Arabian SeaB Bay of Bengal S S Indian OceanP S Pacific OceanF RSMC Nadi's zone in South PacificU AustraliaO South China SeaT East China Sea There is no requirement that differing observers coordinate sequence numbers even though they both may be reporting the same storm.",element,note is formatted
1010,01,001026,WMO storm name,*,2 (superscript),Descriptor 0 01 027 should be used instead of 0 01 026 to encode this element.,element,
1011,01,001030,Numerical model identifier,(see Note 13),13,"The value of this feature could be a string of characters, which contain the name of the model and other useful elements such as the model mesh.",element,
1012,01,001031,Identification of originating/generating centre,(see Note 10),10,Descriptor 0 01 033 shall be used instead of descriptor 0 01 031 for encoding originating/generating centre. Code table 0 01 034 is to be established by the associated originating/generating centre identified by descriptor 0 01 033 and provided to the Secretariat for publication.,element,
1013,01,001032,Generating application,"(Notes 3, 4 and 5)",3,"Where a centre other than the originating centre generates quality information, replacement or substitute values, and/or statistical information, the centre may be indicated by using 0 01 033.",unit,
1014,01,001032,Generating application,"(Notes 3, 4 and 5)",4,"A generating centre may wish to indicate a reference to the application that generated quality information, etc.; it may use descriptor 0 01 032 for this purpose.However, the corresponding code tables will vary from centre to centre.",element,
1015,01,001032,Generating application,"(Notes 3, 4 and 5)",5,Code table 0 01 032 is to be generated by each centre.,element,
1016,01,001041,Absolute platform velocity - first component,(see Note 6),6,"The components of absolute platform velocity (0 01 041, 0 01 042, 0 01 043) are defined as follows:- First component: From the Earth’s centre to 0 degree longitude at the Equator: velocity of the platform along this line relative to the Earth’s centre.- Second component: From the Earth’s centre to 90 degrees East longitude at the Equator: velocity of the platform along this line relative to the Earth’scentre.- Third component: From the Earth’s centre to the north pole: velocity of the platform along this line relative to the Earth’s centre.",element,
1017,01,001042,Absolute platform velocity - second component,(see Note 6),6,"The components of absolute platform velocity (0 01 041, 0 01 042, 0 01 043) are defined as follows:- First component: From the Earth’s centre to 0 degree longitude at the Equator: velocity of the platform along this line relative to the Earth’s centre.- Second component: From the Earth’s centre to 90 degrees East longitude at the Equator: velocity of the platform along this line relative to the Earth’scentre.- Third component: From the Earth’s centre to the north pole: velocity of the platform along this line relative to the Earth’s centre.",element,
1018,01,001043,Absolute platform velocity - third component,(see Note 6),6,"The components of absolute platform velocity (0 01 041, 0 01 042, 0 01 043) are defined as follows:- First component: From the Earth’s centre to 0 degree longitude at the Equator: velocity of the platform along this line relative to the Earth’s centre.- Second component: From the Earth’s centre to 90 degrees East longitude at the Equator: velocity of the platform along this line relative to the Earth’scentre.- Third component: From the Earth’s centre to the north pole: velocity of the platform along this line relative to the Earth’s centre.",element,
1019,01,001082,Radiosonde ascension number,(see Note 12),12,"Descriptor 0 01 082 is to be used for reporting the sequential number of the current radiosonde reporting period (e.g. synoptic cycle) within a given year or other similar locally defined length of time. Descriptor 0 01 083 is to be used in the case of multiple sequential radiosonde releases during a single reporting period (e.g. synopticcycle), in order to indicate which particular release generated the corresponding data values.",element,
1020,01,001083,Radiosonde release number,(see Note 12),12,"Descriptor 0 01 082 is to be used for reporting the sequential number of the current radiosonde reporting period (e.g. synoptic cycle) within a given year or other similar locally defined length of time. Descriptor 0 01 083 is to be used in the case of multiple sequential radiosonde releases during a single reporting period (e.g. synopticcycle), in order to indicate which particular release generated the corresponding data values.",element,
1021,01,001027,WMO long storm name,n/a,2,"WMO long storm name (descriptor 0 01 027): the storm name ""Nameless"" shall be used in those cases where an identifiable tropical disturbance has not reached tropical storm strength and has not been assigned an official name.",element,
1022,01,001041,Absolute platform velocity - first component,n/a,7,"The values for descriptors 0 01 041, 0 01 042 and 0 01 043 have been chosen to be suitable for polar orbiting satellites in approximately Sun-synchronous orbits.Geostationary orbits would require greater data widths for distance and slightly less for speed.",element,
1023,01,001042,Absolute platform velocity - second component,n/a,7,"The values for descriptors 0 01 041, 0 01 042 and 0 01 043 have been chosen to be suitable for polar orbiting satellites in approximately Sun-synchronous orbits.Geostationary orbits would require greater data widths for distance and slightly less for speed.",element,
1024,01,001043,Absolute platform velocity - third component,n/a,7,"The values for descriptors 0 01 041, 0 01 042 and 0 01 043 have been chosen to be suitable for polar orbiting satellites in approximately Sun-synchronous orbits.Geostationary orbits would require greater data widths for distance and slightly less for speed.",element,
1025,01,001041,Absolute platform velocity - first component,n/a,8,"Left handed x, y and z axes have been chosen for descriptors 0 01 041, 0 01 042 and 0 01 043.",element,
