row #,category,table,Code figure / Bit No.,note (github),notation (manual),note (manual),note applies to,my comment
1000,01,001003,/,/,/,/,/,no notes
1282,20,020012,31,n/a,f*,"""Bad weather"" denotes the conditions which generally exist during precipitation and a short time before and after.",code,"""bad weather,*"""
1002,01,001024,/,/,/,/,/,no notes
1003,01,001028,/,/,/,/,/,no notes
1283,20,020012,36,n/a,f,"""Bad weather"" denotes the conditions which generally exist during precipitation and a short time before and after.",code,"""bad weather,*"""
1284,20,020012,37,n/a,f,"""Bad weather"" denotes the conditions which generally exist during precipitation and a short time before and after.",code,"""bad weather,*"""
1281,20,020011,n/a,n/a,2,"""Clear"" and ""overcast"" are coded by 0 and 8, respectively.",table,
1183,08,008021,8,n/a,2,"""Ensemble mean"" indicates that a number of distinct values corresponding to a set of time locations are averaged.",code,
1182,08,008021,2,n/a,1,"""Time averaged"" indicates that values are continuously averaged over a period of time.",code,
1433,25,025112,n/a,n/a,n/a,"(0 is good, 1 is bad)",table,move to note under table? 
1010,01,001038,/,/,/,/,/,no notes
1011,01,001044,/,/,/,/,/,no notes
1012,01,001052,/,/,/,/,/,no notes
1013,01,001090,/,/,/,/,/,no notes
1014,01,001092,/,/,/,/,/,no notes
1434,25,025113,n/a,n/a,n/a,"(0 is good, 1 is bad)",table,move to note under table? 
1201,08,008042,16,n/a,1,"(1) Freezing level is the level at which temperature first decreases to 0 °C. The criteria for the selection of freezing level in upper-air observations are:(a) If the surface temperature is not lower than 0 °C when the radiosonde is released, then the lowest level at which the temperature first decreases to 0 °C will be selected as the freezing level.(b) If the surface temperature is equal to 0 °C, then the surface level will be the freezing level.(c) If during observation there is no level at which the temperature equals 0 °C, then the closest twolevels between which the temperature crosses from a positive to a negative value should be usedto interpolate the freezing-level temperature equal to 0 °C.(d) The following elements will be calculated for the freezing level: time, elevation, pressure, humidity,dewpoint temperature, dewpoint depression, and deviation of longitude and latitude.",tbd,add association
1017,01,001151,/,/,/,/,/,no notes
1018,01,001155,/,/,/,/,/,no notes
1019,02,002001,/,/,/,/,/,no notes
1005,01,001031,n/a,n/a,no id,(See common Code table C-1 in Part C/c.),table,no codes
1021,02,002003,/,/,/,/,/,no notes
1022,02,002004,/,/,/,/,/,no notes
1023,02,002006,/,/,/,/,/,no notes
1024,02,002007,/,/,/,/,/,no notes
1025,02,002008,/,/,/,/,/,no notes
1006,01,001033,n/a,n/a,no id,(See common Code table C-1 in Part C/c.),table,no codes
1008,01,001035,n/a,n/a,no id,(See common Code table C-1 in Part C/c.),table,no codes
1026,02,002011,n/a,n/a,no id,(See common Code table C-2 in Part C/c.),table,no codes
1365,22,022067,n/a,n/a,no id,(See common Code table C-3),table,no codes
1030,02,002015,/,/,/,/,/,no notes
1031,02,002016,/,/,/,/,/,no notes
1032,02,002017,/,/,/,/,/,no notes
1366,22,022068,n/a,n/a,no id,(See common Code table C-4),table,no codes
1034,02,002020,/,/,/,/,/,no notes
1035,02,002021,/,/,/,/,/,no notes
1001,01,001007,n/a,n/a,no id,(See common Code table C-5 Part C/c.),table,no codes
1029,02,002014,n/a,n/a,no id,(See common Code table C-7 in Part C/c.),table,no codes
1033,02,002019,n/a,n/a,no id,(See common Code table C-8 in Part C/c.),table,no codes
1203,08,008046,n/a,n/a,no id,(See Common Code table C–14 Part C/c.),table,no codes
1040,02,002023,/,/,/,/,/,no notes
1041,02,002024,/,/,/,/,/,no notes
1009,01,001036,n/a,n/a,no id,(The first three digits represent the ISO country code),table,
1007,01,001034,n/a,n/a,no id,(To be defined by centres themselves -See common Code table C-12 in Part C/c.),table,
1027,02,002012,n/a,n/a,no id,(To be developed),table,no codes
1491,33,033048,n/a,n/a,*,* SAR = Synthetic aperture radar,word in title,
1169,08,008007,n/a,n/a,no id,"A consecutive sequence of 2 or more of location coordinates, such as latitude and longitude pairs,defines a line or polygon. Points shall be joined in the order given in the message. Any area described will fall left of the drawn boundary in the direction established by the order of the points given in the message. This definition is for simple non-intersecting polygons without holes.",tbd,
1147,03,003010,6,**,**,Acoustic Doppler Current Profiler,code,
1479,33,033032,n/a,n/a,no id,All bits off implies a good calibration.,table,
1049,02,002032,/,/,/,/,/,no notes
1050,02,002033,/,/,/,/,/,no notes
1051,02,002034,/,/,/,/,/,no notes
1052,02,002036,/,/,/,/,/,no notes
1053,02,002037,/,/,/,/,/,no notes
1054,02,002038,/,/,/,/,/,no notes
1055,02,002039,/,/,/,/,/,no notes
1056,02,002040,/,/,/,/,/,no notes
1057,02,002041,/,/,/,/,/,no notes
1058,02,002042,/,/,/,/,/,no notes
1059,02,002044,/,/,/,/,/,no notes
1060,02,002045,/,/,/,/,/,no notes
1061,02,002046,/,/,/,/,/,no notes
1062,02,002047,/,/,/,/,/,no notes
1063,02,002048,/,/,/,/,/,no notes
1480,33,033033,n/a,n/a,1,All bits off implies a good calibration.,table,
1185,08,008023,n/a,n/a,*,All first-order statistics are in the units defined by the original data descriptors.,title,
1525,33,033085,5,n/a,*,AOT = Aerosol optical thickness,word in code,
1067,02,002051,/,/,/,/,/,no notes
1527,33,033085,13,n/a,***,APSP = Aerosol particle size parameter,word in code,
1069,02,002053,/,/,/,/,/,no notes
1070,02,002054,/,/,/,/,/,no notes
1071,02,002055,/,/,/,/,/,no notes
1072,02,002056,/,/,/,/,/,no notes
1073,02,002057,/,/,/,/,/,no notes
1074,02,002058,/,/,/,/,/,no notes
1075,02,002059,/,/,/,/,/,no notes
1076,02,002060,/,/,/,/,/,no notes
1077,02,002061,/,/,/,/,/,no notes
1078,02,002062,/,/,/,/,/,no notes
1456,31,031021,n/a,n/a,1,Associated field significance shall be used initially in conjunction with the quality of observed data.,table,
1080,02,002066,/,/,/,/,/,no notes
1081,02,002070,/,/,/,/,/,no notes
1082,02,002080,/,/,/,/,/,no notes
1083,02,002081,/,/,/,/,/,no notes
1084,02,002083,/,/,/,/,/,no notes
1085,02,002084,/,/,/,/,/,no notes
1086,02,002092,/,/,/,/,/,no notes
1087,02,002095,/,/,/,/,/,no notes
1088,02,002096,/,/,/,/,/,no notes
1089,02,002097,/,/,/,/,/,no notes
1090,02,002099,/,/,/,/,/,no notes
1091,02,002101,/,/,/,/,/,no notes
1092,02,002103,/,/,/,/,/,no notes
1093,02,002104,/,/,/,/,/,no notes
1094,02,002115,/,/,/,/,/,no notes
1095,02,002119,/,/,/,/,/,no notes
1096,02,002131,/,/,/,/,/,no notes
1097,02,002137,/,/,/,/,/,no notes
1098,02,002138,/,/,/,/,/,no notes
1099,02,002139,/,/,/,/,/,no notes
1100,02,002143,/,/,/,/,/,no notes
1499,33,033066,n/a,n/a,*,Atmospheric motion vectors,word in title,
1079,02,002064,1,n/a,no id,Bad is currently defined as a roll angle > 5 degrees from vertical.,code,
1103,02,002145,/,/,/,/,/,no notes
1104,02,002146,/,/,/,/,/,no notes
1066,02,002050,n/a,n/a,no id,"Beginning with the first bit position (high order bit), if the bit position is set to one, then the channel is used. If the bit position is set to zero, then the channel is not used.",table,
1068,02,002052,n/a,n/a,no id,"Beginning with the first bit position (high order bit), if the bit position is set to one, then the channel is used. If the bit position is set to zero, then the channel is not used.",table,
1107,02,002148,/,/,/,/,/,no notes
1108,02,002149,/,/,/,/,/,no notes
1109,02,002150,/,/,/,/,/,no notes
1110,02,002151,/,/,/,/,/,no notes
1111,02,002152,/,/,/,/,/,no notes
1038,02,002022,na,na,na,Bit flags denoting the elements included in processing sounding data.,table,"above table, under title"
1042,02,002025,n/a,n/a,no id,"Bit flags denoting the instrument and/or channels used in obtaining various physical parameters. If, in any grouping of parameters, all bits = 0, then no retrieval was made for that parameter or set of parameters.",table,"above table, under title"
1114,02,002160,/,/,/,/,/,no notes
1115,02,002161,/,/,/,/,/,no notes
1476,33,033031,n/a,n/a,2,Bits 1-4 represent time problem code. All bits off implies the scan time is as expected.,table,
1478,33,033031,n/a,n/a,4,Bits 11-17 represent Earth location problem code. All bits set to zero implies the Earth location was normal.,table,
1118,02,002163,/,/,/,/,/,no notes
1119,02,002164,/,/,/,/,/,no notes
1120,02,002165,/,/,/,/,/,no notes
1121,02,002166,/,/,/,/,/,no notes
1122,02,002167,/,/,/,/,/,no notes
1123,02,002169,/,/,/,/,/,no notes
1124,02,002170,/,/,/,/,/,no notes
1125,02,002172,/,/,/,/,/,no notes
1126,02,002175,/,/,/,/,/,no notes
1127,02,002176,/,/,/,/,/,no notes
1128,02,002177,/,/,/,/,/,no notes
1129,02,002178,/,/,/,/,/,no notes
1130,02,002179,/,/,/,/,/,no notes
1131,02,002180,/,/,/,/,/,no notes
1132,02,002181,/,/,/,/,/,no notes
1133,02,002182,/,/,/,/,/,no notes
1134,02,002183,/,/,/,/,/,no notes
1135,02,002184,/,/,/,/,/,no notes
1136,02,002185,/,/,/,/,/,no notes
1137,02,002186,/,/,/,/,/,no notes
1138,02,002187,/,/,/,/,/,no notes
1139,02,002188,/,/,/,/,/,no notes
1140,02,002189,/,/,/,/,/,no notes
1141,02,002191,/,/,/,/,/,no notes
