row #,FXY,operator name,note (github),notation (manual),notes (manual),applies to,my comments
1000,241000,Define event,(see Note 19).,19,"An event, as defined for use with operators 2 41 000 and 2 42 000, is a set of one or more circumstances described using appropriate Table B descriptors along with their corresponding data values. The grouping of such descriptors together as a single ""event"" allows them to be collectively assigned as the target of a separate descriptor such as 0 33 045 or 0 33 046. When defining a circumstance within an event, descriptor 0 33 042 may be employed preceding the appropriate Table B descriptor in order to indicate that the corresponding value is actually a bound for a range of values.",element,
1001,242000,Define conditioning event,(see Note 19).,19,"An event, as defined for use with operators 2 41 000 and 2 42 000, is a set of one or more circumstances described using appropriate Table B descriptors along with their corresponding data values. The grouping of such descriptors together as a single ""event"" allows them to be collectively assigned as the target of a separate descriptor such as 0 33 045 or 0 33 046. When defining a circumstance within an event, descriptor 0 33 042 may be employed preceding the appropriate Table B descriptor in order to indicate that the corresponding value is actually a bound for a range of values.",element,
1002,243000,Categorical forecast values follow,(see Note 20).,20,"A categorical forecast value represents a ""best guess"" from among a set of related, and often mutually exclusive, data values or categories. Operator 2 43 000 may be used to designate one or more values as categorical forecast values, and descriptor 0 33 042 may be employed preceding any such value in order to indicate that that value is actually a bound for a range of values",element,
1003,201YYY,Change data width	,n/a,1,The operations specified by this operator descriptor remains defined until cancelled or until the end of the data subset.,element,
1004,202YYY,Change scale,n/a,1,The operations specified by this operator descriptor remains defined until cancelled or until the end of the data subset.,element,
1005,203YYY,Change reference values,n/a,1,The operations specified by this operator descriptor remains defined until cancelled or until the end of the data subset.,element,
1006,204YYY,Add associated field,n/a,1,The operations specified by this operator descriptor remains defined until cancelled or until the end of the data subset.,element,
1007,207YYY,"Increase scale, reference value and data width",n/a,1,The operations specified by this operator descriptor remains defined until cancelled or until the end of the data subset.,element,
1008,208YYY,Change width of CCITT IA5 field	,n/a,1,The operations specified by this operator descriptor remains defined until cancelled or until the end of the data subset.,element,
1009,202YYY,Change scale,n/a,2,"If change scale is used, then it may be necessary for the originator of the message to supply an appropriately rescaled reference value and data width.",element,
1010,n/a,n/a,n/a,3,Cancellation of the use of the redefined value shall be effected by the inclusion of the appropriate operand with Y set to 0. The value shall then revert to the original Table B value.,table,
