Id,FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
bufr4/0/01/003/0,001003,Número de Región de la OMM/zona geográfica,0,Antártida,,,,,Operational
bufr4/0/01/003/1,001003,Número de Región de la OMM/zona geográfica,1,Región I,,,,,Operational
bufr4/0/01/003/2,001003,Número de Región de la OMM/zona geográfica,2,Región II,,,,,Operational
bufr4/0/01/003/3,001003,Número de Región de la OMM/zona geográfica,3,Región III,,,,,Operational
bufr4/0/01/003/4,001003,Número de Región de la OMM/zona geográfica,4,Región IV,,,,,Operational
bufr4/0/01/003/5,001003,Número de Región de la OMM/zona geográfica,5,Región V,,,,,Operational
bufr4/0/01/003/6,001003,Número de Región de la OMM/zona geográfica,6,Región VI,,,,,Operational
bufr4/0/01/003/7,001003,Número de Región de la OMM/zona geográfica,7,Valor faltante,,,,,Operational
bufr4/0/01/007,001007,Identificador del satélite,,,,,,,Operational
bufr4/0/01/024/0,001024,Fuente de la velocidad del viento,0,Sin datos de velocidad de viento disponibles,,,,,Operational
bufr4/0/01/024/1,001024,Fuente de la velocidad del viento,1,Datos AMSR-E,,,,,Operational
bufr4/0/01/024/2,001024,Fuente de la velocidad del viento,2,Datos TMI,,,,,Operational
bufr4/0/01/024/3,001024,Fuente de la velocidad del viento,3,PNT: CEPMMP,,,,,Operational
bufr4/0/01/024/4,001024,Fuente de la velocidad del viento,4,PNT: Oficina Meteorológica del Reino Unido,,,,,Operational
bufr4/0/01/024/5,001024,Fuente de la velocidad del viento,5,PNT: NCEP,,,,,Operational
bufr4/0/01/024/6,001024,Fuente de la velocidad del viento,6,Climatología de referencia,,,,,Operational
bufr4/0/01/024/7,001024,Fuente de la velocidad del viento,7,Dispersómetro ERS,,,,,Operational
bufr4/0/01/024/8-30,001024,Fuente de la velocidad del viento,8-30,Reservadas para uso futuro,,,,,Operational
bufr4/0/01/024/31,001024,Fuente de la velocidad del viento,31,Valor faltante,,,,,Operational
bufr4/0/01/028/0,001028,Fuente del espesor óptico de los aerosoles (EOA),0,Sin datos EOA disponibles,,,,,Operational
bufr4/0/01/028/1,001028,Fuente del espesor óptico de los aerosoles (EOA),1,NESDIS,,,,,Operational
bufr4/0/01/028/2,001028,Fuente del espesor óptico de los aerosoles (EOA),2,NAVOCEANO,,,,,Operational
bufr4/0/01/028/3,001028,Fuente del espesor óptico de los aerosoles (EOA),3,NAAPS,,,,,Operational
bufr4/0/01/028/4,001028,Fuente del espesor óptico de los aerosoles (EOA),4,MERIS,,,,,Operational
bufr4/0/01/028/5,001028,Fuente del espesor óptico de los aerosoles (EOA),5,AATSR,,,,,Operational
bufr4/0/01/028/6-30,001028,Fuente del espesor óptico de los aerosoles (EOA),6-30,Reservadas para uso futuro,,,,,Operational
bufr4/0/01/028/31,001028,Fuente del espesor óptico de los aerosoles (EOA),31,Valor faltante,,,,,Operational
bufr4/0/01/029/0,001029,Fuente de la ISS*,0,Sin datos de ISS disponibles,,,,,Operational
bufr4/0/01/029/1,001029,Fuente de la ISS*,1,MSG SEVIRI,,,,,Operational
bufr4/0/01/029/2,001029,Fuente de la ISS*,2,GOES Este,,,,,Operational
bufr4/0/01/029/3,001029,Fuente de la ISS*,3,GOES Oeste,,,,,Operational
bufr4/0/01/029/4,001029,Fuente de la ISS*,4,CEPMMP,,,,,Operational
bufr4/0/01/029/5,001029,Fuente de la ISS*,5,NCEP,,,,,Operational
bufr4/0/01/029/6,001029,Fuente de la ISS*,6,Oficina Meteorológica del Reino Unido,,,,,Operational
bufr4/0/01/029/7-30,001029,Fuente de la ISS*,7-30,Reservadas para uso futuro,,,,,Operational
bufr4/0/01/029/31,001029,Fuente de la ISS*,31,Valor faltante,,,,,Operational
bufr4/0/01/031,001031,Identificación del centro de origen/generación,,,,,,,Operational
bufr4/0/01/033,001033,Identificación del centro de origen/generación,,,,,,,Operational
bufr4/0/01/034,001034,Identificación del centro secundario de origen/generación,,,,,,,Operational
bufr4/0/01/036/0-36000,001036,Organismo encargado de operar la plataforma de observación,0-36000,Reservadas,,,,,Operational
bufr4/0/01/036/36001,001036,Organismo encargado de operar la plataforma de observación,36001,"Australia, Bureau of Meteorology (BoM)",,,,,Operational
bufr4/0/01/036/36002,001036,Organismo encargado de operar la plataforma de observación,36002,"Australia, Joint Australian Facility for Ocean Observing Systems (JAFOOS)",,,,,Operational
bufr4/0/01/036/36003,001036,Organismo encargado de operar la plataforma de observación,36003,"Australia, the Commonwealth Scientific and Industrial Research Organization (CSIRO)",,,,,Operational
bufr4/0/01/036/36004-124000,001036,Organismo encargado de operar la plataforma de observación,36004-124000,Reservadas,,,,,Operational
bufr4/0/01/036/124001,001036,Organismo encargado de operar la plataforma de observación,124001,"Canadá, Marine Environmental Data Service (MEDS) 124002 Canadá, Institute of Ocean Sciences (IOS)",,,,,Operational
bufr4/0/01/036/124003-124172,001036,Organismo encargado de operar la plataforma de observación,124003-124172,Reservadas,,,,,Operational
bufr4/0/01/036/124173,001036,Organismo encargado de operar la plataforma de observación,124173,"Canadá, Ministerio del Medio Ambiente de Canadá",,,,,Operational
bufr4/0/01/036/124174,001036,Organismo encargado de operar la plataforma de observación,124174,"Canadá, Ministerio de Defensa Nacional",,,,,Operational
bufr4/0/01/036/124175,001036,Organismo encargado de operar la plataforma de observación,124175,"Canadá, Nav Canada",,,,,Operational
bufr4/0/01/036/124176-156000,001036,Organismo encargado de operar la plataforma de observación,124176-156000,Reservadas,,,,,Operational
bufr4/0/01/036/156001,001036,Organismo encargado de operar la plataforma de observación,156001,"China, The State Oceanic Administration",,,,,Operational
bufr4/0/01/036/156002,001036,Organismo encargado de operar la plataforma de observación,156002,"China, Second Institute of Oceanography, State Oceanic Administration",,,,,Operational
bufr4/0/01/036/156003,001036,Organismo encargado de operar la plataforma de observación,156003,"China, Institute of Ocean Technology",,,,,Operational
bufr4/0/01/036/156004-250000,001036,Organismo encargado de operar la plataforma de observación,156004-250000,Reservadas,,,,,Operational
bufr4/0/01/036/250001,001036,Organismo encargado de operar la plataforma de observación,250001,"Francia, Institut de Recherche pour le Développement (IRD)",,,,,Operational
bufr4/0/01/036/250002,001036,Organismo encargado de operar la plataforma de observación,250002,"Francia, Institut Français de Recherche pour l'Exploitation de la mer (IFREMER)",,,,,Operational
bufr4/0/01/036/250003-276000,001036,Organismo encargado de operar la plataforma de observación,250003-276000,Reservadas,,,,,Operational
bufr4/0/01/036/276001,001036,Organismo encargado de operar la plataforma de observación,276001,"Alemania, Bundesamt fuer Seeschiffahrt und Hydrographie (BSH)",,,,,Operational
bufr4/0/01/036/276002,001036,Organismo encargado de operar la plataforma de observación,276002,"Alemania, Institut fuer Meereskunde, Kiel",,,,,Operational
bufr4/0/01/036/276003-356000,001036,Organismo encargado de operar la plataforma de observación,276003-356000,Reservadas,,,,,Operational
bufr4/0/01/036/356001,001036,Organismo encargado de operar la plataforma de observación,356001,"India, National Institute of Oceanography (NIO)",,,,,Operational
bufr4/0/01/036/356002,001036,Organismo encargado de operar la plataforma de observación,356002,"India, National Institute for Ocean Technology (NIOT)",,,,,Operational
bufr4/0/01/036/356003,001036,Organismo encargado de operar la plataforma de observación,356003,"India, National Centre for Ocean Information Service",,,,,Operational
bufr4/0/01/036/356004-392000,001036,Organismo encargado de operar la plataforma de observación,356004-392000,Reservadas,,,,,Operational
bufr4/0/01/036/392001,001036,Organismo encargado de operar la plataforma de observación,392001,"Japón, Japan Meteorological Agency (JMA)",,,,,Operational
bufr4/0/01/036/392002,001036,Organismo encargado de operar la plataforma de observación,392002,"Japón, Frontier Observational Research System for Global Change",,,,,Operational
bufr4/0/01/036/392003,001036,Organismo encargado de operar la plataforma de observación,392003,"Japón, Japan Marine Science and Technology Centre (JAMSTEC)",,,,,Operational
bufr4/0/01/036/392004-410000,001036,Organismo encargado de operar la plataforma de observación,392004-410000,Reservadas,,,,,Operational
bufr4/0/01/036/410001,001036,Organismo encargado de operar la plataforma de observación,410001,"República de Corea, Seoul National University",,,,,Operational
bufr4/0/01/036/410002,001036,Organismo encargado de operar la plataforma de observación,410002,"República de Corea, Korea Ocean Research and Development Institute (KORDI)",,,,,Operational
bufr4/0/01/036/410003,001036,Organismo encargado de operar la plataforma de observación,410003,"República de Corea, Meteorological Research Institute",,,,,Operational
bufr4/0/01/036/410004-540000,001036,Organismo encargado de operar la plataforma de observación,410004-540000,Reservadas,,,,,Operational
bufr4/0/01/036/540001,001036,Organismo encargado de operar la plataforma de observación,540001,"Nueva Caledonia, Institut de Recherche pour le Développement (IRD)",,,,,Operational
bufr4/0/01/036/540002-554000,001036,Organismo encargado de operar la plataforma de observación,540002-554000,Reservadas,,,,,Operational
bufr4/0/01/036/554001,001036,Organismo encargado de operar la plataforma de observación,554001,"Nueva Zelandia, National Institute of Water and Atmospheric Research (NIWA)",,,,,Operational
bufr4/0/01/036/554002-643000,001036,Organismo encargado de operar la plataforma de observación,554002-643000,Reservadas,,,,,Operational
bufr4/0/01/036/643001,001036,Organismo encargado de operar la plataforma de observación,643001,"Rusia, State Oceanographic Institute of Roshydromet",,,,,Operational
bufr4/0/01/036/643002,001036,Organismo encargado de operar la plataforma de observación,643002,"Rusia, Federal Service for Hydrometeorology and Environmental Monitoring",,,,,Operational
bufr4/0/01/036/643003-724000,001036,Organismo encargado de operar la plataforma de observación,643003-724000,Reservadas,,,,,Operational
bufr4/0/01/036/724001,001036,Organismo encargado de operar la plataforma de observación,724001,"España, Instituto Español de Oceanografía",,,,,Operational
bufr4/0/01/036/724002-826000,001036,Organismo encargado de operar la plataforma de observación,724002-826000,Reservadas,,,,,Operational
